Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.000852091622876472,-0.0074605087312306,0.00575632548547765,0.991883569982541,GLM,100,0.5,0.01,0,0.3
0.000485693866950521,-0.00749744575508896,0.00846883348899,0.999555272379326,EN,100,0.5,0.01,0,0.3
-0.000552604497263687,-0.00844405093983123,0.00733884194530386,0.99922686281386,AEN,100,0.5,0.01,0,0.3
-0.007833691627531,-0.0144421087358898,-0.00122527451917219,0.0144852966554717,RF,100,0.5,0.01,0,0.3
2.00000000005751e-07,-0.00508421207709982,0.00508461207709983,1,GLM,500,20,0.05,0,0.6
0,-0.00508441207709982,0.00508441207709982,1,EN,500,20,0.05,0,0.6
0,-0.00508441207709982,0.00508441207709982,1,AEN,500,20,0.05,0,0.6
0.000811600000000801,-0.00427281207709902,0.00589601207710062,0.985703384737439,RF,500,20,0.05,0,0.6
-0.00719479999999972,-0.0122772565883772,-0.00211234341162229,0.00229825261284056,GLM,500,10,0.1,0.95,0.6
-0.00012660000000031,-0.00520905658837774,0.00495585658837712,0.999990122331122,EN,500,10,0.1,0.95,0.6
0.00994139999999943,0.004858943411622,0.0150238565883769,5.34949373398597e-06,AEN,500,10,0.1,0.95,0.6
-0.0014315999999992,-0.00651405658837663,0.00365085658837823,0.898567624107574,RF,500,10,0.1,0.95,0.6
0.000114609022556889,-0.00526385482185228,0.00549307286696606,0.999994392269398,GLM,500,1,0.01,0,0.9
-2.73587193793112e-05,-0.00568581638340117,0.00563109894464254,0.999999985093307,EN,500,1,0.01,0,0.9
-4.13014633774411e-05,-0.00574279421803509,0.0056601912912802,0.999999924904517,AEN,500,1,0.01,0,0.9
1.50090225563559e-05,-0.00536345482185281,0.00539347286696552,0.999999998345708,RF,500,1,0.01,0,0.9
5.55111512312578e-16,-0.00508253150403059,0.0050825315040317,1,GLM,1000,10,0.05,0,0.9
0,-0.00508253150403115,0.00508253150403115,1,EN,1000,10,0.05,0,0.9
0,-0.00508253150403115,0.00508253150403115,1,AEN,1000,10,0.05,0,0.9
0.000420000000001863,-0.00466253150402928,0.00550253150403301,0.998849484744459,RF,1000,10,0.05,0,0.9
0.00466017241379391,-0.000697703196831204,0.010018048024419,0.107988846975234,GLM,100,1,0.05,0,0.9
-8.96897415958442e-05,-0.00574328901384698,0.00556390953065529,0.999998278580613,EN,100,1,0.05,0,0.9
-1.95824881702444e-05,-0.00564164475060158,0.00560247977426109,0.999999995993219,AEN,100,1,0.05,0,0.9
0.000766772413792083,-0.00459110319683303,0.00612464802441719,0.990006438772853,RF,100,1,0.05,0,0.9
-7.7715611723761e-16,-0.00508477936196408,0.00508477936196252,1,GLM,1000,20,0.1,0,0.9
0,-0.0050847793619633,0.0050847793619633,1,EN,1000,20,0.1,0,0.9
2.22044604925031e-16,-0.00508477936196308,0.00508477936196352,1,AEN,1000,20,0.1,0,0.9
0.00113459999999987,-0.00395017936196343,0.00621937936196318,0.952731246448909,RF,1000,20,0.1,0,0.9
1.99999999994649e-06,-0.00507993457818145,0.00508393457818135,0.999999999999382,GLM,500,10,0.1,0,0.9
0,-0.0050819345781814,0.0050819345781814,1,EN,500,10,0.1,0,0.9
1.11022302462516e-16,-0.00508193457818129,0.00508193457818151,1,AEN,500,10,0.1,0,0.9
0.0021613999999992,-0.0029205345781822,0.0072433345781806,0.683641740345454,RF,500,10,0.1,0,0.9
0.000162256790124826,-0.00519513309990533,0.00551964668015498,0.999977205340692,GLM,500,1,0.01,0.3,0.9
5.7835227973424e-06,-0.00562926350193358,0.00564083054752827,0.999999999969755,EN,500,1,0.01,0.3,0.9
-4.10418548524305e-06,-0.00561847175651868,0.00561026338554819,0.999999999992216,AEN,500,1,0.01,0.3,0.9
4.30567901242851e-05,-0.00531433309990587,0.00540044668015444,0.999999886328848,RF,500,1,0.01,0.3,0.9
0,-0.00508209322238678,0.00508209322238678,1,GLM,1000,10,0.05,0.3,0.9
0,-0.00508209322238678,0.00508209322238678,1,EN,1000,10,0.05,0.3,0.9
0,-0.00508209322238678,0.00508209322238678,1,AEN,1000,10,0.05,0.3,0.9
0.00039220000000062,-0.00468989322238616,0.0054742932223874,0.999120349453309,RF,1000,10,0.05,0.3,0.9
0.00500454228855562,-0.000360734928543863,0.0103698195056551,0.0757223392938093,GLM,100,1,0.05,0.3,0.9
3.57398194185121e-05,-0.00560301427530753,0.00567449391414455,0.999999955929804,EN,100,1,0.05,0.3,0.9
3.88462101217346e-05,-0.00558957158709799,0.00566726400734145,0.999999938042212,AEN,100,1,0.05,0.3,0.9
0.00101934228855671,-0.00434593492854277,0.0063846195056562,0.971789311498892,RF,100,1,0.05,0.3,0.9
1.11022302462516e-16,-0.00508259466483291,0.00508259466483313,1,GLM,1000,20,0.1,0.3,0.9
0,-0.00508259466483302,0.00508259466483302,1,EN,1000,20,0.1,0.3,0.9
0,-0.00508259466483302,0.00508259466483302,1,AEN,1000,20,0.1,0.3,0.9
