Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.00476103225764823,0.00126181879566028,0.00826024571963619,0.00358960794402774,GLM,100,0.5,0.01,0,0.3
-0.00128326279698103,-0.00551040360488432,0.00294387801092227,0.851891308350806,EN,100,0.5,0.01,0,0.3
-0.00120304145923451,-0.00538162994322728,0.00297554702475825,0.872924501536708,AEN,100,0.5,0.01,0,0.3
0.00482696798623595,0.00132775452424551,0.00832618144822639,0.00318408654291413,RF,100,0.5,0.01,0,0.3
-0.000224332044852067,-0.00291539116191213,0.00246672707220799,0.998807789699775,GLM,500,20,0.05,0,0.6
-5.9069886162999e-08,-0.00269111818694622,0.0026910000471739,1,EN,500,20,0.05,0,0.6
-2.6006156256253e-10,-0.00269105937712162,0.0026910588569985,1,AEN,500,20,0.05,0,0.6
-0.00544172162632391,-0.00813278074338396,-0.00275066250926385,2.82546797369942e-06,RF,500,20,0.05,0,0.6
0.00518334694422237,0.00249434277101525,0.00787235111742949,9.53340110521061e-06,GLM,500,10,0.1,0.95,0.6
-8.58416506443194e-05,-0.00277484582385144,0.0026031625225628,0.999973463177457,EN,500,10,0.1,0.95,0.6
-0.0123545237090179,-0.015043527882225,-0.00966551953581075,0,AEN,500,10,0.1,0.95,0.6
-0.00255020398427015,-0.00523920815747727,0.000138800188936967,0.0691078321744478,RF,500,10,0.1,0.95,0.6
-0.000282186730644944,-0.00313063038896513,0.00256625692767524,0.997531384557356,GLM,500,1,0.01,0,0.9
2.72026270333823e-05,-0.00296952623741934,0.0030239314914861,0.999999814431458,EN,500,1,0.01,0,0.9
4.05870927611494e-05,-0.00297893322935549,0.00306010741487779,0.999999108408064,AEN,500,1,0.01,0,0.9
-0.000706753097807209,-0.0035551967561274,0.00214169056051298,0.929580744617753,RF,500,1,0.01,0,0.9
-0.000252557504275962,-0.0029421702027561,0.00243705519420418,0.998106925964669,GLM,1000,10,0.05,0,0.9
-6.65797824511705e-09,-0.00268961935645838,0.00268960604050189,1,EN,1000,10,0.05,0,0.9
-1.38777878078145e-17,-0.00268961269848015,0.00268961269848012,1,AEN,1000,10,0.05,0,0.9
-0.00297387606446102,-0.00566348876294116,-0.000284263365980882,0.0247382361913262,RF,1000,10,0.05,0,0.9
-0.00565438335302171,-0.00848908061544159,-0.00281968609060183,3.99756968783027e-06,GLM,100,1,0.05,0,0.9
