Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.0153910916832889,0.00316443162908783,0.02761775173749,0.00749476539451077,GLM,100,0.5,0.01,0,0.3
-0.00604020527648394,-0.0208017714678193,0.00872136091485145,0.72787541978467,EN,100,0.5,0.01,0,0.3
-0.00864470719161176,-0.023236724182737,0.00594730979951344,0.416451647908622,AEN,100,0.5,0.01,0,0.3
-0.00608081901904173,-0.110414716829571,0.0982530787914877,0.999735722706201,RF,100,0.5,0.01,0,0.3
-0.00231073898740256,-0.0116330938737659,0.00701161589896074,0.942086078174842,GLM,500,20,0.05,0,0.6
-6.35357041589568e-07,-0.00932299024340509,0.00932171952932191,1,EN,500,20,0.05,0,0.6
-3.41153830185625e-09,-0.0093223582979018,0.0093223514748252,1,AEN,500,20,0.05,0,0.6
-0.0547032279502506,-0.1400592170152,0.0306527611146989,0.349105351851948,RF,500,20,0.05,0,0.6
0.0178638962295439,0.00855715290147616,0.0271706395576116,8.20029560277824e-06,GLM,500,10,0.1,0.95,0.6
-0.000349886254756016,-0.00965662958282373,0.0089568570733117,0.999956727030905,EN,500,10,0.1,0.95,0.6
-0.0374092186888539,-0.0467159620169216,-0.0281024753607862,0,AEN,500,10,0.1,0.95,0.6
-0.0172584042349745,-0.0388892474843737,0.00437243901442456,0.165101043021404,RF,500,10,0.1,0.95,0.6
-0.00263164760960469,-0.0118987815397006,0.00663548632049122,0.901982575912945,GLM,1000,10,0.05,0,0.9
-7.36997601002987e-08,-0.009267207629856,0.0092670602303358,1,EN,1000,10,0.05,0,0.9
0,-0.0092671339300959,0.0092671339300959,1,AEN,1000,10,0.05,0,0.9
-0.0223945530983935,-0.0342119698965536,-0.0105771363002334,1.47215105413823e-05,RF,1000,10,0.05,0,0.9
-0.0513213787461547,-0.061150379979474,-0.0414923775128355,0,GLM,100,1,0.05,0,0.9
0.000360885751269524,-0.00999662042901973,0.0107183919315588,0.999967022057588,EN,100,1,0.05,0,0.9
8.33923653318636e-05,-0.0102163373864582,0.0103831221171219,0.999999903201721,AEN,100,1,0.05,0,0.9
-0.0348054601145461,-0.0555879116519872,-0.014023008577105,0.000160906919049686,RF,100,1,0.05,0,0.9
-0.00265292183881222,-0.0118807958527758,0.00657495217515138,0.892072946868111,GLM,1000,20,0.1,0,0.9
1.0859871169e-07,-0.00922776541525191,0.00922798261267529,1,EN,1000,20,0.1,0,0.9
1.47625221380565e-07,-0.00922772638874222,0.00922802163918498,1,AEN,1000,20,0.1,0,0.9
-0.027053147609641,-0.0363137198369684,-0.0177925753823136,2.55051535447137e-12,RF,1000,20,0.1,0,0.9
-0.00538796547978942,-0.0146225088978102,0.00384657793823136,0.41514398842374,GLM,500,10,0.1,0,0.9
7.14414263247587e-07,-0.00923382900375754,0.00923525783228403,0.999999999999999,EN,500,10,0.1,0,0.9
7.67888167996222e-07,-0.00923377552985279,0.00923531130618878,0.999999999999999,AEN,500,10,0.1,0,0.9
-0.0334879378455663,-0.0429104558933861,-0.0240654197977465,0,RF,500,10,0.1,0,0.9
-0.00262925760862431,-0.0119051242925723,0.00664660907532371,0.902973901004608,GLM,1000,10,0.05,0.3,0.9
-1.04472089396124e-07,-0.00927597115603742,0.00927576221185863,1,EN,1000,10,0.05,0.3,0.9
-1.6143040737493e-08,-0.00927588282698876,0.00927585054090729,1,AEN,1000,10,0.05,0.3,0.9
-0.0220675786118426,-0.0343165742676556,-0.00981858295602961,3.48208030029884e-05,RF,1000,10,0.05,0.3,0.9
-0.0556583180423127,-0.0655207832869093,-0.0457958527977162,0,GLM,100,1,0.05,0.3,0.9
-9.80922402012141e-05,-0.0104353229984432,0.0102391385180408,0.999999814528061,EN,100,1,0.05,0.3,0.9
6.89893075143111e-05,-0.0102492924611612,0.0103872710761899,0.999999954273296,AEN,100,1,0.05,0.3,0.9
-0.0384038007213426,-0.0570839494692697,-0.0197236519734154,1.73973376915715e-06,RF,100,1,0.05,0.3,0.9
-0.00251832867952695,-0.0117495605995271,0.00671290324047316,0.908335943839179,GLM,1000,20,0.1,0.3,0.9
5.23754628556361e-08,-0.00923117954453725,0.00923128429546297,1,EN,1000,20,0.1,0.3,0.9
0,-0.00923123192000011,0.00923123192000011,1,AEN,1000,20,0.1,0.3,0.9
-0.0269029060434735,-0.0361668480753015,-0.0176389640116454,3.02657898743064e-12,RF,1000,20,0.1,0.3,0.9
-0.000115556721875618,-0.0168277344299673,0.016596620986216,0.999999941363684,GLM,100,0.5,0.01,0.3,0.6
-3.47750193216145e-05,-0.021823941096466,0.0217543910578227,0.999999999833521,EN,100,0.5,0.01,0.3,0.6
-8.22916931038781e-05,-0.0221247477633281,0.0219601643771203,0.999999995015723,AEN,100,0.5,0.01,0.3,0.6
-0.0206415141267902,-0.106646944975209,0.0653639167216285,0.940876566469333,RF,100,0.5,0.01,0.3,0.6
-0.00531164317240251,-0.0145473118984051,0.0039240255536001,0.428594219727021,GLM,500,10,0.1,0.3,0.9
-1.58654019821736e-06,-0.00923725526620083,0.0092340821858044,0.999999999999978,EN,500,10,0.1,0.3,0.9
0,-0.00923566872600262,0.00923566872600262,1,AEN,500,10,0.1,0.3,0.9
-0.0331716670884598,-0.0426715556464296,-0.0236717785304899,0,RF,500,10,0.1,0.3,0.9
-0.00256557626710466,-0.0118561205043138,0.00672496797010452,0.913350247539931,GLM,1000,10,0.05,0.6,0.9
-1.48300701219295e-07,-0.0092906925379104,0.00929039593650796,1,EN,1000,10,0.05,0.6,0.9
-6.65049579573473e-08,-0.00929061074216714,0.00929047773225122,1,AEN,1000,10,0.05,0.6,0.9
-0.0241576462460596,-0.039458553167678,-0.00885673932444126,0.000383475373752939,RF,1000,10,0.05,0.6,0.9
-0.0594017993790318,-0.0693529110066564,-0.0494506877514073,0,GLM,100,1,0.05,0.6,0.9
-0.000143479427167498,-0.0106861810200327,0.0103992221656977,0.999999221197251,EN,100,1,0.05,0.6,0.9
-9.3843040566477e-05,-0.010602612003398,0.010414925922265,0.99999985554057,AEN,100,1,0.05,0.6,0.9
-0.0391371963605755,-0.0592136998452576,-0.0190606928758935,6.67365698514555e-06,RF,100,1,0.05,0.6,0.9
-0.00265491617164088,-0.0118831271548569,0.00657329481157513,0.892336843536227,GLM,1000,20,0.1,0.6,0.9
-1.65149914632678e-07,-0.00922837613313064,0.00922804583330137,1,EN,1000,20,0.1,0.6,0.9
5.55111512312578e-17,-0.00922821098321595,0.00922821098321606,1,AEN,1000,20,0.1,0.6,0.9
-0.029043814047875,-0.0384181271638311,-0.019669500931919,5.52891066263328e-14,RF,1000,20,0.1,0.6,0.9
-0.00532289222626992,-0.0145628013995656,0.00391701694702581,0.428070893680566,GLM,500,10,0.1,0.6,0.9
-4.78340096127239e-06,-0.00924469257425699,0.00923512577233445,0.999999999998191,EN,500,10,0.1,0.6,0.9
6.44603889710105e-08,-0.00923984471290675,0.00923997363368469,1,AEN,500,10,0.1,0.6,0.9
-0.0351789726563558,-0.0448868802030994,-0.0254710651096121,0,RF,500,10,0.1,0.6,0.9
-0.00258267133198076,-0.0119006791628883,0.00673533649892681,0.916355858275975,GLM,1000,10,0.05,0.95,0.9
4.815739865216e-08,-0.00931795967350892,0.00931805598830622,1,EN,1000,10,0.05,0.95,0.9
8.34261940085845e-09,-0.00931799948828817,0.00931801617352697,1,AEN,1000,10,0.05,0.95,0.9
-0.0346894468310283,-0.182167343884052,0.112788450221995,0.951697378370435,RF,1000,10,0.05,0.95,0.9
-0.0514821566384961,-0.0613669189769872,-0.0415973943000051,0,GLM,100,1,0.05,0.95,0.9
-9.11083428931647e-05,-0.0104527409591314,0.0102705242733451,0.999999865522867,EN,100,1,0.05,0.95,0.9
-0.000229090468253729,-0.010503922765272,0.0100457418287645,0.999994453809746,AEN,100,1,0.05,0.95,0.9
-0.0476687977048248,-0.0715083530169369,-0.0238292423927126,3.24584448185838e-06,RF,100,1,0.05,0.95,0.9
-0.00247561495945059,-0.0117440196254254,0.00679278970652419,0.919510201594939,GLM,1000,20,0.1,0.95,0.9
5.07272455152474e-08,-0.00926835393872926,0.00926845539322029,1,EN,1000,20,0.1,0.95,0.9
-2.00092357294235e-07,-0.00926860475833207,0.00926820457361748,1,AEN,1000,20,0.1,0.95,0.9
-0.0380780929272097,-0.0499530589894133,-0.0262031268650061,9.43689570931383e-15,RF,1000,20,0.1,0.95,0.9
