Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.0125445189886062,0.00983927477567793,0.0152497632015344,0,GLM,100,0.5,0.01,0,0.3
0.0024869957515972,-0.000218248461332368,0.00519223996452677,0.0819402107527456,EN,100,0.5,0.01,0,0.3
-0.00331202438058274,-0.00601726859351211,-0.000606780167653372,0.0102231132388569,AEN,100,0.5,0.01,0,0.3
0.0126104547173148,0.00990521050438694,0.0153156989302427,0,RF,100,0.5,0.01,0,0.3
-0.000224332044852095,-0.00292782601167959,0.0024791619219754,0.998832736846953,GLM,500,20,0.05,0,0.6
-9.4279566354924e-05,-0.00279777353318242,0.00260921440047257,0.999962260433887,EN,500,20,0.05,0,0.6
-2.60061576440318e-10,-0.00270349422688907,0.00270349370676592,1,AEN,500,20,0.05,0,0.6
-0.00544172162632391,-0.00814521559315141,-0.00273822765949642,3.63640418221678e-06,RF,500,20,0.05,0,0.6
0.00518334694422234,0.00247938120324648,0.0078873126851982,1.07437330436611e-05,GLM,500,10,0.1,0.95,0.6
-0.00269468324405367,-0.00539864898502953,9.28249692219024e-06,0.0511409362296071,EN,500,10,0.1,0.95,0.6
-0.0123545237090179,-0.0150584894499937,-0.00965055796804202,0,AEN,500,10,0.1,0.95,0.6
-0.00255020398427015,-0.00525416972524601,0.000153761756705707,0.0712347367362164,RF,500,10,0.1,0.95,0.6
-0.000118407763226368,-0.00282375206211672,0.00258693653566398,0.999906520584195,GLM,500,1,0.01,0,0.9
2.85513038089085e-05,-0.00267679299508144,0.00273389560269926,0.999999680350394,EN,500,1,0.01,0,0.9
2.15569150605732e-05,-0.00268378738382978,0.00272690121395093,0.99999989609197,AEN,500,1,0.01,0,0.9
-0.00054297413038863,-0.00324831842927898,0.00216237016850172,0.967311709670649,RF,500,1,0.01,0,0.9
-0.000252557504275934,-0.00295801470455239,0.00245289969600052,0.998146310325463,GLM,1000,10,0.05,0,0.9
-2.74489892343466e-07,-0.0027057316901688,0.00270518271038411,0.999999999999997,EN,1000,10,0.05,0,0.9
2.77555756156289e-17,-0.00270545720027643,0.00270545720027648,1,AEN,1000,10,0.05,0,0.9
-0.002973876064461,-0.00567933326473745,-0.000268418864184544,0.0258703334688578,RF,1000,10,0.05,0,0.9
-0.00532674530678937,-0.00803141780566961,-0.00262207280790914,6.67720944802497e-06,GLM,100,1,0.05,0,0.9
4.4325370164848e-05,-0.00266034712871539,0.00274899786904508,0.999998144990613,EN,100,1,0.05,0,0.9
2.67175815725287e-05,-0.00267795491730771,0.00273139008045276,0.999999754869575,AEN,100,1,0.05,0,0.9
-0.00462139440861431,-0.00732606690749455,-0.00191672190973407,0.000122128148865364,RF,100,1,0.05,0,0.9
-0.000467159995273622,-0.00317382099663558,0.00223950100608834,0.980936463705499,GLM,1000,20,0.1,0,0.9
-4.92074554978017e-07,-0.00270715307591694,0.00270616892680698,0.999999999999972,EN,1000,20,0.1,0,0.9
2.62611663248702e-08,-0.00270663474019564,0.00270668726252829,1,AEN,1000,20,0.1,0,0.9
-0.00562995720974249,-0.00833661821110445,-0.00292329620838053,1.13441364102407e-06,RF,1000,20,0.1,0,0.9
-0.000995214823770893,-0.00369999377749182,0.00170956412995004,0.7796191619636,GLM,500,10,0.1,0,0.9
-7.26094499900465e-07,-0.00270550504822083,0.00270405285922103,0.999999999999866,EN,500,10,0.1,0,0.9
9.90744872808591e-08,-0.00270467987923365,0.00270487802820821,1,AEN,500,10,0.1,0,0.9
-0.00710203571416677,-0.0098068146678877,-0.00439725676044584,4.88490803363106e-10,RF,500,10,0.1,0,0.9
-0.000200624476593629,-0.00290556722792923,0.00250431827474197,0.999246821190582,GLM,500,1,0.01,0.3,0.9
-6.31082890632101e-06,-0.00271125358024192,0.00269863192242928,0.999999999236501,EN,500,1,0.01,0.3,0.9
1.07036848192542e-05,-0.00269423906651635,0.00271564643615486,0.999999993682168,AEN,500,1,0.01,0.3,0.9
-0.000604182047912601,-0.0033091247992482,0.002100760703423,0.952623541764611,RF,500,1,0.01,0.3,0.9
-0.000258444340070718,-0.00296468760607321,0.00244779892593177,0.99797256712344,GLM,1000,10,0.05,0.3,0.9
-3.70583020471715e-07,-0.00270661384902296,0.00270587268298202,0.999999999999991,EN,1000,10,0.05,0.3,0.9
-1.14042239540701e-09,-0.00270624440642489,0.0027062421255801,1,AEN,1000,10,0.05,0.3,0.9
-0.00295165090195089,-0.00565789416795338,-0.000245407635948399,0.027379001636714,RF,1000,10,0.05,0.3,0.9
-0.0057069903976498,-0.00841258567737001,-0.00300139511792958,8.90874129577668e-07,GLM,100,1,0.05,0.3,0.9
-1.71149074469149e-05,-0.00272271018716713,0.0026884803722733,0.99999995870802,EN,100,1,0.05,0.3,0.9
4.60263944564165e-06,-0.00270099264027457,0.00271019791916586,0.999999999783978,AEN,100,1,0.05,0.3,0.9
-0.00503951679782174,-0.00774511207754196,-0.00233392151810152,1.96456604611983e-05,RF,100,1,0.05,0.3,0.9
-0.000462751847138926,-0.00316828784375377,0.00224278414947592,0.981583528914067,GLM,1000,20,0.1,0.3,0.9
-5.43899717361795e-07,-0.00270607989633221,0.00270499209689748,0.999999999999958,EN,1000,20,0.1,0.3,0.9
1.38777878078145e-17,-0.00270553599661483,0.00270553599661486,1,AEN,1000,20,0.1,0.3,0.9
-0.0056889922889715,-0.00839452828558635,-0.00298345629235666,9.90357568175781e-07,RF,1000,20,0.1,0.3,0.9
-0.000349362589127527,-0.0030546702340937,0.00235594505583865,0.993540124250514,GLM,100,0.5,0.01,0.3,0.6
-0.00046226939134685,-0.00316757703631302,0.00224303825361932,0.981653778854536,EN,100,0.5,0.01,0.3,0.6
6.10549205590401e-05,-0.00264425272440713,0.00276636256552521,0.999993332634906,AEN,100,0.5,0.01,0.3,0.6
-0.00213111667331185,-0.00483642431827803,0.000574190971654319,0.168081474424197,RF,100,0.5,0.01,0.3,0.6
-0.00095336030110954,-0.00365901414069374,0.00175229353847466,0.803726748903991,GLM,500,10,0.1,0.3,0.9
-1.4600303673562e-06,-0.00270711386995155,0.00270419380921684,0.999999999997813,EN,500,10,0.1,0.3,0.9
-4.16333634234434e-17,-0.00270565383958424,0.00270565383958416,1,AEN,500,10,0.1,0.3,0.9
-0.00688002556084293,-0.00958567940042713,-0.00417437172125873,2.09257278172004e-09,RF,500,10,0.1,0.3,0.9
-0.000149444313924284,-0.00285441402151182,0.00255552539366325,0.999764500474846,GLM,500,1,0.01,0.6,0.9
1.37289100860822e-05,-0.00269124079750146,0.00271869861767362,0.99999998290177,EN,500,1,0.01,0.6,0.9
2.12428871309671e-05,-0.00268372682045657,0.0027262125947185,0.999999902014481,AEN,500,1,0.01,0.6,0.9
-0.00060523298112458,-0.00331020268871212,0.00209973672646296,0.952341060704538,RF,500,1,0.01,0.6,0.9
-0.000250395581795619,-0.00295541324787982,0.00245462208428858,0.998207306176598,GLM,1000,10,0.05,0.6,0.9
-1.37290290566638e-07,-0.00270515495637476,0.00270488037579363,1,EN,1000,10,0.05,0.6,0.9
-5.02934885404649e-09,-0.00270502269543305,0.00270501263673534,1,AEN,1000,10,0.05,0.6,0.9
-0.00298505701985401,-0.00569007468593821,-0.000280039353769815,0.0249240881122701,RF,1000,10,0.05,0.6,0.9
-0.00646492330286218,-0.00916981924640838,-0.00376002735931597,1.41424936206391e-08,GLM,100,1,0.05,0.6,0.9
-4.771653789018e-05,-0.00275261248143638,0.00265717940565602,0.999997509453991,EN,100,1,0.05,0.6,0.9
-3.92633400731687e-05,-0.00274415928361937,0.00266563260347304,0.999998857528843,AEN,100,1,0.05,0.6,0.9
-0.00481490493613068,-0.00751980087967689,-0.00211000899258448,4.99142453869172e-05,RF,100,1,0.05,0.6,0.9
-0.000475016746453796,-0.00318027720954781,0.00223024371664022,0.97974438078531,GLM,1000,20,0.1,0.6,0.9
-7.19419589623183e-07,-0.00270597988268364,0.00270454104350439,0.999999999999871,EN,1000,20,0.1,0.6,0.9
-2.77555756156289e-17,-0.00270526046309404,0.00270526046309399,1,AEN,1000,20,0.1,0.6,0.9
-0.00583285851479655,-0.00853811897789056,-0.00312759805170253,4.70604938573871e-07,RF,1000,20,0.1,0.6,0.9
-0.000959259259226214,-0.00366411041868392,0.00174559190023149,0.80039693529802,GLM,500,10,0.1,0.6,0.9
-1.06430360487242e-06,-0.00270591546306258,0.00270378685585283,0.999999999999382,EN,500,10,0.1,0.6,0.9
1.11481011783043e-08,-0.00270484001135653,0.00270486230755888,1,AEN,500,10,0.1,0.6,0.9
-0.00694173852913793,-0.00964658968859564,-0.00423688736968023,9.3981167292867e-10,RF,500,10,0.1,0.6,0.9
-0.000163431242343632,-0.00286891577807166,0.00254205329338439,0.999664440080279,GLM,500,1,0.01,0.95,0.9
2.44785196762496e-05,-0.00268100601605178,0.00272996305540427,0.999999827260164,EN,500,1,0.01,0.95,0.9
-1.90193020587308e-05,-0.00272450383778676,0.00268646523366929,0.999999937032011,AEN,500,1,0.01,0.95,0.9
-0.000675666940500679,-0.0033811514762287,0.00202981759522735,0.931023810958326,RF,500,1,0.01,0.95,0.9
-0.000250670489001237,-0.00295695365643324,0.00245561267843077,0.998199629920963,GLM,1000,10,0.05,0.95,0.9
-2.02690535307248e-07,-0.00270648585796731,0.0027060804768967,0.999999999999999,EN,1000,10,0.05,0.95,0.9
6.7582141966005e-10,-0.00270628249161059,0.00270628384325343,1,AEN,1000,10,0.05,0.95,0.9
-0.00341888770306398,-0.00612517087049598,-0.000712604535631971,0.00743104078901324,RF,1000,10,0.05,0.95,0.9
-0.00631845766896103,-0.00902371479556529,-0.00361320054235677,3.62041191470652e-08,GLM,100,1,0.05,0.95,0.9
-1.38803035534679e-05,-0.00271913743015773,0.00269137682305079,0.999999982135074,EN,100,1,0.05,0.95,0.9
-2.24779883833334e-05,-0.00272773511498759,0.00268277913822093,0.999999877166417,AEN,100,1,0.05,0.95,0.9
-0.00579013165096239,-0.00849538877756665,-0.00308487452435813,5.21680160181504e-07,RF,100,1,0.05,0.95,0.9
-0.000454616912012706,-0.00315842217214421,0.00224918834811879,0.982739065106741,GLM,1000,20,0.1,0.95,0.9
-1.6320492562949e-07,-0.00270396846505713,0.00270364205520587,1,EN,1000,20,0.1,0.95,0.9
-4.14276530719127e-08,-0.00270384668778457,0.00270376383247843,1,AEN,1000,20,0.1,0.95,0.9
-0.00707187493917565,-0.00977568019930715,-0.00436806967904415,4.51120474309619e-10,RF,1000,20,0.1,0.95,0.9
-0.00020012810755439,-0.00290432908225259,0.00250407286714381,0.999254120971915,GLM,500,20,0.05,0.3,0.6
-9.28554668144302e-05,-0.00279705644151263,0.00261134550788377,0.999964481308303,EN,500,20,0.05,0.3,0.6
9.50419560413751e-09,-0.0027041914705026,0.0027042104788938,1,AEN,500,20,0.05,0.3,0.6
-0.00543670404063482,-0.00814090501533301,-0.00273250306593662,2.82194718703721e-06,RF,500,20,0.05,0.3,0.6
-0.00091204965851252,-0.00361717864946792,0.00179307933244288,0.826496892462175,GLM,500,10,0.1,0.95,0.9
-2.42138908715384e-07,-0.00270537112986412,0.00270488685204669,0.999999999999998,EN,500,10,0.1,0.95,0.9
-7.59302004604834e-09,-0.00270513658397545,0.00270512139793535,1,AEN,500,10,0.1,0.95,0.9
-0.00798075610319196,-0.0106858850941474,-0.00527562711223656,1.6814327707948e-12,RF,500,10,0.1,0.95,0.9
