Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.000852091622881357,-0.00749041894026111,0.00578623569449839,0.992006468400253,GLM,100,0.5,0.01,0,0.3
-0.000482181780679936,-0.00850145371259953,0.00753709015123965,0.999574697776097,EN,100,0.5,0.01,0,0.3
-0.000552604497263687,-0.00847976823926038,0.00737455924473301,0.99923911392024,AEN,100,0.5,0.01,0,0.3
-0.00783369162758751,-0.014472018944972,-0.00119536431020302,0.0148895531930213,RF,100,0.5,0.01,0,0.3
2.00000000005751e-07,-0.00510688663266015,0.00510728663266016,1,GLM,500,20,0.05,0,0.6
0,-0.00510708663266015,0.00510708663266015,1,EN,500,20,0.05,0,0.6
0,-0.00510708663266015,0.00510708663266015,1,AEN,500,20,0.05,0,0.6
0.000811600000000801,-0.00429548663265935,0.00591868663266095,0.985916584998933,RF,500,20,0.05,0,0.6
-0.00719479999999972,-0.0123003611167691,-0.00208923888323033,0.00218666552063895,GLM,500,10,0.1,0.95,0.6
0.00305540000000015,-0.00205016111676924,0.00816096111676955,0.390981522005626,EN,500,10,0.1,0.95,0.6
0.00994139999999955,0.00483583888323015,0.0150469611167689,6.80113312656605e-06,AEN,500,10,0.1,0.95,0.6
-0.0014315999999992,-0.00653716111676859,0.00367396111677019,0.899847195732117,RF,500,10,0.1,0.95,0.6
0.000114609022557111,-0.00528605960335642,0.00551527764847064,0.999994482720701,GLM,500,1,0.01,0,0.9
-2.73587193793112e-05,-0.00570917710864094,0.00565445966988232,0.999999985334088,EN,500,1,0.01,0,0.9
-4.13014633774411e-05,-0.00576633261199445,0.00568372968523957,0.999999926117386,AEN,500,1,0.01,0,0.9
1.50090225563559e-05,-0.00538565960335718,0.00541567764846989,0.99999999837243,RF,500,1,0.01,0,0.9
0,-0.00510221707331166,0.00510221707331166,1,GLM,1000,10,0.05,0,0.9
-2.22044604925031e-16,-0.00510221707331188,0.00510221707331143,1,EN,1000,10,0.05,0,0.9
-2.22044604925031e-16,-0.00510221707331188,0.00510221707331143,1,AEN,1000,10,0.05,0,0.9
0.000420000000001641,-0.00468221707331001,0.0055222170733133,0.998867676579036,RF,1000,10,0.05,0,0.9
0.00466017241379391,-0.000717356981580032,0.0100377018091678,0.110141971514853,GLM,100,1,0.05,0,0.9
-8.96897415958442e-05,-0.00576402757353519,0.0055846480903435,0.999998306365173,EN,100,1,0.05,0,0.9
-1.95824881702444e-05,-0.00566226762608066,0.00562310264974017,0.999999996057941,AEN,100,1,0.05,0,0.9
0.000766772413792194,-0.00461075698158174,0.00614430180916613,0.990157340429995,RF,100,1,0.05,0,0.9
-7.7715611723761e-16,-0.00510178033030795,0.00510178033030639,1,GLM,1000,20,0.1,0,0.9
0,-0.00510178033030717,0.00510178033030717,1,EN,1000,20,0.1,0,0.9
2.22044604925031e-16,-0.00510178033030695,0.00510178033030739,1,AEN,1000,20,0.1,0,0.9
0.00113459999999987,-0.00396718033030729,0.00623638033030704,0.953385140113936,RF,1000,20,0.1,0,0.9
1.99999999994649e-06,-0.0050971315963564,0.00510113159635629,0.999999999999392,GLM,500,10,0.1,0,0.9
0,-0.00509913159635635,0.00509913159635635,1,EN,500,10,0.1,0,0.9
1.11022302462516e-16,-0.00509913159635624,0.00509913159635646,1,AEN,500,10,0.1,0,0.9
0.00216139999999909,-0.00293773159635726,0.00726053159635544,0.686673920584266,RF,500,10,0.1,0,0.9
0.000162256790124937,-0.00521433942470434,0.00553885300495422,0.999977572456273,GLM,500,1,0.01,0.3,0.9
5.7835227973424e-06,-0.00564946523181267,0.00566103227740735,0.999999999970243,EN,500,1,0.01,0.3,0.9
-4.10418548535407e-06,-0.00563859935023968,0.00563039097926898,0.999999999992342,AEN,500,1,0.01,0.3,0.9
4.30567901242851e-05,-0.00533353942470499,0.00541965300495356,0.99999988816468,RF,500,1,0.01,0.3,0.9
1.11022302462516e-16,-0.00510410622542912,0.00510410622542934,1,GLM,1000,10,0.05,0.3,0.9
1.11022302462516e-16,-0.00510410622542912,0.00510410622542934,1,EN,1000,10,0.05,0.3,0.9
1.11022302462516e-16,-0.00510410622542912,0.00510410622542934,1,AEN,1000,10,0.05,0.3,0.9
0.000392200000000731,-0.0047119062254285,0.00549630622542996,0.9991342946227,RF,1000,10,0.05,0.3,0.9
0.00500454228855585,-0.000384823453158775,0.0103939080302705,0.0773552892641814,GLM,100,1,0.05,0.3,0.9
3.4752165097296e-05,-0.00562931828539441,0.005698822615589,0.999999961238777,EN,100,1,0.05,0.3,0.9
3.88462101217346e-05,-0.00561484153591265,0.00569253395615612,0.999999939042909,AEN,100,1,0.05,0.3,0.9
0.00101934228855693,-0.00437002345315769,0.00640870803027156,0.972194008683222,RF,100,1,0.05,0.3,0.9
1.11022302462516e-16,-0.0051022301808345,0.00510223018083472,1,GLM,1000,20,0.1,0.3,0.9
