Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.164304388509456,0.132115940538226,0.196492836480685,0,GLM,100,0.5,0.01,0,0.3
-0.0255118864015961,-0.064396368140231,0.0133725953370387,0.295446023788211,EN,100,0.5,0.01,0,0.3
0.0356210914111104,-0.00281676883127866,0.0740589516534995,0.077195048319313,AEN,100,0.5,0.01,0,0.3
0.183184731996635,0.150996284025382,0.215373179967887,0,RF,100,0.5,0.01,0,0.3
0.00474091989964831,-0.0200092136317794,0.029491053431076,0.972275117980959,GLM,500,20,0.05,0,0.6
0.00198423676477419,-0.0227658967666535,0.0267343702962019,0.998976332404002,EN,500,20,0.05,0,0.6
5.05254807523642e-09,-0.0247501284788796,0.0247501385839758,1,AEN,500,20,0.05,0,0.6
0.114976883913804,0.0902267503823764,0.139727017445232,0,RF,500,20,0.05,0,0.6
-0.0351418191941542,-0.059875928841835,-0.0104077095464733,0.00200413537966182,GLM,500,10,0.1,0.95,0.6
0.0184436160647391,-0.00629049358294176,0.0431777257124199,0.207060348473807,EN,500,10,0.1,0.95,0.6
0.0791869751764783,0.0544528655287974,0.103921084824159,9.43689570931383e-15,AEN,500,10,0.1,0.95,0.6
0.0314675884743066,0.00673347882662577,0.0562016981219874,0.00721991096776042,RF,500,10,0.1,0.95,0.6
0.0286938721676385,0.00249378182609044,0.0548939625091865,0.0263567664255806,GLM,500,1,0.01,0,0.9
-3.24319323486771e-05,-0.0275964550958219,0.0275315912311245,0.999999999947548,EN,500,1,0.01,0,0.9
-3.81560089898389e-06,-0.0277774754366883,0.0277698442348903,0.99999999999999,AEN,500,1,0.01,0,0.9
0.0724021490207154,0.0462020586791674,0.0986022393622635,4.64013272249986e-11,RF,500,1,0.01,0,0.9
0.0053221830218692,-0.0194078059398834,0.0300521719836218,0.958376351207056,GLM,1000,10,0.05,0,0.9
5.77572798303558e-06,-0.0247242132337696,0.0247357646897356,0.999999999999924,EN,1000,10,0.05,0,0.9
-1.30104260698261e-18,-0.0247299889617526,0.0247299889617526,1,AEN,1000,10,0.05,0,0.9
0.0626284522462582,0.0378984632845056,0.0873584412080107,2.59504107091857e-09,RF,1000,10,0.05,0,0.9
0.11823804743237,0.0921733019443286,0.144302792920412,0,GLM,100,1,0.05,0,0.9
-0.000984002824118302,-0.0284873711050797,0.0265193654568431,0.999955868025607,EN,100,1,0.05,0,0.9
-0.000952894212691381,-0.028302842706755,0.0263970542813722,0.999960294152503,AEN,100,1,0.05,0,0.9
0.103700637824838,0.0776358923367965,0.12976538331288,0,RF,100,1,0.05,0,0.9
0.00519157673935506,-0.0195578807629265,0.0299410342416366,0.961815752134523,GLM,1000,20,0.1,0,0.9
5.49114748916806e-06,-0.0247439663547924,0.0247549486497707,0.999999999999937,EN,1000,20,0.1,0,0.9
