Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.0265800700008213,-0.0308782565213305,-0.0222818834803121,0,GLM,100,0.5,0.01,0,0
-0.0194320100004202,-0.0237301965209288,-0.0151338234799115,0,EN,100,0.5,0.01,0,0
0.000402062000428582,-0.0038961245200791,0.00470024852093626,0.998129460185714,AEN,100,0.5,0.01,0,0
-0.0202620700023054,-0.0245602565228162,-0.0159638834817946,0,RF,100,0.5,0.01,0,0
-0.0447619999999993,-0.04906063820197,-0.0404633617980286,0,GLM,500,10,0.05,0,0
0.00960430000000023,0.00530566179802954,0.0139029382019709,1.47724653176695e-07,EN,500,10,0.05,0,0
0.0255706000000004,0.0212719617980297,0.0298692382019711,0,AEN,500,10,0.05,0,0
-0.0394086999999986,-0.0437073382019693,-0.0351100617980279,0,RF,500,10,0.05,0,0
-0.0293507999999995,-0.0336468210745688,-0.0250547789254302,0,GLM,500,20,0.1,0,0
0.0206813000000011,0.0163852789254318,0.0249773210745704,0,EN,500,20,0.1,0,0
0.0482868000000004,0.0439907789254311,0.0525828210745697,0,AEN,500,20,0.1,0,0
-0.0255623999999992,-0.0298584210745685,-0.0212663789254299,0,RF,500,20,0.1,0,0
-0.0367775999999994,-0.0410735939082148,-0.0324816060917841,0,GLM,1000,20,0.05,0.95,0
0.0278851000000009,0.0235891060917855,0.0321810939082162,0,EN,1000,20,0.05,0.95,0
0.0353190000000002,0.0310230060917849,0.0396149939082156,0,AEN,1000,20,0.05,0.95,0
-0.0333714999999988,-0.0376674939082141,-0.0290755060917834,0,RF,1000,20,0.05,0.95,0
-0.0400624000000005,-0.044360581409656,-0.035764218590345,0,GLM,500,10,0.05,0.95,0
0.0311185999999987,0.0268204185903432,0.0354167814096541,0,EN,500,10,0.05,0.95,0
0.0370879999999997,0.0327898185903442,0.0413861814096552,0,AEN,500,10,0.05,0.95,0
-0.0365048000000006,-0.040802981409656,-0.0322066185903451,0,RF,500,10,0.05,0.95,0
-0.0348196000000006,-0.0391160522892533,-0.030523147710748,0,GLM,500,20,0.1,0.95,0
0.0535848999999987,0.0492884477107461,0.0578813522892514,0,EN,500,20,0.1,0.95,0
0.0593991999999995,0.0551027477107469,0.0636956522892522,0,AEN,500,20,0.1,0.95,0
-0.0325462000000007,-0.0368426522892534,-0.0282497477107481,0,RF,500,20,0.1,0.95,0
-0.0771726999999975,-0.0814700670659543,-0.0728753329340407,0,GLM,1000,20,0.05,0,0.9
0.00857410000000258,0.00427673293404578,0.0128714670659594,5.06072782491263e-06,EN,1000,20,0.05,0,0.9
0.00857410000000236,0.00427673293404556,0.0128714670659592,4.29828149905997e-06,AEN,1000,20,0.05,0,0.9
-0.0713345999999984,-0.0756319670659552,-0.0670372329340416,0,RF,1000,20,0.05,0,0.9
-0.0769083999999972,-0.0812054098833489,-0.0726113901166455,0,GLM,500,10,0.05,0,0.9
0.00776070000000073,0.00346369011664905,0.0120577098833524,3.37610532084032e-05,EN,500,10,0.05,0,0.9
0.00776070000000095,0.00346369011664927,0.0120577098833526,4.70765331950229e-05,AEN,500,10,0.05,0,0.9
-0.0716674,-0.0759644098833517,-0.0673703901166484,0,RF,500,10,0.05,0,0.9
-0.0850678000000005,-0.0893638988748389,-0.0807717011251621,0,GLM,500,20,0.1,0,0.9
0.0431546000000016,0.0388585011251632,0.04745069887484,0,EN,500,20,0.1,0,0.9
0.0430405000000019,0.0387444011251635,0.0473365988748403,0,AEN,500,20,0.1,0,0.9
-0.0775221,-0.0818181988748384,-0.0732260011251616,0,RF,500,20,0.1,0,0.9
-0.0484724999999998,-0.0527691109567128,-0.0441758890432868,0,GLM,1000,20,0.05,0.95,0.9
0.0337288999999992,0.0294322890432861,0.0380255109567122,0,EN,1000,20,0.05,0.95,0.9
0.0365783000000003,0.0322816890432873,0.0408749109567133,0,AEN,1000,20,0.05,0.95,0.9
-0.0419523000000013,-0.0462489109567143,-0.0376556890432882,0,RF,1000,20,0.05,0.95,0.9
-0.0532437999999996,-0.0575397500862448,-0.0489478499137545,0,GLM,500,10,0.05,0.95,0.9
0.0267374000000001,0.022441449913755,0.0310333500862453,0,EN,500,10,0.05,0.95,0.9
0.0296412000000003,0.0253452499137551,0.0339371500862454,0,AEN,500,10,0.05,0.95,0.9
-0.0466979,-0.0509938500862451,-0.0424019499137548,0,RF,500,10,0.05,0.95,0.9
-0.0593944000000001,-0.0636925809139695,-0.0550962190860307,0,GLM,500,20,0.05,0,0
-0.0506677000000001,-0.0549658809139695,-0.0463695190860307,0,EN,500,20,0.05,0,0
0.00663019999999992,0.00233201908603051,0.0109283809139693,0.000646363637237135,AEN,500,20,0.05,0,0
-0.0507966000000009,-0.0550947809139703,-0.0464984190860315,0,RF,500,20,0.05,0,0
-0.0460100000000029,-0.05030553168156,-0.0417144683184458,0,GLM,500,20,0.1,0.95,0.9
0.065801699999999,0.0615061683184418,0.0700972316815561,0,EN,500,20,0.1,0.95,0.9
0.0746196999999991,0.0703241683184419,0.0789152316815562,0,AEN,500,20,0.1,0.95,0.9
-0.0373851000000028,-0.04168063168156,-0.0330895683184457,0,RF,500,20,0.1,0.95,0.9
-0.0291498000000009,-0.033445604493937,-0.0248539955060648,0,GLM,500,1,0.01,0,0
0.00360730000000098,-0.000688504493935121,0.00790310449393708,0.128197609017084,EN,500,1,0.01,0,0
0.0147299999999996,0.0104341955060635,0.0190258044939357,1.11022302462516e-16,AEN,500,1,0.01,0,0
-0.0213723000000013,-0.0256681044939374,-0.0170764955060652,0,RF,500,1,0.01,0,0
-0.0192606000000006,-0.023558859618922,-0.0149623403810793,0,GLM,1000,10,0.05,0,0
0.00495500000000026,0.000656740381078937,0.00925325961892159,0.0174950444135281,EN,1000,10,0.05,0,0
0.044722099999999,0.0404238403810777,0.0490203596189203,0,AEN,1000,10,0.05,0,0
-0.0164087000000011,-0.0207069596189224,-0.0121104403810797,0,RF,1000,10,0.05,0,0
-0.046888000000001,-0.0511838205034605,-0.0425921794965415,0,GLM,100,1,0.05,0,0
0.0139215999999986,0.00962577949653915,0.0182174205034581,1.32116539930394e-14,EN,100,1,0.05,0,0
0.0426717999999984,0.0383759794965389,0.0469676205034579,0,AEN,100,1,0.05,0,0
-0.031027800000001,-0.0353236205034605,-0.0267319794965416,0,RF,100,1,0.05,0,0
-0.00887299999999835,-0.0131698284639832,-0.00457617153601347,1.47190973442957e-06,GLM,1000,20,0.1,0,0
0.00561330000000104,0.00131647153601616,0.00991012846398593,0.00543062143508322,EN,1000,20,0.1,0,0
0.0528376000000004,0.0485407715360155,0.0571344284639853,0,AEN,1000,20,0.1,0,0
-0.00828079999999987,-0.0125776284639848,-0.00398397153601498,7.83171338814004e-06,RF,1000,20,0.1,0,0
-0.0126961000000005,-0.0169923181839451,-0.00839988181605597,8.12572231723152e-13,GLM,500,10,0.1,0,0
0.00745140000000022,0.00315518181605564,0.0117476181839448,8.59582948251614e-05,EN,500,10,0.1,0,0
0.0589248000000016,0.054628581816057,0.0632210181839461,0,AEN,500,10,0.1,0,0
-0.00826290000000063,-0.0125591181839452,-0.00396668181605605,1.43287463741926e-05,RF,500,10,0.1,0,0
-0.0254761000000019,-0.0297733010056341,-0.0211788989943696,0,GLM,500,1,0.01,0.95,0
0.00638139999999843,0.00208419899436618,0.0106786010056307,0.00112497749208407,EN,500,1,0.01,0.95,0
0.0208423,0.0165450989943677,0.0251395010056322,0,AEN,500,1,0.01,0.95,0
-0.0227838000000025,-0.0270810010056347,-0.0184865989943702,0,RF,500,1,0.01,0.95,0
-0.0241285999999991,-0.0284244197674831,-0.0198327802325151,0,GLM,1000,10,0.05,0.95,0
0.0114083000000007,0.0071124802325167,0.0157041197674847,4.15030010358919e-10,EN,1000,10,0.05,0.95,0
0.0474886999999998,0.0431928802325158,0.0517845197674838,0,AEN,1000,10,0.05,0.95,0
-0.0221370999999996,-0.0264329197674836,-0.0178412802325156,0,RF,1000,10,0.05,0.95,0
-0.0367816999999979,-0.041076653982778,-0.0324867460172179,0,GLM,100,1,0.05,0.95,0
0.0152491000000003,0.0109541460172203,0.0195440539827804,1.11022302462516e-16,EN,100,1,0.05,0.95,0
0.0421280000000012,0.0378330460172211,0.0464229539827812,0,AEN,100,1,0.05,0.95,0
-0.0405666999999974,-0.0448616539827774,-0.0362717460172174,0,RF,100,1,0.05,0.95,0
-0.0177809999999988,-0.0220788166702656,-0.0134831833297321,0,GLM,1000,20,0.1,0.95,0
0.013282100000001,0.00898428332973421,0.0175799166702677,8.58202398035246e-14,EN,1000,20,0.1,0.95,0
0.0616503000000005,0.0573524833297337,0.0659481166702672,0,AEN,1000,20,0.1,0.95,0
-0.0183801999999985,-0.0226780166702653,-0.0140823833297318,0,RF,1000,20,0.1,0.95,0
-0.0297153760000007,-0.0340115472093988,-0.0254192047906027,0,GLM,100,0.5,0.01,0.95,0
-0.030825958000001,-0.0351221292093991,-0.0265297867906029,0,EN,100,0.5,0.01,0.95,0
0.00459338400000076,0.000297212790602685,0.00888955520939883,0.0317322611861242,AEN,100,0.5,0.01,0.95,0
-0.0275491760000014,-0.0318453472093995,-0.0232530047906033,0,RF,100,0.5,0.01,0.95,0
-0.0235247999999989,-0.0278215618394358,-0.0192280381605621,0,GLM,500,10,0.1,0.95,0
0.0148951000000018,0.010598338160565,0.0191918618394387,1.11022302462516e-16,EN,500,10,0.1,0.95,0
0.0669009000000012,0.0626041381605643,0.071197661839438,0,AEN,500,10,0.1,0.95,0
-0.0235817999999979,-0.0278785618394347,-0.019285038160561,0,RF,500,10,0.1,0.95,0
-0.0265385000000039,-0.0308345641850584,-0.0222424358149494,0,GLM,500,1,0.01,0,0.9
0.000188299999999808,-0.00410776418505471,0.00448436418505432,0.999906051139785,EN,500,1,0.01,0,0.9
0.000188299999999919,-0.00410776418505459,0.00448436418505443,0.999906051032474,AEN,500,1,0.01,0,0.9
-0.0245071000000058,-0.0288031641850603,-0.0202110358149513,0,RF,500,1,0.01,0,0.9
-0.0763665999999968,-0.080664205562958,-0.0720689944370357,0,GLM,1000,10,0.05,0,0.9
0.00873590000000224,0.00443829443704111,0.0130335055629634,2.0336812039945e-06,EN,1000,10,0.05,0,0.9
0.0087359000000018,0.00443829443704067,0.0130335055629629,2.57942589010351e-06,AEN,1000,10,0.05,0,0.9
-0.0722589999999995,-0.0765566055629607,-0.0679613944370384,0,RF,1000,10,0.05,0,0.9
-0.0607498999999998,-0.0650472903774499,-0.0564525096225497,0,GLM,100,1,0.05,0,0.9
0.00721690000000108,0.00291950962255098,0.0115142903774512,0.000160483299495473,EN,100,1,0.05,0,0.9
0.00729300000000055,0.00299560962255044,0.0115903903774507,0.000136591779171247,AEN,100,1,0.05,0,0.9
-0.0659506999999996,-0.0702480903774497,-0.0616533096225495,0,RF,100,1,0.05,0,0.9
-0.0840055999999985,-0.0883003344721936,-0.0797108655278033,0,GLM,1000,20,0.1,0,0.9
0.0448643000000017,0.0405695655278066,0.0491590344721969,0,EN,1000,20,0.1,0,0.9
0.044864300000002,0.0405695655278068,0.0491590344721971,0,AEN,1000,20,0.1,0,0.9
-0.0785000999999996,-0.0827948344721948,-0.0742053655278045,0,RF,1000,20,0.1,0,0.9
-0.0821074000000021,-0.086403767845465,-0.0778110321545391,0,GLM,500,10,0.1,0,0.9
0.0445791999999995,0.0402828321545365,0.0488755678454624,0,EN,500,10,0.1,0,0.9
0.0445792999999995,0.0402829321545366,0.0488756678454625,0,AEN,500,10,0.1,0,0.9
-0.0774563000000003,-0.0817526678454632,-0.0731599321545373,0,RF,500,10,0.1,0,0.9
-0.0218090000000017,-0.0261048262819456,-0.0175131737180579,0,GLM,500,1,0.01,0.95,0.9
0.00301680000000126,-0.00127902628194255,0.00731262628194508,0.253336318030057,EN,500,1,0.01,0.95,0.9
0.00483159999999994,0.000535773718056123,0.00912742628194375,0.0216577239225475,AEN,500,1,0.01,0.95,0.9
-0.0190443000000031,-0.0233401262819469,-0.0147484737180593,0,RF,500,1,0.01,0.95,0.9
-0.0408275999999996,-0.0451242679239691,-0.0365309320760302,0,GLM,1000,10,0.05,0.95,0.9
0.0262883999999978,0.0219917320760283,0.0305850679239672,0,EN,1000,10,0.05,0.95,0.9
0.0433883000000008,0.0390916320760313,0.0476849679239703,0,AEN,1000,10,0.05,0.95,0.9
-0.0352598000000031,-0.0395564679239725,-0.0309631320760336,0,RF,1000,10,0.05,0.95,0.9
-0.0464679000000005,-0.0507655296992026,-0.0421702703007983,0,GLM,100,1,0.05,0.95,0.9
0.010123800000001,0.00582617030079891,0.0144214296992031,3.73633060046785e-08,EN,100,1,0.05,0.95,0.9
0.0193934000000009,0.0150957703007988,0.023691029699203,0,AEN,100,1,0.05,0.95,0.9
-0.0510519000000007,-0.0553495296992028,-0.0467542703007986,0,RF,100,1,0.05,0.95,0.9
-0.0328875000000012,-0.0371840718473887,-0.0285909281526136,0,GLM,1000,20,0.1,0.95,0.9
0.0436646999999999,0.0393681281526124,0.0479612718473874,0,EN,1000,20,0.1,0.95,0.9
0.0899556000000009,0.0856590281526134,0.0942521718473884,0,AEN,1000,20,0.1,0.95,0.9
-0.0260280000000007,-0.0303245718473883,-0.0217314281526132,0,RF,1000,20,0.1,0.95,0.9
-0.0527545999999975,-0.0570500753942869,-0.0484591246057082,0,GLM,500,20,0.05,0.95,0
-0.0521056999999975,-0.0564011753942868,-0.0478102246057081,0,EN,500,20,0.05,0.95,0
0.0210789000000012,0.0167834246057119,0.0253743753942906,0,AEN,500,20,0.05,0.95,0
-0.0447404999999994,-0.0490359753942887,-0.0404450246057101,0,RF,500,20,0.05,0.95,0
-0.0380033000000023,-0.0422985484453867,-0.0337080515546179,0,GLM,500,10,0.1,0.95,0.9
0.0383827999999998,0.0340875515546155,0.0426780484453842,0,EN,500,10,0.1,0.95,0.9
0.0807388000000004,0.0764435515546161,0.0850340484453848,0,AEN,500,10,0.1,0.95,0.9
-0.0315863000000002,-0.0358815484453846,-0.0272910515546158,0,RF,500,10,0.1,0.95,0.9
-0.0162756999999999,-0.0205706591604669,-0.0119807408395329,0,GLM,1000,1,0.01,0,0
0.00193379999999932,-0.00236115916046769,0.00622875916046633,0.640067140972707,EN,1000,1,0.01,0,0
0.0323119999999995,0.0280170408395324,0.0366069591604665,0,AEN,1000,1,0.01,0,0
0.00183660000000074,-0.00245835916046626,0.00613155916046775,0.679694239527446,RF,1000,1,0.01,0,0
-0.0208708000000003,-0.0251684756447914,-0.0165731243552092,0,GLM,500,0.5,0.01,0,0
0.00316589999999972,-0.00113177564479143,0.00746357564479087,0.215598516443792,EN,500,0.5,0.01,0,0
0.0348767999999985,0.0305791243552073,0.0391744756447896,0,AEN,500,0.5,0.01,0,0
0.00267199999999979,-0.00162567564479136,0.00696967564479093,0.35681249951465,RF,500,0.5,0.01,0,0
-0.0368436000000011,-0.0411407861851523,-0.0325464138148499,0,GLM,100,0.5,0.05,0,0
0.00688179999999872,0.00258461381484754,0.0111789861851499,0.000350048784469204,EN,100,0.5,0.05,0,0
0.0756277999999998,0.0713306138148486,0.079924986185151,0,AEN,100,0.5,0.05,0,0
0.00142539999999891,-0.00287178618515226,0.00572258618515009,0.834277525170257,RF,100,0.5,0.05,0,0
-0.00347270000000022,-0.00776994488662178,0.00082454488662135,0.15133960761901,GLM,1000,10,0.1,0,0
0.000263800000000591,-0.00403344488662098,0.00456104488662216,0.999642308234673,EN,1000,10,0.1,0,0
0.0465347999999989,0.0422375551133773,0.0508320448866204,0,AEN,1000,10,0.1,0,0
0.00893340000000131,0.00463615511337975,0.0132306448866229,1.18170766461034e-06,RF,1000,10,0.1,0,0
-0.0326597999999977,-0.0369582879171328,-0.0283613120828626,0,GLM,100,1,0.1,0,0
0.00575620000000177,0.00145771208286664,0.0100546879171369,0.00405417523320584,EN,100,1,0.1,0,0
0.104367522000002,0.100069034082867,0.108666009917137,0,AEN,100,1,0.1,0,0
0.00692360000000136,0.00262511208286623,0.0112220879171365,0.000295494925203199,RF,100,1,0.1,0,0
-0.0140622000000001,-0.0183584365602495,-0.00976596343975078,2.44249065417534e-15,GLM,1000,1,0.01,0.95,0
0.00193910000000064,-0.00235713656024872,0.00623533656025,0.637882379047405,EN,1000,1,0.01,0.95,0
0.0298881000000002,0.0255918634397508,0.0341843365602496,0,AEN,1000,1,0.01,0.95,0
-0.0120114000000003,-0.0163076365602497,-0.00771516343975098,1.8626877817951e-11,RF,1000,1,0.01,0.95,0
-0.017719200000002,-0.0220150663677765,-0.0134233336322276,0,GLM,500,0.5,0.01,0.95,0
0.00224149999999945,-0.00205436636777503,0.00653736636777394,0.515168188767565,EN,500,0.5,0.01,0.95,0
0.0352515999999998,0.0309557336322253,0.0395474663677743,0,AEN,500,0.5,0.01,0.95,0
-0.0163896000000002,-0.0206854663677747,-0.0120937336322257,0,RF,500,0.5,0.01,0.95,0
-0.0123373999999988,-0.0166340643801441,-0.00804073561985361,1.3766543460747e-11,GLM,100,0.5,0.05,0.95,0
0.00813769999999869,0.00384103561985347,0.0124343643801439,1.42063056842723e-05,EN,100,0.5,0.05,0.95,0
0.0694587799999997,0.0651621156198545,0.0737554443801449,0,AEN,100,0.5,0.05,0.95,0
-0.0352229999999997,-0.0395196643801449,-0.0309263356198545,0,RF,100,0.5,0.05,0.95,0
-0.00727389999999983,-0.0115693713909061,-0.00297842860909358,0.000132400590053039,GLM,1000,10,0.1,0.95,0
0.00188450000000029,-0.00241097139090596,0.00617997139090654,0.660193679767312,EN,1000,10,0.1,0.95,0
0.0495142999999999,0.0452188286090936,0.0538097713909062,0,AEN,1000,10,0.1,0.95,0
-0.0100592000000003,-0.0143546713909065,-0.00576372860909402,3.24681475039057e-08,RF,1000,10,0.1,0.95,0
-0.0215526800000028,-0.0258506038173034,-0.0172547561827021,0,GLM,100,0.5,0.01,0,0.9
-0.0223455800000026,-0.0266435038173033,-0.018047656182702,0,EN,100,0.5,0.01,0,0.9
0.000768519999999495,-0.00352940381730116,0.00506644381730015,0.978342556616085,AEN,100,0.5,0.01,0,0.9
-0.0184882800000024,-0.022786203817303,-0.0141903561827017,0,RF,100,0.5,0.01,0,0.9
-0.00708089999999995,-0.0113783532790198,-0.00278344672098008,0.000208510329655853,GLM,100,1,0.1,0.95,0
0.00844369999999872,0.00414624672097886,0.0127411532790186,8.23629622814792e-06,EN,100,1,0.1,0.95,0
0.0929953999999995,0.0886979467209797,0.0972928532790194,0,AEN,100,1,0.1,0.95,0
-0.034139,-0.0384364532790199,-0.0298415467209802,0,RF,100,1,0.1,0.95,0
-0.0268965000000052,-0.0311911208337952,-0.0226018791662152,0,GLM,1000,1,0.01,0,0.9
0.000104200000000221,-0.0041904208337898,0.00439882083379024,0.999991115480675,EN,1000,1,0.01,0,0.9
9.73000000000779e-05,-0.00419732083378994,0.0043919208337901,0.999993241937617,AEN,1000,1,0.01,0,0.9
-0.0262480000000048,-0.0305426208337948,-0.0219533791662148,0,RF,1000,1,0.01,0,0.9
-0.0244833000000042,-0.0287776219402583,-0.0201889780597501,0,GLM,500,0.5,0.01,0,0.9
