Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.0567519619137482,-0.0681063307149635,-0.0453975931125329,0,GLM,100,0.5,0.01,0,0
-0.0552156875799626,-0.0665700563811767,-0.0438613187787486,0,EN,100,0.5,0.01,0,0
0.148978442312852,0.137624073511641,0.160332811114063,0,AEN,100,0.5,0.01,0,0
-0.0192420517436878,-0.0305964205449074,-0.00788768294246809,0.000138657972672651,RF,100,0.5,0.01,0,0
-0.00595537245171507,-0.0173163393031664,0.00540559439973625,0.510733595781091,GLM,500,10,0.05,0,0
0.0871610098755931,0.0758000430241417,0.0985219767270444,0,EN,500,10,0.05,0,0
0.0799800212282276,0.0686190543767762,0.0913409880796789,0,AEN,500,10,0.05,0,0
0.00343776823984654,-0.00792319861160477,0.0147987350912979,0.873465538450972,RF,500,10,0.05,0,0
-0.00432769761419649,-0.0156887058976545,0.00703331066926148,0.758517064337441,GLM,500,20,0.1,0,0
0.0599194562872838,0.0485584480038258,0.0712804645707418,0,EN,500,20,0.1,0,0
0.0594606438366601,0.0480996355532021,0.070821652120118,0,AEN,500,20,0.1,0,0
0.00160976940514113,-0.00975123887831685,0.0129707776885991,0.990829198867651,RF,500,20,0.1,0,0
-0.0153334554416689,-0.0266962640731978,-0.00397064681013994,0.00379962682219126,GLM,1000,20,0.05,0.95,0
0.0768314904721656,0.0654686818406367,0.0881942991036946,0,EN,1000,20,0.05,0.95,0
0.0815728482359049,0.070210039604376,0.0929356568674339,0,AEN,1000,20,0.05,0.95,0
-0.0216570652808787,-0.0330198739124077,-0.0102942566493498,1.38016431433519e-05,RF,1000,20,0.05,0.95,0
-0.0191366792773047,-0.0304905596072319,-0.00778279894737748,0.000139179834802605,GLM,500,10,0.05,0.95,0
0.0799354462433308,0.0685815659134036,0.091289326573258,0,EN,500,10,0.05,0.95,0
0.0949823260045344,0.0836284456746072,0.106336206334462,0,AEN,500,10,0.05,0.95,0
-0.023711465416305,-0.0350653457462322,-0.0123575850863778,1.45236627224765e-06,RF,500,10,0.05,0.95,0
-0.016363091843421,-0.0277213636238183,-0.00500482006302368,0.00163907016415821,GLM,500,20,0.1,0.95,0
0.0735259772500413,0.062167705469644,0.0848842490304386,0,EN,500,20,0.1,0.95,0
0.0865642432485615,0.0752059714681642,0.0979225150289588,0,AEN,500,20,0.1,0.95,0
-0.0233674481682151,-0.0347257199486124,-0.0120091763878178,4.04240343565565e-06,RF,500,20,0.1,0.95,0
0.000628423128986033,-0.0107301356995162,0.0119869819574882,0.99976320211349,GLM,1000,20,0.05,0,0.9
0.266518030324803,0.255159471496301,0.277876589153306,0,EN,1000,20,0.05,0,0.9
0.248890997559207,0.237532438730705,0.260249556387709,0,AEN,1000,20,0.05,0,0.9
0.0192122651793869,0.00785370635088469,0.0305708240078891,0.000148485313960833,RF,1000,20,0.05,0,0.9
0.00135086181462485,-0.0100084703676242,0.0127101939968739,0.995282727841088,GLM,500,10,0.05,0,0.9
0.297380002579514,0.286020670397265,0.308739334761763,0,EN,500,10,0.05,0,0.9
0.297655001046074,0.286295668863825,0.309014333228323,0,AEN,500,10,0.05,0,0.9
0.0232705032647139,0.0119111710824649,0.0346298354469629,1.60010655647636e-06,RF,500,10,0.05,0,0.9
0.00144256476055327,-0.00991640510006987,0.0128015346211764,0.993940228369159,GLM,500,20,0.1,0,0.9
0.275169506540892,0.263810536680269,0.286528476401515,0,EN,500,20,0.1,0,0.9
0.274148669053128,0.262789699192505,0.285507638913751,0,AEN,500,20,0.1,0,0.9
0.0208173728936687,0.00945840303304556,0.0321763427542918,2.66633606937905e-05,RF,500,20,0.1,0,0.9
-0.0038897914260605,-0.0152511145563449,0.00747153170422388,0.818764098980251,GLM,1000,20,0.05,0.95,0.9
0.11179777862791,0.100436455497625,0.123159101758194,0,EN,1000,20,0.05,0.95,0.9
0.202486620291201,0.191125297160917,0.213847943421485,0,AEN,1000,20,0.05,0.95,0.9
0.0139264018235542,0.00256507869326983,0.0252877249538386,0.0102129778687154,RF,1000,20,0.05,0.95,0.9
-0.00274619633748752,-0.014106218653588,0.00861382597861293,0.938090629756733,GLM,500,10,0.05,0.95,0.9
0.127220187983732,0.115860165667631,0.138580210299832,0,EN,500,10,0.05,0.95,0.9
0.20460272766476,0.193242705348659,0.21596274998086,0,AEN,500,10,0.05,0.95,0.9
0.0166489369003352,0.00528891458423475,0.0280089592164356,0.00131858331004997,RF,500,10,0.05,0.95,0.9
-0.00525175253953303,-0.0166151053425755,0.00611160026350945,0.618523355215532,GLM,500,20,0.05,0,0
-0.00417811314734073,-0.0155414659503832,0.00718523965570174,0.779766745990449,EN,500,20,0.05,0,0
0.078932799234338,0.0675694464312956,0.0902961520373805,0,AEN,500,20,0.05,0,0
0.0132530702235463,0.0018897174205038,0.0246164230265887,0.0158819091831445,RF,500,20,0.05,0,0
-0.00269352482673613,-0.0140474969787697,0.0086604473252975,0.941974001202288,GLM,500,20,0.1,0.95,0.9
0.108272173356964,0.09691820120493,0.119626145508997,0,EN,500,20,0.1,0.95,0.9
0.174994421381608,0.163640449229574,0.186348393533642,0,AEN,500,20,0.1,0.95,0.9
0.0157987431264822,0.0044447709744486,0.0271527152785158,0.00259684369964219,RF,500,20,0.1,0.95,0.9
-0.00759084424691325,-0.0189481819433716,0.00376649344954513,0.294292842018456,GLM,500,1,0.01,0,0
0.0267642691957357,0.0154069314992773,0.0381216068921941,3.81831629647778e-08,EN,500,1,0.01,0,0
0.108981578442438,0.0976242407459801,0.120338916138897,0,AEN,500,1,0.01,0,0
0.00855789746035374,-0.00279944023610465,0.0199152351568121,0.199360075536887,RF,500,1,0.01,0,0
-0.0034213371926477,-0.0147774117244089,0.00793473733911351,0.875288158295735,GLM,1000,10,0.05,0,0
0.0012167646541581,-0.0101393098776031,0.0125728391859193,0.996843027160808,EN,1000,10,0.05,0,0
0.0466337896476631,0.0352777151159019,0.0579898641794243,0,AEN,1000,10,0.05,0,0
-0.00010996233164362,-0.0114660368634048,0.0112461122001176,0.999999773787721,RF,1000,10,0.05,0,0
-0.0273351973348986,-0.0386936050565902,-0.0159767896132071,1.26407133649309e-08,GLM,100,1,0.05,0,0
0.0539500113197533,0.0425916035980618,0.0653084190414448,0,EN,100,1,0.05,0,0
0.162718359925087,0.151359952203396,0.174076767646779,0,AEN,100,1,0.05,0,0
-0.00634096140428264,-0.0176993691259742,0.00501744631740887,0.454348254150579,RF,100,1,0.05,0,0
-0.00274046363649472,-0.0140983651569072,0.00861743788391774,0.938522567918719,GLM,1000,20,0.1,0,0
0.0053888321587352,-0.00596906936167725,0.0167467336791477,0.59723511012068,EN,1000,20,0.1,0,0
0.0400767744139146,0.0287188728935021,0.051434675934327,0,AEN,1000,20,0.1,0,0
