Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.0206233250100218,0.0181348842363886,0.023111765783655,0,GLM,100,0.5,0.01,0,0
0.0173997299120638,0.0149112891384309,0.0198881706856968,0,EN,100,0.5,0.01,0,0
-0.00831440833909311,-0.0108028491127255,-0.00582596756546076,1.33226762955019e-15,AEN,100,0.5,0.01,0,0
0.0149934258964264,0.0125049851227922,0.0174818666700605,0,RF,100,0.5,0.01,0,0
0.0233043096787747,0.0208170556288473,0.0257915637287022,0,GLM,500,10,0.05,0,0
-0.0134041546948093,-0.0158914087447367,-0.0109169006448819,0,EN,500,10,0.05,0,0
-0.0212784298656276,-0.023765683915555,-0.0187911758157002,0,AEN,500,10,0.05,0,0
0.0193460525613995,0.0168587985114721,0.021833306611327,0,RF,500,10,0.05,0,0
0.0223625163716156,0.0198753137272236,0.0248497190160075,0,GLM,500,20,0.1,0,0
-0.01269963027429,-0.0151868329186819,-0.010212427629898,0,EN,500,20,0.1,0,0
-0.0224036745343019,-0.0248908771786938,-0.01991647188991,0,AEN,500,20,0.1,0,0
0.0201362491436419,0.01764904649925,0.0226234517880338,0,RF,500,20,0.1,0,0
0.0217368824073002,0.019248446104635,0.0242253187099653,0,GLM,1000,20,0.05,0.95,0
-0.0194296802436897,-0.0219181165463548,-0.0169412439410246,0,EN,1000,20,0.05,0.95,0
-0.0247041436014212,-0.0271925799040863,-0.0222157072987561,0,AEN,1000,20,0.05,0.95,0
0.0195893714847082,0.0171009351820431,0.0220778077873733,0,RF,1000,20,0.05,0.95,0
0.0236063123760619,0.0211192560769079,0.026093368675216,0,GLM,500,10,0.05,0.95,0
-0.0212909644733612,-0.0237780207725152,-0.0188039081742071,0,EN,500,10,0.05,0.95,0
-0.0257979789641344,-0.0282850352632884,-0.0233109226649803,0,AEN,500,10,0.05,0.95,0
0.0207958757996995,0.0183088195005455,0.0232829320988535,0,RF,500,10,0.05,0.95,0
0.0236261929928139,0.0211372500709644,0.0261151359146635,0,GLM,500,20,0.1,0.95,0
-0.0248101310836336,-0.0272990740054831,-0.0223211881617841,0,EN,500,20,0.1,0.95,0
-0.02850650801395,-0.0309954509357995,-0.0260175650921005,0,AEN,500,20,0.1,0.95,0
0.0225608391362679,0.0200718962144184,0.0250497820581175,0,RF,500,20,0.1,0.95,0
0.0326362910923212,0.0301479391206178,0.0351246430640246,0,GLM,1000,20,0.05,0,0.9
-0.0365855811725802,-0.0390739331442835,-0.0340972292008768,0,EN,1000,20,0.05,0,0.9
-0.0359134359948429,-0.0384017879665463,-0.0334250840231395,0,AEN,1000,20,0.05,0,0.9
0.0278462786589556,0.0253579266872522,0.030334630630659,0,RF,1000,20,0.05,0,0.9
0.033139780616381,0.0306502376370118,0.0356293235957502,0,GLM,500,10,0.05,0,0.9
-0.0356744333357776,-0.0381639763151468,-0.0331848903564084,0,EN,500,10,0.05,0,0.9
-0.0352171583428064,-0.0377067013221756,-0.0327276153634372,0,AEN,500,10,0.05,0,0.9
