Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.211585095363159,-0.226307792264293,-0.196862398462025,0,GLM,100,0.5,0.01,0,0
-0.183776825428025,-0.198499522329158,-0.169054128526892,0,EN,100,0.5,0.01,0,0
0.0914311285294491,0.0767084316283198,0.106153825430579,0,AEN,100,0.5,0.01,0,0
-0.154128715058278,-0.168851411959418,-0.139406018157138,0,RF,100,0.5,0.01,0,0
-0.126431927341808,-0.141160091355788,-0.111703763327828,0,GLM,500,10,0.05,0,0
0.0763046183086944,0.0615764542947144,0.0910327823226745,0,EN,500,10,0.05,0,0
0.11709057750116,0.10236241348718,0.13181874151514,0,AEN,500,10,0.05,0,0
-0.104666562419808,-0.119394726433788,-0.0899383984058277,0,RF,500,10,0.05,0,0
-0.101173726886622,-0.115899083949236,-0.0864483698240079,0,GLM,500,20,0.1,0,0
0.059260741506322,0.0445353844437081,0.073986098568936,0,EN,500,20,0.1,0,0
0.102458653204602,0.0877332961419883,0.117184010267216,0,AEN,500,20,0.1,0,0
-0.0909729140664641,-0.105698271129078,-0.0762475570038502,0,RF,500,20,0.1,0,0
-0.118870963147453,-0.133594955068432,-0.104146971226474,0,GLM,1000,20,0.05,0.95,0
0.108826185389203,0.0941021934682243,0.123550177310182,0,EN,1000,20,0.05,0.95,0
0.135434310518234,0.120710318597256,0.150158302439213,0,AEN,1000,20,0.05,0.95,0
-0.108650345106354,-0.123374337027333,-0.0939263531853751,0,RF,1000,20,0.05,0.95,0
-0.128920489322262,-0.143644843179106,-0.114196135465417,0,GLM,500,10,0.05,0.95,0
0.116709697681779,0.101985343824934,0.131434051538623,0,EN,500,10,0.05,0.95,0
0.139825083174927,0.125100729318082,0.154549437031771,0,AEN,500,10,0.05,0.95,0
-0.114754789020311,-0.129479142877155,-0.100030435163466,0,RF,500,10,0.05,0.95,0
-0.108436377744919,-0.123160464950839,-0.0937122905389992,0,GLM,500,20,0.1,0.95,0
0.114367097139519,0.0996430099335996,0.129091184345439,0,EN,500,20,0.1,0.95,0
0.130991955946511,0.116267868740591,0.145716043152431,0,AEN,500,20,0.1,0.95,0
-0.104007149030967,-0.118731236236887,-0.0892830618250473,0,RF,500,20,0.1,0.95,0
-0.191795618722153,-0.206521489189679,-0.177069748254627,0,GLM,1000,20,0.05,0,0.9
0.215017434075022,0.200291563607496,0.229743304542548,0,EN,1000,20,0.05,0,0.9
0.211072346630938,0.196346476163412,0.225798217098464,0,AEN,1000,20,0.05,0,0.9
-0.163639855513425,-0.178365725980951,-0.148913985045899,0,RF,1000,20,0.05,0,0.9
-0.194650116087126,-0.209379398700092,-0.17992083347416,0,GLM,500,10,0.05,0,0.9
0.209551106365986,0.19482182375302,0.224280388978952,0,EN,500,10,0.05,0,0.9
0.206866900215091,0.192137617602125,0.221596182828057,0,AEN,500,10,0.05,0,0.9
-0.162137585753968,-0.176866868366934,-0.147408303141001,0,RF,500,10,0.05,0,0.9
-0.155899910203498,-0.170626224558993,-0.141173595848003,0,GLM,500,20,0.1,0,0.9
0.205142374466055,0.19041606011056,0.219868688821549,0,EN,500,20,0.1,0,0.9
0.201737985215647,0.187011670860152,0.216464299571142,0,AEN,500,20,0.1,0,0.9
-0.13488773512243,-0.149614049477925,-0.120161420766935,0,RF,500,20,0.1,0,0.9
-0.126670663959563,-0.141399566140235,-0.111941761778892,0,GLM,1000,20,0.05,0.95,0.9
0.18437644278573,0.169647540605058,0.199105344966401,0,EN,1000,20,0.05,0.95,0.9
0.233178257684701,0.21844935550403,0.247907159865373,0,AEN,1000,20,0.05,0.95,0.9
-0.0965245743885272,-0.111253476569199,-0.0817956722078557,0,RF,1000,20,0.05,0.95,0.9
-0.13767537363224,-0.152402203538483,-0.122948543725997,0,GLM,500,10,0.05,0.95,0.9
0.171580771550792,0.156853941644549,0.186307601457035,0,EN,500,10,0.05,0.95,0.9
0.21415227570594,0.199425445799697,0.228879105612183,0,AEN,500,10,0.05,0.95,0.9
-0.104045657112731,-0.118772487018974,-0.0893188272064877,0,RF,500,10,0.05,0.95,0.9
-0.155246793284326,-0.16997618425089,-0.140517402317762,0,GLM,500,20,0.05,0,0
-0.118563151317332,-0.133292542283896,-0.103833760350768,0,EN,500,20,0.05,0,0
0.0895745451107973,0.0748451541442334,0.104303936077361,0,AEN,500,20,0.05,0,0
-0.112934514454948,-0.127663905421512,-0.0982051234883842,0,RF,500,20,0.05,0,0
-0.106699548734811,-0.121418534794476,-0.0919805626751464,0,GLM,500,20,0.1,0.95,0.9
0.158997828017056,0.144278841957391,0.173716814076721,0,EN,500,20,0.1,0.95,0.9
0.199612642831471,0.184893656771806,0.214331628891136,0,AEN,500,20,0.1,0.95,0.9
-0.0827309848567149,-0.0974499709163798,-0.06801199879705,0,RF,500,20,0.1,0.95,0.9
-0.133558738597361,-0.148286179089138,-0.118831298105584,0,GLM,500,1,0.01,0,0
0.039727270570684,0.0249998300789071,0.054454711062461,1.72030167888693e-10,EN,500,1,0.01,0,0
0.162031867788968,0.147304427297191,0.176759308280745,0,AEN,500,1,0.01,0,0
-0.0800021686763028,-0.0947296091680798,-0.0652747281845259,0,RF,500,1,0.01,0,0
-0.0784603379018228,-0.0931864168473598,-0.0637342589562858,0,GLM,1000,10,0.05,0,0
0.0123311420185256,-0.00239493692701134,0.0270572209640626,0.129889709790122,EN,1000,10,0.05,0,0
0.122397859839925,0.107671780894388,0.137123938785462,0,AEN,1000,10,0.05,0,0
-0.0660938697501001,-0.0808199486956371,-0.0513677908045631,0,RF,1000,10,0.05,0,0
-0.137560038886393,-0.152289351994918,-0.122830725777868,0,GLM,100,1,0.05,0,0
0.0610371642245913,0.0463078511160659,0.0757664773331166,0,EN,100,1,0.05,0,0
