Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.0204546728349559,0.0179764950570889,0.0229328506128229,0,GLM,100,0.5,0.01,0,0
0.0176048595708938,0.0151191871537915,0.0200905319879961,0,EN,100,0.5,0.01,0,0
-0.00840939442736716,-0.0108894310618435,-0.0059293577928908,3.33066907387547e-16,AEN,100,0.5,0.01,0,0
0.0148247737215054,0.0123465959436388,0.017302951499372,0,RF,100,0.5,0.01,0,0
0.0233043096787748,0.0208283336569538,0.0257802857005958,0,GLM,500,10,0.05,0,0
-0.0134041546948093,-0.0158801307166302,-0.0109281786729883,0,EN,500,10,0.05,0,0
-0.0212784298656276,-0.0237544058874485,-0.0188024538438066,0,AEN,500,10,0.05,0,0
0.0193460525613996,0.0168700765395786,0.0218220285832205,0,RF,500,10,0.05,0,0
0.0223625163716155,0.0198853411149733,0.0248396916282578,0,GLM,500,20,0.1,0,0
-0.0126996302742899,-0.0151768055309322,-0.0102224550176477,0,EN,500,20,0.1,0,0
-0.0224036745343019,-0.0248808497909441,-0.0199264992776597,0,AEN,500,20,0.1,0,0
0.0201362491436419,0.0176590738869996,0.0226134244002841,0,RF,500,20,0.1,0,0
0.0217368824073002,0.0192608502556225,0.0242129145589778,0,GLM,1000,20,0.05,0.95,0
-0.0194296802436897,-0.0219057123953673,-0.0169536480920121,0,EN,1000,20,0.05,0.95,0
-0.0247041436014212,-0.0271801757530988,-0.0222281114497436,0,AEN,1000,20,0.05,0.95,0
0.0195893714847082,0.0171133393330305,0.0220654036363858,0,RF,1000,20,0.05,0.95,0
0.0236063123760619,0.0211318560643069,0.0260807686878169,0,GLM,500,10,0.05,0.95,0
-0.0212909644733612,-0.0237654207851162,-0.0188165081616062,0,EN,500,10,0.05,0.95,0
-0.0257979789641344,-0.0282724352758894,-0.0233235226523794,0,AEN,500,10,0.05,0.95,0
0.0207958757996994,0.0183214194879444,0.0232703321114545,0,RF,500,10,0.05,0.95,0
0.023626192992814,0.0211515459675292,0.0261008400180988,0,GLM,500,20,0.1,0.95,0
-0.0248101310836335,-0.0272847781089183,-0.0223354840583487,0,EN,500,20,0.1,0.95,0
-0.02850650801395,-0.0309811550392348,-0.0260318609886652,0,AEN,500,20,0.1,0.95,0
0.022560839136268,0.0200861921109832,0.0250354861615528,0,RF,500,20,0.1,0.95,0
0.0326362910923212,0.0301604194544386,0.0351121627302039,0,GLM,1000,20,0.05,0,0.9
-0.0365855811725802,-0.0390614528104629,-0.0341097095346976,0,EN,1000,20,0.05,0,0.9
-0.0359134359948429,-0.0383893076327255,-0.0334375643569602,0,AEN,1000,20,0.05,0,0.9
0.0278462786589556,0.0253704070210729,0.0303221502968382,0,RF,1000,20,0.05,0,0.9
0.0331397806163809,0.0306638238545865,0.0356157373781753,0,GLM,500,10,0.05,0,0.9
-0.0356744333357777,-0.0381503900975721,-0.0331984765739833,0,EN,500,10,0.05,0,0.9
-0.0352171583428065,-0.0376931151046009,-0.0327412015810121,0,AEN,500,10,0.05,0,0.9
0.0276054041808055,0.0251294474190111,0.0300813609425999,0,RF,500,10,0.05,0,0.9
0.0327991526739545,0.0303233028627213,0.0352750024851877,0,GLM,500,20,0.1,0,0.9
-0.0431610097706411,-0.0456368595818743,-0.0406851599594079,0,EN,500,20,0.1,0,0.9
-0.0424441011158808,-0.044919950927114,-0.0399682513046476,0,AEN,500,20,0.1,0,0.9
0.0283792208209887,0.0259033710097555,0.0308550706322219,0,RF,500,20,0.1,0,0.9
0.0215672172683331,0.0190909704241472,0.0240434641125189,0,GLM,1000,20,0.05,0.95,0.9
-0.0313789913077138,-0.0338552381518996,-0.0289027444635279,0,EN,1000,20,0.05,0.95,0.9
-0.0396821088471966,-0.0421583556913824,-0.0372058620030107,0,AEN,1000,20,0.05,0.95,0.9
0.0164363244277506,0.0139600775835648,0.0189125712719365,0,RF,1000,20,0.05,0.95,0.9
0.0234546965304976,0.020978434558026,0.0259309585029693,0,GLM,500,10,0.05,0.95,0.9
-0.0292135599087302,-0.0316898218812018,-0.0267372979362586,0,EN,500,10,0.05,0.95,0.9
-0.0364644726582476,-0.0389407346307193,-0.033988210685776,0,AEN,500,10,0.05,0.95,0.9
0.0177291613357961,0.0152528993633245,0.0202054233082678,0,RF,500,10,0.05,0.95,0.9
0.0274937303751827,0.025018257413333,0.0299692033370324,0,GLM,500,20,0.05,0,0
0.0207463590255562,0.0182708860637065,0.0232218319874058,0,EN,500,20,0.05,0,0
-0.0154035917820197,-0.0178790647438694,-0.0129281188201701,0,AEN,500,20,0.05,0,0
0.0200545965601189,0.0175791235982692,0.0225300695219685,0,RF,500,20,0.05,0,0
0.0224480455054065,0.0199708512939688,0.0249252397168442,0,GLM,500,20,0.1,0.95,0.9
-0.0334543915026553,-0.035931585714093,-0.0309771972912176,0,EN,500,20,0.1,0.95,0.9
-0.041995302904577,-0.0444724971160147,-0.0395181086931393,0,AEN,500,20,0.1,0.95,0.9
0.0174063441376924,0.0149291499262547,0.0198835383491301,0,RF,500,20,0.1,0.95,0.9
0.0157234446643278,0.0132482575480826,0.018198631780573,0,GLM,500,1,0.01,0,0
-0.00419414549098091,-0.0066693326072261,-0.00171895837473571,0.000142921047666666,EN,500,1,0.01,0,0
-0.0190835555269974,-0.0215587426432426,-0.0166083684107522,0,AEN,500,1,0.01,0,0
0.00930551013777461,0.00683032302152942,0.0117806972540198,0,RF,500,1,0.01,0,0
0.0155243170407542,0.0130481931972079,0.0180004408843006,0,GLM,1000,10,0.05,0,0
-0.0022914410490308,-0.00476756489257714,0.000184682794515541,0.0789041662518599,EN,1000,10,0.05,0,0
-0.0238280129410806,-0.0263041367846269,-0.0213518890975343,0,AEN,1000,10,0.05,0,0
0.0130785617060539,0.0106024378625076,0.0155546855496003,0,RF,1000,10,0.05,0,0
0.0270500914854179,0.024574750972505,0.0295254319983308,0,GLM,100,1,0.05,0,0
-0.0115692210323698,-0.0140445615452827,-0.00909388051945685,0,EN,100,1,0.05,0,0
-0.0337219308018502,-0.0361972713147631,-0.0312465902889373,0,AEN,100,1,0.05,0,0
0.0165075606226509,0.0140322201097379,0.0189829011355638,0,RF,100,1,0.05,0,0
0.0155736556413108,0.013097605807912,0.0180497054747096,0,GLM,1000,20,0.1,0,0
-0.00303568783924302,-0.00551173767264183,-0.000559638005844203,0.0100067832443167,EN,1000,20,0.1,0,0
-0.023933485419203,-0.0264095352526019,-0.0214574355858042,0,AEN,1000,20,0.1,0,0
0.0146601521628478,0.012184102329449,0.0171362019962466,0,RF,1000,20,0.1,0,0
0.0180458038409816,0.0155695443354718,0.0205220633464914,0,GLM,500,10,0.1,0,0
-0.00348504969357555,-0.00596130919908537,-0.00100879018806572,0.00220925926240312,EN,500,10,0.1,0,0
-0.0264517383208377,-0.0289279978263475,-0.0239754788153279,0,AEN,500,10,0.1,0,0
0.0144168653577157,0.0119406058522059,0.0168931248632255,0,RF,500,10,0.1,0,0
0.0158521417488006,0.0133768430953699,0.0183274404022313,0,GLM,500,1,0.01,0.95,0
-0.00458956083732986,-0.00706485949076059,-0.00211426218389914,2.0479925317396e-05,EN,500,1,0.01,0.95,0
-0.0212804444285226,-0.0237557430819533,-0.0188051457750918,0,AEN,500,1,0.01,0.95,0
0.0129746026217571,0.0104993039683264,0.0154499012751879,0,RF,500,1,0.01,0.95,0
0.0178425883448615,0.015366918759878,0.0203182579298451,0,GLM,1000,10,0.05,0.95,0
-0.00543291727366715,-0.00790858685865068,-0.00295724768868363,3.46978903387196e-07,EN,1000,10,0.05,0.95,0
-0.0285504150263584,-0.0310260846113419,-0.0260747454413749,0,AEN,1000,10,0.05,0.95,0
0.016754761194527,0.0142790916095434,0.0192304307795105,0,RF,1000,10,0.05,0.95,0
0.0235514856892683,0.0210756787724529,0.0260272926060836,0,GLM,100,1,0.05,0.95,0
-0.00914626507369518,-0.0116220719905105,-0.00667045815687982,0,EN,100,1,0.05,0.95,0
-0.0323423950697813,-0.0348182019865966,-0.0298665881529659,0,AEN,100,1,0.05,0.95,0
0.0256247945763902,0.0231489876595748,0.0281006014932055,0,RF,100,1,0.05,0.95,0
0.0175440094408573,0.0150676030509616,0.0200204158307529,0,GLM,1000,20,0.1,0.95,0
-0.00538677558329892,-0.00786318197319457,-0.00291036919340327,3.77972524834291e-07,EN,1000,20,0.1,0.95,0
-0.0301715934202429,-0.0326479998101386,-0.0276951870303473,0,AEN,1000,20,0.1,0.95,0
0.0185929269287454,0.0161165205388497,0.021069333318641,0,RF,1000,20,0.1,0.95,0
0.0171839230572695,0.0146820830175861,0.019685763096953,0,GLM,100,0.5,0.01,0.95,0
0.0184373448240604,0.0159088001993359,0.020965889448785,0,EN,100,0.5,0.01,0.95,0
-0.0119858828795334,-0.0145157503086836,-0.00945601545038317,0,AEN,100,0.5,0.01,0.95,0
0.0136632967089119,0.0111614566692285,0.0161651367485954,0,RF,100,0.5,0.01,0.95,0
0.02116775519141,0.018692801191247,0.023642709191573,0,GLM,500,10,0.1,0.95,0
-0.00642497776463502,-0.00889993176479805,-0.00395002376447199,5.46715561711153e-10,EN,500,10,0.1,0.95,0
-0.0330198523762039,-0.0354948063763669,-0.0305448983760408,0,AEN,500,10,0.1,0.95,0
0.0211266118367721,0.0186516578366091,0.0236015658369351,0,RF,500,10,0.1,0.95,0
0.0192383318965249,0.0167605247977215,0.0217161389953283,0,GLM,500,1,0.01,0,0.9
-0.0151372010643709,-0.0176150081631744,-0.0126593939655675,0,EN,500,1,0.01,0,0.9
-0.0154744165271184,-0.0179522236259218,-0.012996609428315,0,AEN,500,1,0.01,0,0.9
0.0157904376442398,0.0133126305454363,0.0182682447430432,0,RF,500,1,0.01,0,0.9
0.0322616452509231,0.0297857243663725,0.0347375661354736,0,GLM,1000,10,0.05,0,0.9
-0.0356627133075772,-0.0381386341921277,-0.0331867924230266,0,EN,1000,10,0.05,0,0.9
-0.0363670893788965,-0.038843010263447,-0.0338911684943459,0,AEN,1000,10,0.05,0,0.9
0.0284333404210783,0.0259574195365278,0.0309092613056289,0,RF,1000,10,0.05,0,0.9
0.0285554545999173,0.0260803726254306,0.031030536574404,0,GLM,100,1,0.05,0,0.9
-0.0299074725620092,-0.0323825545364959,-0.0274323905875226,0,EN,100,1,0.05,0,0.9
-0.0309845142566262,-0.0334595962311129,-0.0285094322821396,0,AEN,100,1,0.05,0,0.9
0.0259878623945878,0.0235127804201011,0.0284629443690745,0,RF,100,1,0.05,0,0.9
0.0322950900276429,0.0298194256715874,0.0347707543836983,0,GLM,1000,20,0.1,0,0.9
-0.0423589090610762,-0.0448345734171317,-0.0398832447050207,0,EN,1000,20,0.1,0,0.9
-0.0435581886005898,-0.0460338529566452,-0.0410825242445343,0,AEN,1000,20,0.1,0,0.9
0.0302889877847324,0.0278133234286769,0.0327646521407878,0,RF,1000,20,0.1,0,0.9
0.0320296916911753,0.0295535274942664,0.0345058558880842,0,GLM,500,10,0.1,0,0.9
-0.0422319528204618,-0.0447081170173707,-0.039755788623553,0,EN,500,10,0.1,0,0.9
-0.0431106124181379,-0.0455867766150467,-0.040634448221229,0,AEN,500,10,0.1,0,0.9
0.0289661112035275,0.0264899470066187,0.0314422754004364,0,RF,500,10,0.1,0,0.9
0.0125442757995822,0.0100682038608287,0.0150203477383356,0,GLM,500,1,0.01,0.95,0.9
-0.00642774146820368,-0.0089038134069571,-0.00395166952945027,1.13809395241304e-09,EN,500,1,0.01,0.95,0.9
-0.0192757962555478,-0.0217518681943012,-0.0167997243167944,0,AEN,500,1,0.01,0.95,0.9
0.00911045430932377,0.00663438237057036,0.0115865262480772,0,RF,500,1,0.01,0.95,0.9
0.0188160282877267,0.0163387570131131,0.0212932995623403,0,GLM,1000,10,0.05,0.95,0.9
-0.0136586419130481,-0.0161359131876617,-0.0111813706384344,0,EN,1000,10,0.05,0.95,0.9
-0.0429545747677645,-0.0454318460423781,-0.0404773034931509,0,AEN,1000,10,0.05,0.95,0.9
0.0146755671035831,0.0121982958289695,0.0171528383781967,0,RF,1000,10,0.05,0.95,0.9
0.0226473371418771,0.0201728313316838,0.0251218429520703,0,GLM,100,1,0.05,0.95,0.9
-0.0123054909333838,-0.014779996743577,-0.00983098512319056,0,EN,100,1,0.05,0.95,0.9
-0.0310001836011392,-0.0334746894113324,-0.028525677790946,0,AEN,100,1,0.05,0.95,0.9
0.0215144880389196,0.0190399822287264,0.0239889938491129,0,RF,100,1,0.05,0.95,0.9
0.0184028919458113,0.0159270124374673,0.0208787714541554,0,GLM,1000,20,0.1,0.95,0.9
-0.0146557221996489,-0.017131601707993,-0.0121798426913048,0,EN,1000,20,0.1,0.95,0.9
-0.0486102751018993,-0.0510861546102434,-0.0461343955935552,0,AEN,1000,20,0.1,0.95,0.9
0.015681794699508,0.0132059151911639,0.018157674207852,0,RF,1000,20,0.1,0.95,0.9
0.0271576174190879,0.0246812610917572,0.0296339737464186,0,GLM,500,20,0.05,0.95,0
0.0265347180063916,0.0240583616790609,0.0290110743337223,0,EN,500,20,0.05,0.95,0
-0.0204479077920267,-0.0229242641193575,-0.017971551464696,0,AEN,500,20,0.05,0.95,0
0.0200478859736429,0.0175715296463122,0.0225242423009736,0,RF,500,20,0.05,0.95,0
0.019813400455754,0.0173368908577589,0.0222899100537491,0,GLM,500,10,0.1,0.95,0.9
-0.0139993365924439,-0.016475846190439,-0.0115228269944488,0,EN,500,10,0.1,0.95,0.9
