Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.000852091622876472,-0.00745975952956359,0.00575557628381065,0.99188345964092,GLM,100,0.5,0.01,0,0.3
0.000485693866950521,-0.00749654070000319,0.00846792843390424,0.999555273601256,EN,100,0.5,0.01,0,0.3
-0.000552604497263687,-0.00844315628007642,0.00733794728554904,0.999226862482545,AEN,100,0.5,0.01,0,0.3
-0.007833691627531,-0.0144413595342228,-0.0012260237208392,0.0147224911517102,RF,100,0.5,0.01,0,0.3
2.00000000005751e-07,-0.00508294905278614,0.00508334905278615,1,GLM,500,20,0.05,0,0.6
0,-0.00508314905278615,0.00508314905278615,1,EN,500,20,0.05,0,0.6
0,-0.00508314905278615,0.00508314905278615,1,AEN,500,20,0.05,0,0.6
0.000811600000000801,-0.00427154905278535,0.00589474905278695,0.98570321533999,RF,500,20,0.05,0,0.6
-0.00719479999999972,-0.0122756858232645,-0.00211391417673499,0.00210228282816338,GLM,500,10,0.1,0.95,0.6
-0.00012660000000031,-0.00520748582326505,0.00495428582326443,0.999990122329571,EN,500,10,0.1,0.95,0.6
0.00994139999999943,0.0048605141767347,0.0150222858232642,5.75830994520299e-06,AEN,500,10,0.1,0.95,0.6
-0.0014315999999992,-0.00651248582326394,0.00364928582326554,0.898562200634941,RF,500,10,0.1,0.95,0.6
0.000114609022556889,-0.0052676763825789,0.00549689442769268,0.999994392269318,GLM,500,1,0.01,0,0.9
-2.73587193793112e-05,-0.00568983688817867,0.00563511944942005,0.999999985093307,EN,500,1,0.01,0,0.9
-4.13014633774411e-05,-0.00574684530054203,0.00566424237378715,0.999999924904522,AEN,500,1,0.01,0,0.9
1.50090225563559e-05,-0.00536727638257944,0.00539729442769215,0.999999998345708,RF,500,1,0.01,0,0.9
5.55111512312578e-16,-0.0050814303790509,0.00508143037905201,1,GLM,1000,10,0.05,0,0.9
0,-0.00508143037905145,0.00508143037905145,1,EN,1000,10,0.05,0,0.9
0,-0.00508143037905145,0.00508143037905145,1,AEN,1000,10,0.05,0,0.9
0.000420000000001863,-0.00466143037904959,0.00550143037905332,0.998849483136476,RF,1000,10,0.05,0,0.9
0.00466017241379391,-0.000694428712641157,0.010014773540229,0.107891283486594,GLM,100,1,0.05,0,0.9
-8.96897415958442e-05,-0.00573983379711945,0.00556045431392776,0.999998278580539,EN,100,1,0.05,0,0.9
-1.95824881702444e-05,-0.00563820880782656,0.00559904383148607,0.999999995993219,AEN,100,1,0.05,0,0.9
0.000766772413792083,-0.00458782871264298,0.00612137354022715,0.990006402374344,RF,100,1,0.05,0,0.9
-7.7715611723761e-16,-0.00508070245750829,0.00508070245750674,1,GLM,1000,20,0.1,0,0.9
0,-0.00508070245750751,0.00508070245750751,1,EN,1000,20,0.1,0,0.9
2.22044604925031e-16,-0.00508070245750729,0.00508070245750774,1,AEN,1000,20,0.1,0,0.9
0.00113459999999987,-0.00394610245750764,0.00621530245750739,0.952731611578627,RF,1000,20,0.1,0,0.9
1.99999999994649e-06,-0.00508001337743517,0.00508401337743507,0.999999999999382,GLM,500,10,0.1,0,0.9
0,-0.00508201337743512,0.00508201337743512,1,EN,500,10,0.1,0,0.9
1.11022302462516e-16,-0.00508201337743501,0.00508201337743523,1,AEN,500,10,0.1,0,0.9
0.0021613999999992,-0.00292061337743592,0.00724341337743432,0.683663294903064,RF,500,10,0.1,0,0.9
0.000162256790124826,-0.00519933626915305,0.0055238498494027,0.999977205355219,GLM,500,1,0.01,0.3,0.9
5.7835227973424e-06,-0.00563368450858981,0.00564525155418449,0.999999999969755,EN,500,1,0.01,0.3,0.9
-4.10418548524305e-06,-0.00562287653899753,0.00561466816802704,0.999999999992216,AEN,500,1,0.01,0.3,0.9
4.30567901242851e-05,-0.00531853626915359,0.00540464984940216,0.999999886328852,RF,500,1,0.01,0.3,0.9
0,-0.00508293308002538,0.00508293308002538,1,GLM,1000,10,0.05,0.3,0.9
0,-0.00508293308002538,0.00508293308002538,1,EN,1000,10,0.05,0.3,0.9
0,-0.00508293308002538,0.00508293308002538,1,AEN,1000,10,0.05,0.3,0.9
0.00039220000000062,-0.00469073308002476,0.005475133080026,0.999120348754697,RF,1000,10,0.05,0.3,0.9
0.00500454228855562,-0.000365702876970225,0.0103747874540815,0.0757082995649235,GLM,100,1,0.05,0.3,0.9
3.57398194185121e-05,-0.00560823544811892,0.00567971508695595,0.999999955929803,EN,100,1,0.05,0.3,0.9
3.88462101217346e-05,-0.00559478318907253,0.005672475609316,0.999999938042212,AEN,100,1,0.05,0.3,0.9
0.00101934228855671,-0.00435090287696914,0.00638958745408256,0.971788920406541,RF,100,1,0.05,0.3,0.9
1.11022302462516e-16,-0.00508312967488458,0.0050831296748848,1,GLM,1000,20,0.1,0.3,0.9
0,-0.00508312967488469,0.00508312967488469,1,EN,1000,20,0.1,0.3,0.9
0,-0.00508312967488469,0.00508312967488469,1,AEN,1000,20,0.1,0.3,0.9
0.00116360000000149,-0.0039195296748832,0.00624672967488617,0.948483417183699,RF,1000,20,0.1,0.3,0.9
0.00114956923076903,-0.00780328420976193,0.0101024226713,0.989709177219799,GLM,100,0.5,0.01,0.3,0.6
-1.81196581200416e-05,-0.0116961814671343,0.0116599421508942,0.999999999739121,EN,100,0.5,0.01,0.3,0.6
