Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.0529012432597624,-0.0752909055849926,-0.0305115809345322,2.36862942593064e-08,GLM,100,0.5,0.01,0,0.3
0.00282613033806467,-0.0242211636662247,0.0298734243423541,0.996330160987238,EN,100,0.5,0.01,0,0.3
0.108487990615348,0.0817513578923069,0.135224623338389,0,AEN,100,0.5,0.01,0,0.3
0.0183781188248023,-0.00401154350044377,0.0407677811500484,0.137348782633778,RF,100,0.5,0.01,0,0.3
-0.00923048846968066,-0.026433202737472,0.00797222579811062,0.490167688761025,GLM,500,20,0.05,0,0.6
-0.0042256251173427,-0.021428339385134,0.0129770891504486,0.93477701952714,EN,500,20,0.05,0,0.6
-0.000220928258236497,-0.0174236425260278,0.0169817860095548,0.99999930019863,AEN,500,20,0.05,0,0.6
-0.00877145002391977,-0.0259741642917111,0.00843126424387152,0.535519792254054,RF,500,20,0.05,0,0.6
-0.0351447878189107,-0.0523478556431872,-0.0179417199946343,1.93662042191622e-06,GLM,500,10,0.1,0.95,0.6
-0.000151995325360033,-0.0173550631496365,0.0170510724989164,0.999999843133428,EN,500,10,0.1,0.95,0.6
0.109703498576303,0.0925004307520269,0.12690656640058,0,AEN,500,10,0.1,0.95,0.6
0.00532356025113656,-0.0118795075731399,0.022526628075413,0.864817654696726,RF,500,10,0.1,0.95,0.6
-0.019987612309741,-0.038202424462971,-0.00177280015651096,0.0261791369719069,GLM,500,1,0.01,0,0.9
-0.00430721023941405,-0.0234702550062391,0.014855834527411,0.94936477821795,EN,500,1,0.01,0,0.9
0.00116714460794987,-0.0181416436489505,0.0204759328648503,0.999643834610084,AEN,500,1,0.01,0,0.9
-0.0114314547746003,-0.0296462669278303,0.00678335737862976,0.344288087331238,RF,500,1,0.01,0,0.9
-0.00875279479218183,-0.0259575585875399,0.00845196900317624,0.537484989891319,GLM,1000,10,0.05,0,0.9
-0.00206250549390075,-0.0192672692892588,0.0151422583014573,0.995137650904266,EN,1000,10,0.05,0,0.9
0.000454754787635125,-0.0167500090077229,0.0176595185829932,0.999987479951047,AEN,1000,10,0.05,0,0.9
-0.00855947389429135,-0.0257642376896494,0.00864528990106672,0.556872799982794,RF,1000,10,0.05,0,0.9
-0.00876688968972672,-0.0268966452950638,0.00936286591561036,0.574811349140367,GLM,100,1,0.05,0,0.9
-0.00104834720143721,-0.0201787601757813,0.0180820657729069,0.999759662537492,EN,100,1,0.05,0,0.9
0.000647238194139144,-0.0183764611641923,0.0196709375524706,0.999963852800533,AEN,100,1,0.05,0,0.9
-0.008575529726084,-0.0267052853314211,0.00955422587925308,0.593345460735249,RF,100,1,0.05,0,0.9
-0.00629324188812175,-0.0234988691083955,0.010912385332152,0.783046789246854,GLM,1000,20,0.1,0,0.9
-0.00224910491288344,-0.0194547321331572,0.0149565223073903,0.993238932907839,EN,1000,20,0.1,0,0.9
-0.00018993007115875,-0.0173955572914325,0.017015697149115,0.999999617647964,AEN,1000,20,0.1,0,0.9
-0.00707971104099581,-0.0242853382612695,0.0101259161792779,0.70740774099975,RF,1000,20,0.1,0,0.9
-0.00655923857599217,-0.0237705625067833,0.010652085354799,0.758128466856133,GLM,500,10,0.1,0,0.9
-0.00202473959922556,-0.0192360635300167,0.0151865843315656,0.995469512998866,EN,500,10,0.1,0,0.9
-2.29172778474229e-05,-0.0172342412086386,0.0171884066529437,0.99999999991889,AEN,500,10,0.1,0,0.9
-0.00685241529451974,-0.0240637392253109,0.0103589086362714,0.729844559135227,RF,500,10,0.1,0,0.9
-0.0203507614275504,-0.0384870272096677,-0.0022144956454332,0.0222614244585475,GLM,500,1,0.01,0.3,0.9
-0.00341902819712891,-0.0224952411726743,0.0156571847784165,0.977126608469556,EN,500,1,0.01,0.3,0.9
0.0004898945611016,-0.0185163126698209,0.0194961017920241,0.999988017040607,AEN,500,1,0.01,0.3,0.9
-0.0106819265052031,-0.0288181922873203,0.00745433927691418,0.400697604513573,RF,500,1,0.01,0.3,0.9
-0.00949425427777351,-0.026702924074681,0.00771441551913396,0.464826799427956,GLM,1000,10,0.05,0.3,0.9
-0.0027769445293121,-0.0199856143262196,0.0144317252675954,0.985124652207985,EN,1000,10,0.05,0.3,0.9
9.5223823193491e-05,-0.017113445973714,0.017303893620101,0.999999975827427,AEN,1000,10,0.05,0.3,0.9
-0.00863982895919913,-0.0258484987561066,0.00856884083770834,0.548770514052843,RF,1000,10,0.05,0.3,0.9
-0.00963362110568611,-0.0278052371202463,0.00853799490887409,0.494210653841432,GLM,100,1,0.05,0.3,0.9
-0.00238089345058112,-0.0214787461921556,0.0167169592909934,0.99402924956853,EN,100,1,0.05,0.3,0.9
-0.000342758095645324,-0.0194056029109381,0.0187200867196475,0.999997144737656,AEN,100,1,0.05,0.3,0.9
-0.00931366845873927,-0.0274852844732995,0.00885794755582093,0.524027156885969,RF,100,1,0.05,0.3,0.9
-0.00634341485166046,-0.0235479546619936,0.0108611249586727,0.778408978257425,GLM,1000,20,0.1,0.3,0.9
-0.00258840659969517,-0.0197929464100283,0.014616133210638,0.988535627283545,EN,1000,20,0.1,0.3,0.9
0.000175661904083024,-0.0170288779062501,0.0173802017144161,0.999999720200124,AEN,1000,20,0.1,0.3,0.9
-0.00661443798756844,-0.0238189777979016,0.0105901018227647,0.752906738995406,RF,1000,20,0.1,0.3,0.9
-0.0198714976418222,-0.0501838916348096,0.0104408963511653,0.286206338226251,GLM,100,0.5,0.01,0.3,0.6
-0.00931134863668093,-0.0488506991890683,0.0302280019157064,0.91866396485133,EN,100,0.5,0.01,0.3,0.6
0.000332258070803171,-0.0396667209865181,0.0403312371281245,0.999999785641653,AEN,100,0.5,0.01,0.3,0.6
-0.00599886153965201,-0.0363112555326395,0.0243135324533355,0.953210299075583,RF,100,0.5,0.01,0.3,0.6
-0.00626727872480881,-0.0234736865374993,0.0109391290878816,0.785444439337729,GLM,500,10,0.1,0.3,0.9
-0.00238504614006596,-0.0195914539527564,0.0148213616726245,0.991561206429048,EN,500,10,0.1,0.3,0.9
0.000143578504028574,-0.0170628293086619,0.017349986316719,0.999999875091954,AEN,500,10,0.1,0.3,0.9
-0.00625886888798111,-0.0234652767006715,0.0109475389247093,0.786182580450031,RF,500,10,0.1,0.3,0.9
-0.0208240713841441,-0.0389692872313111,-0.00267885553697712,0.01867925622095,GLM,500,1,0.01,0.6,0.9
