Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.00476103225764823,0.00126184600348148,0.00826021851181499,0.00365689783591527,GLM,100,0.5,0.01,0,0.3
-0.00128326279698103,-0.00551037073712917,0.00294384514316711,0.851903787975137,EN,100,0.5,0.01,0,0.3
-0.00120304145923451,-0.00538159745298638,0.00297551453451735,0.872926143294316,AEN,100,0.5,0.01,0,0.3
0.00482696798623595,0.00132778173206671,0.00832615424040519,0.00308594292881659,RF,100,0.5,0.01,0,0.3
-0.000224332044852067,-0.00291475189798221,0.00246608780827808,0.998807789627291,GLM,500,20,0.05,0,0.6
-5.9069886162999e-08,-0.00269047892301631,0.00269036078324398,1,EN,500,20,0.05,0,0.6
-2.6006156256253e-10,-0.00269042011319171,0.00269041959306858,1,AEN,500,20,0.05,0,0.6
-0.00544172162632391,-0.00813214147945405,-0.00275130177319376,2.39222869635736e-06,RF,500,20,0.05,0,0.6
0.00518334694422237,0.00249289449530656,0.00787379939313818,1.31781367999073e-05,GLM,500,10,0.1,0.95,0.6
-8.58416506443194e-05,-0.00277629409956013,0.00260461079827149,0.999973463165726,EN,500,10,0.1,0.95,0.6
-0.0123545237090179,-0.0150449761579337,-0.00966407126010205,0,AEN,500,10,0.1,0.95,0.6
-0.00255020398427015,-0.00524065643318596,0.000140248464645658,0.0691801760531688,RF,500,10,0.1,0.95,0.6
-0.000282186730644944,-0.00313050680053895,0.00256613333924906,0.997531398051718,GLM,500,1,0.01,0,0.9
2.72026270333823e-05,-0.00296939621518669,0.00302380146925345,0.999999814431456,EN,500,1,0.01,0,0.9
4.05870927611494e-05,-0.00297880221824585,0.00305997640376815,0.999999108408074,AEN,500,1,0.01,0,0.9
-0.000706753097807209,-0.00355507316770122,0.0021415669720868,0.929580164396155,RF,500,1,0.01,0,0.9
-0.000252557504275962,-0.00294211088842549,0.00243699587987357,0.998106931622143,GLM,1000,10,0.05,0,0.9
-6.65797824511705e-09,-0.00268956004212778,0.00268954672617129,1,EN,1000,10,0.05,0,0.9
-1.38777878078145e-17,-0.00268955338414954,0.00268955338414952,1,AEN,1000,10,0.05,0,0.9
-0.00297387606446102,-0.00566342944861055,-0.000284322680311489,0.0247218199290822,RF,1000,10,0.05,0,0.9
-0.00565438335302171,-0.00849004171347634,-0.00281872499256708,3.63937419489702e-06,GLM,100,1,0.05,0,0.9
8.13510514150809e-05,-0.00291081920562243,0.00307352130845259,0.999985202210306,EN,100,1,0.05,0,0.9
1.7614901117749e-05,-0.00295786437761822,0.00299309417985372,0.999999966579525,AEN,100,1,0.05,0,0.9
-0.00494903245484664,-0.00778469081530127,-0.00211337409439201,8.1554652247684e-05,RF,100,1,0.05,0,0.9
-0.000467159995273622,-0.00315682903072296,0.00222250904017572,0.980557642291052,GLM,1000,20,0.1,0,0.9
2.06287265325233e-08,-0.00268964840672281,0.00268968966417587,1,EN,1000,20,0.1,0,0.9
2.62611663109924e-08,-0.00268964277428303,0.00268969529661565,1,AEN,1000,20,0.1,0,0.9
-0.00562995720974251,-0.00831962624519185,-0.00294028817429316,1.13059677842031e-06,RF,1000,20,0.1,0,0.9
-0.000995214823770865,-0.00368558442896637,0.00169515478142464,0.776439675008878,GLM,500,10,0.1,0,0.9
9.07238340008831e-08,-0.00269027888136151,0.00269046032902951,1,EN,500,10,0.1,0,0.9
9.90744873363703e-08,-0.00269027053070817,0.00269046867968285,1,AEN,500,10,0.1,0,0.9
-0.00710203571416677,-0.00979240531936228,-0.00441166610897127,2.5705793049724e-10,RF,500,10,0.1,0,0.9
-0.000338812066574296,-0.0031743636158532,0.00249673948270461,0.994941140257269,GLM,500,1,0.01,0.3,0.9
-5.852504369264e-06,-0.0029883620191183,0.00297665701037977,0.999999999595906,EN,500,1,0.01,0.3,0.9
4.18372410686263e-06,-0.00296738059938789,0.00297574804760162,0.999999999892907,AEN,500,1,0.01,0.3,0.9
-0.000742369637893273,-0.00357792118717217,0.00209318191138563,0.916414583352331,RF,500,1,0.01,0.3,0.9
-0.000258444340070677,-0.00294872190741917,0.00243183322727781,0.997929543732901,GLM,1000,10,0.05,0.3,0.9
-8.57944741639027e-09,-0.00269028614679591,0.00269026898790107,1,EN,1000,10,0.05,0.3,0.9
-1.14042240234591e-09,-0.00269027870777089,0.00269027642692609,1,AEN,1000,10,0.05,0.3,0.9
-0.00295165090195088,-0.00564192846929937,-0.000261373334602393,0.0261340148042144,RF,1000,10,0.05,0.3,0.9
-0.00603455790425333,-0.00887676418152739,-0.00319235162697928,7.45651504208134e-07,GLM,100,1,0.05,0.3,0.9
-3.14175926432389e-05,-0.00301849573148714,0.00295566054620067,0.999999664836773,EN,100,1,0.05,0.3,0.9
-1.94780809065279e-05,-0.00300108066117862,0.00296212449936557,0.999999950096174,AEN,100,1,0.05,0.3,0.9
-0.00536708430442528,-0.00820929058169934,-0.00252487802715122,1.38733211059172e-05,RF,100,1,0.05,0.3,0.9
-0.000462751847138981,-0.00315309341993475,0.00222758972565679,0.981217132922931,GLM,1000,20,0.1,0.3,0.9
9.65371690919703e-09,-0.00269033191907886,0.00269035122651268,1,EN,1000,20,0.1,0.3,0.9
0,-0.00269034157279577,0.00269034157279577,1,AEN,1000,20,0.1,0.3,0.9
