Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.0153910916832889,0.00316249755160912,0.0276196858149687,0.00746669131607436,GLM,100,0.5,0.01,0,0.3
-0.00604020527648394,-0.0208041065301008,0.00872369597713294,0.727872485427659,EN,100,0.5,0.01,0,0.3
-0.00864470719161176,-0.023239032424833,0.00594961804160952,0.416459650335612,AEN,100,0.5,0.01,0,0.3
-0.00608081901904173,-0.110431220914998,0.0982695828769147,0.99973572238497,RF,100,0.5,0.01,0,0.3
-0.00231073898740256,-0.0116275326417089,0.00700605466690376,0.942086286916309,GLM,500,20,0.05,0,0.6
-6.35357041589568e-07,-0.00931742901134812,0.00931615829726494,1,EN,500,20,0.05,0,0.6
-3.41153830185625e-09,-0.00931679706584483,0.00931679024276822,1,AEN,500,20,0.05,0,0.6
-0.0547032279502506,-0.140008298071604,0.0306018421711027,0.349096913288679,RF,500,20,0.05,0,0.6
0.0178638962295439,0.00855927858856796,0.0271685138705198,8.78865663811457e-06,GLM,500,10,0.1,0.95,0.6
-0.000349886254756016,-0.00965450389573193,0.0089547313862199,0.99995672703406,EN,500,10,0.1,0.95,0.6
-0.0374092186888539,-0.0467138363298298,-0.028104601047878,0,AEN,500,10,0.1,0.95,0.6
-0.0172584042349745,-0.0388843069372178,0.00436749846726868,0.165079076607721,RF,500,10,0.1,0.95,0.6
-0.00263164760960469,-0.0118979071968955,0.00663461197768617,0.901987109084294,GLM,1000,10,0.05,0,0.9
-7.36997601002987e-08,-0.00926633328705096,0.00926618588753076,1,EN,1000,10,0.05,0,0.9
0,-0.00926625958729086,0.00926625958729086,1,AEN,1000,10,0.05,0,0.9
-0.0223945530983935,-0.0342108549376645,-0.0105782512591225,1.55520751637939e-05,RF,1000,10,0.05,0,0.9
-0.0513213787461547,-0.0611512602714884,-0.0414914972208211,0,GLM,100,1,0.05,0,0.9
0.000360885751269524,-0.00999754805429546,0.0107193195568345,0.999967022057234,EN,100,1,0.05,0,0.9
8.33923653318636e-05,-0.0102172598372378,0.0103840445679015,0.999999903201718,AEN,100,1,0.05,0,0.9
-0.0348054601145461,-0.0555897729424371,-0.0140211472866552,0.000169169338371855,RF,100,1,0.05,0,0.9
-0.00265292183881222,-0.0118825998945815,0.00657675621695703,0.892071919535391,GLM,1000,20,0.1,0,0.9
1.0859871169e-07,-0.00922956945705756,0.00922978665448094,1,EN,1000,20,0.1,0,0.9
1.47625221380565e-07,-0.00922953043054787,0.00922982568099063,1,AEN,1000,20,0.1,0,0.9
-0.027053147609641,-0.0363155302712479,-0.0177907649480341,1.8908208332391e-12,RF,1000,20,0.1,0,0.9
-0.00538796547978942,-0.0146220916043379,0.00384616064475901,0.415061877164434,GLM,500,10,0.1,0,0.9
7.14414263247587e-07,-0.00923341171028519,0.00923484053881169,0.999999999999999,EN,500,10,0.1,0,0.9
7.67888167996222e-07,-0.00923335823638044,0.00923489401271643,0.999999999999999,AEN,500,10,0.1,0,0.9
-0.0334879378455663,-0.0429100301056567,-0.0240658455854759,0,RF,500,10,0.1,0,0.9
-0.00262925760862431,-0.0118981877233747,0.00663967250612612,0.902976806864594,GLM,1000,10,0.05,0.3,0.9
-1.04472089396124e-07,-0.00926903458683983,0.00926882564266103,1,EN,1000,10,0.05,0.3,0.9
-1.6143040737493e-08,-0.00926894625779117,0.00926891397170969,1,AEN,1000,10,0.05,0.3,0.9
-0.0220675786118426,-0.0343074143682238,-0.0098277428554614,3.75651248955e-05,RF,1000,10,0.05,0.3,0.9
-0.0556583180423127,-0.0655201090069694,-0.0457965270776561,0,GLM,100,1,0.05,0.3,0.9
-9.80922402012141e-05,-0.0104346162595943,0.0102384317791919,0.999999814528072,EN,100,1,0.05,0.3,0.9
6.89893075143111e-05,-0.0102485870178224,0.0103865656328511,0.999999954273296,AEN,100,1,0.05,0.3,0.9
-0.0384038007213426,-0.0570826723393369,-0.0197249291033482,1.74142348174922e-06,RF,100,1,0.05,0.3,0.9
