Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.164304388509456,0.132133589611021,0.196475187407892,0,GLM,100,0.5,0.01,0,0.3
0.0160535640924247,-0.0228095971075695,0.0549167252924189,0.676207945229777,EN,100,0.5,0.01,0,0.3
0.0356210914111104,-0.00279569317724091,0.0740378759994618,0.0773500110846932,AEN,100,0.5,0.01,0,0.3
0.183184731996636,0.151013933098177,0.215355530895094,0,RF,100,0.5,0.01,0,0.3
0.00474091989964831,-0.0199981015905656,0.0294799413898622,0.972257675361897,GLM,500,20,0.05,0,0.6
1.30248480338093e-06,-0.0247377190054105,0.0247403239750173,1,EN,500,20,0.05,0,0.6
5.05254807523642e-09,-0.0247390164376658,0.024739026542762,1,AEN,500,20,0.05,0,0.6
0.114976883913804,0.0902378624235901,0.139715905404018,0,RF,500,20,0.05,0,0.6
-0.0351418191941542,-0.0598808591709564,-0.0104027792173519,0.00194714585412625,GLM,500,10,0.1,0.95,0.6
0.000962622062854496,-0.0237764179139478,0.0257016620396568,0.999941469250913,EN,500,10,0.1,0.95,0.6
0.0791869751764783,0.054447935199676,0.103926015153281,9.52571355128384e-14,AEN,500,10,0.1,0.95,0.6
0.0314675884743066,0.00672854849750433,0.0562066284511089,0.00707220975503342,RF,500,10,0.1,0.95,0.6
0.0286938721676385,0.00251078402546884,0.0548769603098081,0.0264354867373816,GLM,500,1,0.01,0,0.9
-3.44599146845368e-05,-0.0275805957727559,0.0275116759433868,0.9999999999331,EN,500,1,0.01,0,0.9
-3.81560089898389e-06,-0.0277594520903624,0.0277518208885644,0.99999999999999,AEN,500,1,0.01,0,0.9
0.0724021490207155,0.0462190608785458,0.0985852371628851,2.97297741980174e-11,RF,500,1,0.01,0,0.9
0.00532218302186921,-0.0194189212397957,0.0300632872835341,0.958351002883617,GLM,1000,10,0.05,0,0.9
1.3829437246933e-07,-0.0247409659672924,0.0247412425560374,1,EN,1000,10,0.05,0,0.9
-1.30104260698261e-18,-0.0247411042616649,0.0247411042616649,1,AEN,1000,10,0.05,0,0.9
0.0626284522462582,0.0378873479845932,0.0873695565079231,1.84566972816214e-09,RF,1000,10,0.05,0,0.9
0.11823804743237,0.0921903595737391,0.144285735291001,0,GLM,100,1,0.05,0,0.9
-0.000952185549823342,-0.0284375547191535,0.0265331836195068,0.999961258048051,EN,100,1,0.05,0,0.9
-0.000952894212691381,-0.0282849439980942,0.0263791555727114,0.999960267342326,AEN,100,1,0.05,0,0.9
0.103700637824838,0.077652949966207,0.129748325683469,0,RF,100,1,0.05,0,0.9
0.00519157673935506,-0.0195474857146439,0.029930639193354,0.961793572665964,GLM,1000,20,0.1,0,0.9
-2.17595084179689e-07,-0.0247392800490831,0.0247388448589148,1,EN,1000,20,0.1,0,0.9
-2.79448430964618e-07,-0.0247393419024299,0.024738783005568,1,AEN,1000,20,0.1,0,0.9
0.0625878176998597,0.0378487552458607,0.0873268801538587,1.46693013292065e-09,RF,1000,20,0.1,0,0.9
0.0110937003128567,-0.0136422198593792,0.0358296204850927,0.642955882514026,GLM,500,10,0.1,0,0.9
-9.92803278830612e-07,-0.0247369129755148,0.0247349273689571,1,EN,500,10,0.1,0,0.9
-1.09887457027833e-06,-0.0247370190468062,0.0247348212976657,1,AEN,500,10,0.1,0,0.9
0.0791827087544221,0.0544467885821862,0.103918628926658,1.02140518265514e-14,RF,500,10,0.1,0,0.9
0.0328364512866588,0.00675906465122571,0.0589138379220919,0.00800735738254277,GLM,500,1,0.01,0.3,0.9
1.76526299024713e-05,-0.0274112452082439,0.0274465504680488,0.99999999999532,EN,500,1,0.01,0.3,0.9
-1.6983277019184e-05,-0.0273452227497024,0.0273112561956641,0.999999999995931,AEN,500,1,0.01,0.3,0.9
0.0743736106442851,0.048296224008852,0.100450997279718,3.22559756682494e-11,RF,500,1,0.01,0.3,0.9
0.00545582984557259,-0.0192841838555887,0.0301958435467339,0.954634401213646,GLM,1000,10,0.05,0.3,0.9
1.89898767662339e-07,-0.0247398238023936,0.0247402035999289,1,EN,1000,10,0.05,0.3,0.9
2.39231556285833e-08,-0.0247399897780056,0.0247400376243169,1,AEN,1000,10,0.05,0.3,0.9
0.062317765334885,0.0375777516337237,0.0870577790360463,3.87022125458714e-09,RF,1000,10,0.05,0.3,0.9
0.127442752855772,0.101322152092594,0.153563353618949,0,GLM,100,1,0.05,0.3,0.9
6.12275015588158e-05,-0.0273907826276953,0.0275132376308129,0.999999999323093,EN,100,1,0.05,0.3,0.9
-0.00030935080707825,-0.0277110391561881,0.0270923375420316,0.999999556002542,AEN,100,1,0.05,0.3,0.9
0.112887228580648,0.0867666278174707,0.139007829343826,0,RF,100,1,0.05,0.3,0.9
0.0051508783638029,-0.0195769996108385,0.0298787563384444,0.962827962208791,GLM,1000,20,0.1,0.3,0.9
-1.03402162485167e-07,-0.0247279813768039,0.024727774572479,1,EN,1000,20,0.1,0.3,0.9
3.68628738645072e-18,-0.0247278779746414,0.0247278779746415,1,AEN,1000,20,0.1,0.3,0.9
0.0633677859415555,0.038639907966914,0.0880956639161969,8.0650641720581e-10,RF,1000,20,0.1,0.3,0.9
0.108423826954598,0.0648601197055608,0.151987534203636,1.19182534952245e-08,GLM,100,0.5,0.01,0.3,0.6
0.000418403634049339,-0.056405900400787,0.0572427076688857,0.999999867845921,EN,100,0.5,0.01,0.3,0.6
0.00250964987942413,-0.0549752130554083,0.0599945128142565,0.999839925602519,AEN,100,0.5,0.01,0.3,0.6
0.293731807881685,0.250168100632648,0.337295515130722,0,RF,100,0.5,0.01,0.3,0.6
0.0106167229879491,-0.0141329297084174,0.0353663756843155,0.676767127766892,GLM,500,10,0.1,0.3,0.9
3.90854798433277e-06,-0.0247457441483821,0.0247535612443508,0.999999999999984,EN,500,10,0.1,0.3,0.9
-6.93889390390723e-18,-0.0247496526963665,0.0247496526963665,1,AEN,500,10,0.1,0.3,0.9
0.0765463439505233,0.0517966912541568,0.10129599664689,8.83737527601625e-14,RF,500,10,0.1,0.3,0.9
0.0277539872957868,0.00168865183752549,0.0538193227540481,0.0330445854786422,GLM,500,1,0.01,0.6,0.9
2.04511815673418e-05,-0.0271970934929043,0.027237995856039,0.999999999991263,EN,500,1,0.01,0.6,0.9
-2.14476655075349e-05,-0.0272551639670154,0.0272122686360003,0.999999999989456,AEN,500,1,0.01,0.6,0.9
0.0741422354829489,0.0480769000246876,0.10020757094121,6.4573901781273e-12,RF,500,1,0.01,0.6,0.9
0.00527338127613018,-0.0194660038925335,0.0300127664447939,0.959659211321113,GLM,1000,10,0.05,0.6,0.9
2.63706339236145e-07,-0.0247391214623245,0.024739648875003,1,EN,1000,10,0.05,0.6,0.9
1.01470357735146e-07,-0.024739283698306,0.0247394866390215,1,AEN,1000,10,0.05,0.6,0.9
0.0628600226244329,0.0381206374557691,0.0875994077930966,1.79563053315235e-09,RF,1000,10,0.05,0.6,0.9
0.143548448299105,0.117201079107213,0.169895817490996,0,GLM,100,1,0.05,0.6,0.9
7.43256013885779e-05,-0.0279260891410429,0.0280747403438201,0.999999998633794,EN,100,1,0.05,0.6,0.9
-0.000209746704768055,-0.0281200396026348,0.0277005461930987,0.999999912259643,AEN,100,1,0.05,0.6,0.9
0.10880609689463,0.0824587277027382,0.135153466086521,0,RF,100,1,0.05,0.6,0.9
0.00527973563954105,-0.0194649113748166,0.0300243826538987,0.959491180504034,GLM,1000,20,0.1,0.6,0.9
3.29588343388415e-07,-0.0247443174260143,0.0247449766027011,1,EN,1000,20,0.1,0.6,0.9
5.63785129692462e-18,-0.0247446470143577,0.0247446470143577,1,AEN,1000,20,0.1,0.6,0.9
0.0648717983784118,0.0401271513640541,0.0896164453927695,3.78124087596632e-10,RF,1000,20,0.1,0.6,0.9
0.0106581867096045,-0.0140702648134382,0.0353866382326473,0.673827662946031,GLM,500,10,0.1,0.6,0.9
8.74417827670653e-06,-0.0247197073447661,0.0247371957013195,0.999999999999598,EN,500,10,0.1,0.6,0.9
-1.26230274451449e-07,-0.0247285777533172,0.0247283252927683,1,AEN,500,10,0.1,0.6,0.9
0.0771333028190477,0.052404851296005,0.101861754342091,4.31876756579186e-14,RF,500,10,0.1,0.6,0.9
0.0321424965523315,0.00603489994131995,0.058250093163343,0.0100936405341149,GLM,500,1,0.01,0.95,0.9
-3.2923284344526e-05,-0.0271959880785053,0.0271301415098162,0.99999999994062,EN,500,1,0.01,0.95,0.9
9.99722466107911e-06,-0.0273797715761173,0.0273997660254395,0.999999999999512,AEN,500,1,0.01,0.95,0.9
0.083891435346946,0.0577838387359345,0.109999031957957,7.66053886991358e-15,RF,500,1,0.01,0.95,0.9
0.00528515355678717,-0.0194488317892634,0.0300191389028378,0.959346623524901,GLM,1000,10,0.05,0.95,0.9
-1.14734907723929e-07,-0.0247341000809583,0.0247338706111429,1,EN,1000,10,0.05,0.95,0.9
-1.47512381398415e-08,-0.0247340000972888,0.0247339705948125,1,AEN,1000,10,0.05,0.95,0.9
0.0721864730866186,0.047452487740568,0.0969204584326692,1.92745819305173e-12,RF,1000,10,0.05,0.95,0.9
0.138875132819128,0.112727956004947,0.165022309633309,0,GLM,100,1,0.05,0.95,0.9
-9.16904950498069e-05,-0.0275867502593954,0.0274033692692958,0.999999996595247,EN,100,1,0.05,0.95,0.9
-0.000465308158776359,-0.0277300393588009,0.0267994230412482,0.999997668961235,AEN,100,1,0.05,0.95,0.9
0.127648247442969,0.101501070628788,0.15379542425715,0,RF,100,1,0.05,0.95,0.9
0.00505423048740122,-0.0196845267766548,0.0297929877514572,0.965211614662801,GLM,1000,20,0.1,0.95,0.9
-1.22106416778353e-07,-0.0247388793704728,0.0247386351576392,1,EN,1000,20,0.1,0.95,0.9
4.59490432557158e-07,-0.0247382977736234,0.0247392167544885,1,AEN,1000,20,0.1,0.95,0.9
0.0786182878335523,0.0538795305694963,0.103357045097608,1.45439216225896e-14,RF,1000,20,0.1,0.95,0.9
0.00422537186292425,-0.0205200342980971,0.0289707780239456,0.981686581880363,GLM,500,20,0.05,0.3,0.6
2.0146983572937e-07,-0.0247452046911857,0.0247456076308571,1,EN,500,20,0.05,0.3,0.6
-1.89954889253004e-07,-0.0247455961159106,0.0247452162061321,1,AEN,500,20,0.05,0.3,0.6
0.114595008980302,0.0898496028192809,0.139340415141324,0,RF,500,20,0.05,0.3,0.6
0.0101600336442331,-0.0145790932976593,0.0348991605861255,0.708671079361386,GLM,500,10,0.1,0.95,0.9
3.67582922971427e-08,-0.0247390901836001,0.0247391637001847,1,EN,500,10,0.1,0.95,0.9
8.3295706087335e-08,-0.0247390436461863,0.0247392102375984,1,AEN,500,10,0.1,0.95,0.9
0.0889878513591212,0.0642487244172288,0.113726978301014,0,RF,500,10,0.1,0.95,0.9
-0.0766548827161537,-0.101389991140644,-0.0519197742916629,5.90638649100583e-14,GLM,1000,1,0.01,0,0.3
0.00682266023383724,-0.0179124481906535,0.031557768658328,0.905028438380953,EN,1000,1,0.01,0,0.3
0.1779560296577,0.15322092123321,0.202691138082191,0,AEN,1000,1,0.01,0,0.3
0.0173393050081767,-0.00739580341631403,0.0420744134326675,0.254836570262127,RF,1000,1,0.01,0,0.3
-0.0780200075914881,-0.102767864385767,-0.0532721507972088,3.50830475781549e-14,GLM,500,0.5,0.01,0,0.3
0.00837792233076928,-0.0163699344635099,0.0331257791250485,0.824478779662672,EN,500,0.5,0.01,0,0.3
0.158546533727574,0.13378629371671,0.183306773738437,0,AEN,500,0.5,0.01,0,0.3
0.0200133960833764,-0.00473446071090284,0.0447612528776556,0.151091306709857,RF,500,0.5,0.01,0,0.3
-0.00865168326521382,-0.0334143085073369,0.0161109419769092,0.808285737034231,GLM,100,0.5,0.05,0,0.3
0.00937340247273799,-0.0154140226005801,0.0341608275460561,0.763073654057276,EN,100,0.5,0.05,0,0.3
0.145925702649047,0.121113302833803,0.17073810246429,0,AEN,100,0.5,0.05,0,0.3
-0.00231090683654453,-0.0270735320786676,0.0224517184055785,0.998148540566267,RF,100,0.5,0.05,0,0.3
-0.0568852412512552,-0.0816306314003868,-0.0321398511021235,6.03038760038643e-08,GLM,1000,10,0.1,0,0.3
0.00801613737260221,-0.0167292527765295,0.0327615275217339,0.845133014595703,EN,1000,10,0.1,0,0.3
0.253970991156449,0.229225601007318,0.278716381305581,0,AEN,1000,10,0.1,0,0.3
0.0227578211966523,-0.00198756895247942,0.0475032113457839,0.0815584584885448,RF,1000,10,0.1,0,0.3
-0.0568188520518814,-0.0815425502177584,-0.0320951538860045,1.30640240070257e-07,GLM,100,1,0.1,0,0.3
0.0126251017244569,-0.0120985964414201,0.0373487998903338,0.534529653811221,EN,100,1,0.1,0,0.3
0.194763610097335,0.170039911931458,0.219487308263212,0,AEN,100,1,0.1,0,0.3
0.00719828477302498,-0.017525413392852,0.031921982938902,0.887746069939072,RF,100,1,0.1,0,0.3
-0.0704404532904263,-0.0951793440806421,-0.0457015625002105,6.81421585824182e-12,GLM,1000,1,0.01,0.3,0.3
0.00419495107227341,-0.0205439397179424,0.0289338418624892,0.982163486492214,EN,1000,1,0.01,0.3,0.3
0.155000210084254,0.130261319294038,0.17973910087447,0,AEN,1000,1,0.01,0.3,0.3
0.0110392876347524,-0.0136996031554634,0.0357781784249682,0.646791620850238,RF,1000,1,0.01,0.3,0.3
-0.0714323665484658,-0.0961707806108498,-0.0466939524860818,7.61257723524977e-12,GLM,500,0.5,0.01,0.3,0.3
0.00783090806586689,-0.0169198968883847,0.0325817130201185,0.855582833416793,EN,500,0.5,0.01,0.3,0.3
0.146923578764672,0.122185164702288,0.171661992827056,0,AEN,500,0.5,0.01,0.3,0.3
0.0127753930470531,-0.0119630210153309,0.0375138071094371,0.524197855686179,RF,500,0.5,0.01,0.3,0.3
-0.00403084377028137,-0.0287941881266125,0.0207325005860497,0.984668205868029,GLM,100,0.5,0.05,0.3,0.3
0.00888495880086207,-0.0159156143577814,0.0336855319595056,0.794990523628192,EN,100,0.5,0.05,0.3,0.3
0.150547497097453,0.125696669433053,0.175398324761854,0,AEN,100,0.5,0.05,0.3,0.3
-0.0123251213542756,-0.0370884657106067,0.0124382230020555,0.556769577176283,RF,100,0.5,0.05,0.3,0.3
-0.0560813735224879,-0.0808172490956167,-0.031345497949359,7.35877627722203e-08,GLM,1000,10,0.1,0.3,0.3
0.00699064270356392,-0.0177452328695649,0.0317265182766928,0.897484962402014,EN,1000,10,0.1,0.3,0.3
0.226808702978849,0.20207282740572,0.251544578551977,0,AEN,1000,10,0.1,0.3,0.3
0.0202465757463357,-0.00448929982679316,0.0449824513194646,0.143513494453453,RF,1000,10,0.1,0.3,0.3
0.104207235446966,0.0599031575051412,0.148511313388791,4.78677441018149e-08,GLM,100,0.5,0.01,0.6,0.6
-0.00222996762786351,-0.0591158412659373,0.0546559060102103,0.999889955463144,EN,100,0.5,0.01,0.6,0.6
-0.00209115521760724,-0.05912626158173,0.0549439511465156,0.9999156063923,AEN,100,0.5,0.01,0.6,0.6
0.302181926139191,0.257877848197366,0.346486004081016,0,RF,100,0.5,0.01,0.6,0.6
-0.0488835463062873,-0.073618375609951,-0.0241487170026236,4.73489397945226e-06,GLM,100,1,0.1,0.3,0.3
0.0135346198658492,-0.0112002094378146,0.0382694491695129,0.472562281739332,EN,100,1,0.1,0.3,0.3
0.184701541188986,0.159966711885322,0.209436370492649,0,AEN,100,1,0.1,0.3,0.3
-0.00279335482316462,-0.0275281841268284,0.0219414744804991,0.996132427718722,RF,100,1,0.1,0.3,0.3
-0.0653187464307717,-0.0900564047213389,-0.0405810881402044,2.02575400898297e-10,GLM,1000,1,0.01,0.6,0.3
0.00307823022754458,-0.0216594280630227,0.0278158885181119,0.994392313711499,EN,1000,1,0.01,0.6,0.3
0.13520888114519,0.110471222854623,0.159946539435757,0,AEN,1000,1,0.01,0.6,0.3
-0.0046335118871943,-0.0293711701777616,0.020104146403373,0.97443954778209,RF,1000,1,0.01,0.6,0.3
-0.0491048862212806,-0.0738691683971516,-0.0243406040454096,5.27968411612179e-06,GLM,500,0.5,0.01,0.6,0.3
0.00373026175584915,-0.0210588219106402,0.0285193454223385,0.988510137310019,EN,500,0.5,0.01,0.6,0.3
0.11257097067915,0.0877694207892592,0.13737252056904,0,AEN,500,0.5,0.01,0.6,0.3
-0.00480046222408162,-0.0295647443999526,0.0199638199517894,0.971079415009875,RF,500,0.5,0.01,0.6,0.3
0.043092120670432,0.0183406769581949,0.0678435643826691,7.70711561786097e-05,GLM,100,0.5,0.05,0.6,0.3
0.0127363839240748,-0.0120274447995514,0.037500212647701,0.527912148361441,EN,100,0.5,0.05,0.6,0.3
0.118283355418117,0.0934569442628186,0.143109766573416,0,AEN,100,0.5,0.05,0.6,0.3
-0.0318293110891686,-0.0565807548014057,-0.00707786737693145,0.00631272648351011,RF,100,0.5,0.05,0.6,0.3
-0.0549646362305087,-0.0797036945704885,-0.0302255778905289,1.44782609678984e-07,GLM,1000,10,0.1,0.6,0.3
0.00658877310797368,-0.0181502852320061,0.0313278314479535,0.915007639740704,EN,1000,10,0.1,0.6,0.3
0.186247489287303,0.161508430947323,0.210986547627283,0,AEN,1000,10,0.1,0.6,0.3
0.0123183862555973,-0.0124206720843825,0.0370574445955771,0.556053364239727,RF,1000,10,0.1,0.6,0.3
-0.0338279149198155,-0.0585688635419827,-0.0090869662976482,0.00329115281155934,GLM,100,1,0.1,0.6,0.3
0.00761605255933923,-0.017124896062828,0.0323570011815065,0.866847120543761,EN,100,1,0.1,0.6,0.3
0.141260961947577,0.116495185473078,0.166026738422075,0,AEN,100,1,0.1,0.6,0.3
-0.0261571704002436,-0.0508981190224109,-0.00141622177807634,0.0343015070254187,RF,100,1,0.1,0.6,0.3
-0.0308161992008745,-0.0555524350037641,-0.006079963397985,0.00868844646249167,GLM,1000,1,0.01,0.95,0.3
0.00202842806629414,-0.0227078077365954,0.0267646638691837,0.998884228553702,EN,1000,1,0.01,0.95,0.3
0.0969336889060866,0.0721974531031971,0.121669924708976,0,AEN,1000,1,0.01,0.95,0.3
-0.0020657727324411,-0.0268020085353306,0.0226704630704484,0.998801645885508,RF,1000,1,0.01,0.95,0.3
0.0260561235147817,0.00117105079877544,0.0509411962307879,0.0367395504378281,GLM,500,0.5,0.01,0.95,0.3
0.00430466943962871,-0.0207310710871787,0.0293404099664361,0.981136763080612,EN,500,0.5,0.01,0.95,0.3
0.12062530329486,0.0955767140422764,0.145673892547444,0,AEN,500,0.5,0.01,0.95,0.3
-0.00704481348057523,-0.0319298861965815,0.017840259235431,0.896476243721946,RF,500,0.5,0.01,0.95,0.3
0.185787537345972,0.160860297888577,0.210714776803367,0,GLM,100,0.5,0.05,0.95,0.3
0.00392050333209115,-0.0212085794160417,0.029049586080224,0.986801978469229,EN,100,0.5,0.05,0.95,0.3
0.144583735514146,0.11940235493057,0.169765116097721,0,AEN,100,0.5,0.05,0.95,0.3
-0.0235710832392537,-0.0484983226966486,0.00135615621814128,0.0700881468440872,RF,100,0.5,0.05,0.95,0.3
-0.0429676127694541,-0.0677162221248361,-0.0182190034140721,8.20523808692242e-05,GLM,1000,10,0.1,0.95,0.3
0.00153772042382699,-0.023210888931555,0.026286329779209,0.99962449830938,EN,1000,10,0.1,0.95,0.3
0.114713451618673,0.0899648422632912,0.139462060974055,0,AEN,1000,10,0.1,0.95,0.3
-0.00698935124958161,-0.0317379606049636,0.0177592581058004,0.897547200440455,RF,1000,10,0.1,0.95,0.3
0.00458606638659372,-0.0201501676130988,0.0293223003862862,0.975365110832835,GLM,500,20,0.05,0.6,0.6
-6.05631737961299e-07,-0.0247368396314305,0.0247356283679545,1,EN,500,20,0.05,0.6,0.6
-2.74403163516221e-09,-0.0247362367437241,0.0247362312556609,1,AEN,500,20,0.05,0.6,0.6
0.120653083849749,0.0959168498500565,0.145389317849441,0,RF,500,20,0.05,0.6,0.6
0.0298611405069847,0.00512144070780382,0.0546008403061655,0.0115251373807482,GLM,100,1,0.1,0.95,0.3
-0.00251884381521622,-0.0272585436143971,0.0222208559839646,0.997406222139241,EN,100,1,0.1,0.95,0.3
0.152454825723918,0.127690299325615,0.17721935212222,0,AEN,100,1,0.1,0.95,0.3
-0.0379329297011498,-0.0626726295003306,-0.0131932299019689,0.000699351508884449,RF,100,1,0.1,0.95,0.3
-0.052842837947464,-0.0775833134572399,-0.0281023624376882,7.88055218303718e-07,GLM,1000,1,0.01,0,0.6
0.00711474680637947,-0.0176257287033964,0.0318552223161553,0.891717996941794,EN,1000,1,0.01,0,0.6
0.100643154972228,0.0759026794624525,0.125383630482004,0,AEN,1000,1,0.01,0,0.6
-0.000670310507044178,-0.02541078601682,0.0240701650027317,0.999986170219249,RF,1000,1,0.01,0,0.6
-0.0304471546537758,-0.0552211062441625,-0.0056732030633891,0.00994386938693981,GLM,500,0.5,0.01,0,0.6
0.00695078601607113,-0.0178979750665614,0.0317995470987036,0.900813956741312,EN,500,0.5,0.01,0,0.6
0.0925855350113909,0.0677241508872094,0.117446919135572,0,AEN,500,0.5,0.01,0,0.6
0.00213942560350937,-0.0226345259868773,0.0269133771938961,0.99863424388941,RF,500,0.5,0.01,0,0.6
0.107631274095368,0.0828450692329111,0.132417478957825,0,GLM,100,0.5,0.05,0,0.6
0.0149388130031027,-0.00989711348377394,0.0397747394899793,0.386556705093292,EN,100,0.5,0.05,0,0.6
0.101676364527685,0.0768026838870351,0.126550045168335,0,AEN,100,0.5,0.05,0,0.6
0.000371855667359436,-0.0244143491950977,0.0251580605298166,0.999998694519529,RF,100,0.5,0.05,0,0.6
-0.055445833919317,-0.080186355459433,-0.030705312379201,1.23908853622012e-07,GLM,1000,10,0.1,0,0.6
