Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.000852091622881357,-0.00748975425379679,0.00578557100803408,0.99200645759867,GLM,100,0.5,0.01,0,0.3
-0.000482181780679936,-0.00850065075407519,0.00753628719271532,0.999574698496132,EN,100,0.5,0.01,0,0.3
-0.000552604497263687,-0.00847897450340076,0.00737376550887339,0.999239114588782,AEN,100,0.5,0.01,0,0.3
-0.00783369162758751,-0.0144713542585077,-0.00119602899666734,0.0151135524420484,RF,100,0.5,0.01,0,0.3
2.00000000005751e-07,-0.00510191084792009,0.0051023108479201,1,GLM,500,20,0.05,0,0.6
0,-0.0051021108479201,0.0051021108479201,1,EN,500,20,0.05,0,0.6
0,-0.0051021108479201,0.0051021108479201,1,AEN,500,20,0.05,0,0.6
0.000811600000000801,-0.00429051084791929,0.0059137108479209,0.98591668422072,RF,500,20,0.05,0,0.6
-0.00719479999999972,-0.0122972195976678,-0.00209238040233167,0.00231671322420335,GLM,500,10,0.1,0.95,0.6
0.00305540000000015,-0.0020470195976679,0.00815781959766821,0.391021108353987,EN,500,10,0.1,0.95,0.6
0.00994139999999955,0.00483898040233149,0.0150438195976676,6.1852452162281e-06,AEN,500,10,0.1,0.95,0.6
-0.0014315999999992,-0.00653401959766725,0.00367081959766885,0.899852041140288,RF,500,10,0.1,0.95,0.6
0.000114609022557111,-0.00528717937067466,0.00551639741578889,0.999994482719676,GLM,500,1,0.01,0,0.9
-2.73587193793112e-05,-0.00571035516917033,0.00565563773041171,0.999999985334088,EN,500,1,0.01,0,0.9
-4.13014633774411e-05,-0.00576751963219884,0.00568491670544395,0.999999926117382,AEN,500,1,0.01,0,0.9
1.50090225563559e-05,-0.00538677937067542,0.00541679741578813,0.99999999837243,RF,500,1,0.01,0,0.9
0,-0.00510478640244174,0.00510478640244174,1,GLM,1000,10,0.05,0,0.9
-2.22044604925031e-16,-0.00510478640244196,0.00510478640244152,1,EN,1000,10,0.05,0,0.9
-2.22044604925031e-16,-0.00510478640244196,0.00510478640244152,1,AEN,1000,10,0.05,0,0.9
0.000420000000001641,-0.0046847864024401,0.00552478640244338,0.998867675334835,RF,1000,10,0.05,0,0.9
0.00466017241379391,-0.000718970725059387,0.0100393155526472,0.110145968606311,GLM,100,1,0.05,0,0.9
-8.96897415958442e-05,-0.00576573038629597,0.00558635090310429,0.999998306365452,EN,100,1,0.05,0,0.9
-1.95824881702444e-05,-0.00566396094018048,0.00562479596383999,0.999999996057941,AEN,100,1,0.05,0,0.9
0.000766772413792194,-0.0046123707250611,0.00614591555264549,0.99015758082409,RF,100,1,0.05,0,0.9
-7.7715611723761e-16,-0.00510451062673565,0.0051045106267341,1,GLM,1000,20,0.1,0,0.9
0,-0.00510451062673487,0.00510451062673487,1,EN,1000,20,0.1,0,0.9
2.22044604925031e-16,-0.00510451062673465,0.0051045106267351,1,AEN,1000,20,0.1,0,0.9
0.00113459999999987,-0.003969910626735,0.00623911062673475,0.953386109574748,RF,1000,20,0.1,0,0.9
1.99999999994649e-06,-0.00510197717821756,0.00510597717821745,0.999999999999392,GLM,500,10,0.1,0,0.9
0,-0.0051039771782175,0.0051039771782175,1,EN,500,10,0.1,0,0.9
1.11022302462516e-16,-0.00510397717821739,0.00510397717821762,1,AEN,500,10,0.1,0,0.9
0.00216139999999909,-0.00294257717821841,0.0072653771782166,0.68669678187798,RF,500,10,0.1,0,0.9
0.000162256790124937,-0.00521545079861746,0.00553996437886733,0.999977572462261,GLM,500,1,0.01,0.3,0.9
5.7835227973424e-06,-0.00565063420483704,0.00566220125043172,0.999999999970243,EN,500,1,0.01,0.3,0.9
-4.10418548535407e-06,-0.00563976403337554,0.00563155566240483,0.999999999992342,AEN,500,1,0.01,0.3,0.9
4.30567901242851e-05,-0.00533465079861811,0.00542076437886668,0.999999888164682,RF,500,1,0.01,0.3,0.9
1.11022302462516e-16,-0.00510329060231563,0.00510329060231586,1,GLM,1000,10,0.05,0.3,0.9
1.11022302462516e-16,-0.00510329060231563,0.00510329060231586,1,EN,1000,10,0.05,0.3,0.9
1.11022302462516e-16,-0.00510329060231563,0.00510329060231586,1,AEN,1000,10,0.05,0.3,0.9
0.000392200000000731,-0.00471109060231501,0.00549549060231648,0.999134297038487,RF,1000,10,0.05,0.3,0.9
0.00500454228855585,-0.000387359788545654,0.0103964443656573,0.0774349960847053,GLM,100,1,0.05,0.3,0.9
3.4752165097296e-05,-0.00563198390190771,0.0057014882321023,0.999999961238776,EN,100,1,0.05,0.3,0.9
3.88462101217346e-05,-0.00561750226613284,0.00569519468637631,0.999999939042911,AEN,100,1,0.05,0.3,0.9
0.00101934228855693,-0.00437255978854457,0.00641124436565844,0.972193961969077,RF,100,1,0.05,0.3,0.9
1.11022302462516e-16,-0.00510131325246975,0.00510131325246997,1,GLM,1000,20,0.1,0.3,0.9
0,-0.00510131325246986,0.00510131325246986,1,EN,1000,20,0.1,0.3,0.9
0,-0.00510131325246986,0.00510131325246986,1,AEN,1000,20,0.1,0.3,0.9
0.00116360000000149,-0.00393771325246837,0.00626491325247134,0.949191719478746,RF,1000,20,0.1,0.3,0.9
0.00114956923076925,-0.0078434878960828,0.0101426263576213,0.989861638958848,GLM,100,0.5,0.01,0.3,0.6
8.85470085468798e-05,-0.011641956308298,0.0118190503253918,0.999999853714077,EN,100,0.5,0.01,0.3,0.6
-6.22540250442283e-05,-0.0119291195639873,0.0118046115138989,0.999999965861909,AEN,100,0.5,0.01,0.3,0.6
0.000783369230770048,-0.00820968789608201,0.0097764263576221,0.997607295109967,RF,100,0.5,0.01,0.3,0.6
4.59999999991023e-06,-0.00509718497423075,0.00510638497423057,0.999999999982994,GLM,500,10,0.1,0.3,0.9
-1.11022302462516e-16,-0.00510178497423077,0.00510178497423055,1,EN,500,10,0.1,0.3,0.9
-1.11022302462516e-16,-0.00510178497423077,0.00510178497423055,1,AEN,500,10,0.1,0.3,0.9
0.00191919999999934,-0.00318258497423132,0.00702098497423,0.766593717816573,RF,500,10,0.1,0.3,0.9
0.000108325925926911,-0.00527086630060676,0.00548751815246058,0.999995499942396,GLM,500,1,0.01,0.6,0.9
3.23361823517665e-06,-0.0056137439561642,0.00562021119263456,0.999999999996986,EN,500,1,0.01,0.6,0.9
-7.32708612227739e-06,-0.00562764205437882,0.00561298788213427,0.999999999920748,AEN,500,1,0.01,0.6,0.9
6.47259259271005e-05,-0.00531446630060657,0.00544391815246077,0.999999425409553,RF,500,1,0.01,0.6,0.9
-2.22044604925031e-16,-0.00510363298977477,0.00510363298977433,1,GLM,1000,10,0.05,0.6,0.9
-2.22044604925031e-16,-0.00510363298977477,0.00510363298977433,1,EN,1000,10,0.05,0.6,0.9
-2.22044604925031e-16,-0.00510363298977477,0.00510363298977433,1,AEN,1000,10,0.05,0.6,0.9
0.000394399999999129,-0.00470923298977542,0.00549803298977368,0.999115077927139,RF,1000,10,0.05,0.6,0.9
0.00752609230769208,0.00208995402965702,0.0129622305857271,0.00280988286312045,GLM,100,1,0.05,0.6,0.9
3.90912714242075e-05,-0.00573811271708761,0.00581629525993602,0.999999942324625,EN,100,1,0.05,0.6,0.9
6.20912846754917e-05,-0.00569651825498044,0.00582070082433143,0.999999628303141,AEN,100,1,0.05,0.6,0.9
0.00129589230769189,-0.00414024597034317,0.00673203058572696,0.938002647522872,RF,100,1,0.05,0.6,0.9
2.22044604925031e-16,-0.00510342944420062,0.00510342944420106,1,GLM,1000,20,0.1,0.6,0.9
0,-0.00510342944420084,0.00510342944420084,1,EN,1000,20,0.1,0.6,0.9
0,-0.00510342944420084,0.00510342944420084,1,AEN,1000,20,0.1,0.6,0.9
0.00107380000000046,-0.00402962944420038,0.0061772294442013,0.961461690729994,RF,1000,20,0.1,0.6,0.9
6.00000000128276e-07,-0.00510432537773752,0.00510552537773778,0.999999999999995,GLM,500,10,0.1,0.6,0.9
0,-0.00510492537773765,0.00510492537773765,1,EN,500,10,0.1,0.6,0.9
0,-0.00510492537773765,0.00510492537773765,1,AEN,500,10,0.1,0.6,0.9
0.0018026000000001,-0.00330232537773755,0.00690752537773775,0.8026066162601,RF,500,10,0.1,0.6,0.9
0.000133700248137303,-0.00525171420874037,0.00551911470501498,0.999989599861416,GLM,500,1,0.01,0.95,0.9
8.70309173950368e-06,-0.00559443089317427,0.00561183707665328,0.999999999839992,EN,500,1,0.01,0.95,0.9
3.2515934407007e-05,-0.00561738202701757,0.00568241389583159,0.999999969848789,AEN,500,1,0.01,0.95,0.9
8.29002481373964e-05,-0.00530251420874028,0.00546831470501507,0.999998458881131,RF,500,1,0.01,0.95,0.9
0,-0.00510191849126702,0.00510191849126702,1,GLM,1000,10,0.05,0.95,0.9
0,-0.00510191849126702,0.00510191849126702,1,EN,1000,10,0.05,0.95,0.9
-1.11022302462516e-16,-0.00510191849126713,0.00510191849126691,1,AEN,1000,10,0.05,0.95,0.9
0.000233600000000278,-0.00486831849126674,0.0053355184912673,0.999888396958867,RF,1000,10,0.05,0.95,0.9
0.00712563940149469,0.00173292614990662,0.0125183526530828,0.00482250241034921,GLM,100,1,0.05,0.95,0.9
3.74077183262767e-05,-0.00563329907339032,0.00570811451004288,0.999999947957209,EN,100,1,0.05,0.95,0.9
0.000102325525898173,-0.00552087724999828,0.00572552830179463,0.99999699233846,AEN,100,1,0.05,0.95,0.9
0.0023586394014955,-0.00303407385009256,0.00775135265308356,0.65466079859788,RF,100,1,0.05,0.95,0.9
1.99999999894729e-07,-0.00510343480410702,0.00510383480410681,1,GLM,1000,20,0.1,0.95,0.9
-3.33066907387547e-16,-0.00510363480410725,0.00510363480410658,1,EN,1000,20,0.1,0.95,0.9
0,-0.00510363480410692,0.00510363480410692,1,AEN,1000,20,0.1,0.95,0.9
0.00114160000000085,-0.00396203480410606,0.00624523480410777,0.952392469009757,RF,1000,20,0.1,0.95,0.9
2.00000000005751e-07,-0.00510509103857692,0.00510549103857693,1,GLM,500,20,0.05,0.3,0.6
2.00000000227796e-07,-0.0051050910385767,0.00510549103857715,1,EN,500,20,0.05,0.3,0.6
-2.22044604925031e-16,-0.00510529103857715,0.0051052910385767,1,AEN,500,20,0.05,0.3,0.6
0.000817800000000646,-0.00428749103857628,0.00592309103857757,0.985515449858506,RF,500,20,0.05,0.3,0.6
1.80000000082892e-06,-0.00510199797014743,0.00510559797014909,0.999999999999601,GLM,500,10,0.1,0.95,0.9
8.88178419700125e-16,-0.00510379797014737,0.00510379797014915,1,EN,500,10,0.1,0.95,0.9
6.66133814775094e-16,-0.00510379797014759,0.00510379797014892,1,AEN,500,10,0.1,0.95,0.9
0.00192279999999978,-0.00318099797014848,0.00702659797014804,0.765435631573758,RF,500,10,0.1,0.95,0.9
-0.00885079999999994,-0.013955254241941,-0.00374634575805892,0.000102100439503983,GLM,1000,1,0.01,0,0.3
0.000941800000000326,-0.00416265424194069,0.00604625424194134,0.975774548506135,EN,1000,1,0.01,0,0.3
0.00867840000000031,0.00357394575805929,0.0137828542419413,0.000146803226670045,AEN,1000,1,0.01,0,0.3
-0.00133240000000034,-0.00643685424194136,0.00377205424194067,0.920332786099015,RF,1000,1,0.01,0,0.3
-0.00878273787575035,-0.0138895509109331,-0.00367592484056758,0.000114244933875352,GLM,500,0.5,0.01,0,0.3
