Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.0529012432597744,-0.0752513342181968,-0.030551152301352,2.41378568244244e-08,GLM,100,0.5,0.01,0,0.3
-0.128683336245683,-0.155682827010394,-0.101683845480971,0,EN,100,0.5,0.01,0,0.3
0.108487990615348,0.0817986120708345,0.135177369159862,0,AEN,100,0.5,0.01,0,0.3
0.018378118824782,-0.00397197213365634,0.0407282097832204,0.136435864638312,RF,100,0.5,0.01,0,0.3
-0.00923048846968066,-0.0264119711591843,0.00795099421982297,0.488801301837836,GLM,500,20,0.05,0,0.6
-0.00930140497828102,-0.0264828876677847,0.00788007771122261,0.481812503423125,EN,500,20,0.05,0,0.6
-0.000220928258236497,-0.0174024109477401,0.0169605544312671,0.999999295874947,AEN,500,20,0.05,0,0.6
-0.00877145002391988,-0.0259529327134235,0.00841003266558376,0.534237532098975,RF,500,20,0.05,0,0.6
-0.0351447878189107,-0.0523245642535223,-0.0179650113842991,1.97725372697022e-06,GLM,500,10,0.1,0.95,0.6
0.0137690290766722,-0.0034107473579394,0.0309488055112838,0.156744194572943,EN,500,10,0.1,0.95,0.6
0.109703498576303,0.0925237221416917,0.126883275010915,0,AEN,500,10,0.1,0.95,0.6
0.00532356025113634,-0.0118562161834753,0.022503336685748,0.864200145578573,RF,500,10,0.1,0.95,0.6
-0.0199876123097409,-0.0381565151653169,-0.00181870945416483,0.025810242687183,GLM,500,1,0.01,0,0.9
-0.0017167026323468,-0.0208314481403733,0.0173980428756797,0.998320470147687,EN,500,1,0.01,0,0.9
0.00116714460794987,-0.0180929770527778,0.0204272662686775,0.999641659380499,AEN,500,1,0.01,0,0.9
-0.0114314547746004,-0.0296003576301765,0.00673744808097567,0.342886861435095,RF,500,1,0.01,0,0.9
-0.00875279479218172,-0.0259308139932552,0.00842522440889179,0.536134328587927,GLM,1000,10,0.05,0,0.9
-0.00140610304328714,-0.0185841222443607,0.0157719161577864,0.998891380631524,EN,1000,10,0.05,0,0.9
0.000454754787635347,-0.0167232644134382,0.0176327739887089,0.99998740273017,AEN,1000,10,0.05,0,0.9
-0.00855947389429113,-0.0257374930953646,0.00861854530678238,0.555553005028563,RF,1000,10,0.05,0,0.9
-0.00876688968972672,-0.0268724383883262,0.0093386590088728,0.573544406159451,GLM,100,1,0.05,0,0.9
-0.000462838445380198,-0.0195677084321187,0.0186420315413583,0.999990664519622,EN,100,1,0.05,0,0.9
0.000647238194139144,-0.0183510606609425,0.0196455370492208,0.999963630213519,AEN,100,1,0.05,0,0.9
-0.008575529726084,-0.0266810784246835,0.00953001897251553,0.592148139495445,RF,100,1,0.05,0,0.9
-0.00629324188812175,-0.0234740891112579,0.0108876053350144,0.782153081318084,GLM,1000,20,0.1,0,0.9
-0.00146418470113563,-0.0186450319242717,0.0157166625220005,0.998701157294083,EN,1000,20,0.1,0,0.9
-0.00018993007115875,-0.0173707772942949,0.0169909171519774,0.999999615285253,AEN,1000,20,0.1,0,0.9
-0.00707971104099592,-0.024260558264132,0.0101011361821402,0.706272036888511,RF,1000,20,0.1,0,0.9
-0.00655923857599217,-0.0237369420242478,0.0106184648722635,0.757191920593733,GLM,500,10,0.1,0,0.9
-0.00136760503333211,-0.0185453084815878,0.0158100984149236,0.999005639155223,EN,500,10,0.1,0,0.9
-2.29172778474229e-05,-0.0172006207261031,0.0171547861704082,0.999999999918389,AEN,500,10,0.1,0,0.9
-0.00685241529451952,-0.0240301187427752,0.0103252881537362,0.728818547572949,RF,500,10,0.1,0,0.9
-0.0203507614275504,-0.0384524967094067,-0.00224902614569416,0.0217789032507525,GLM,500,1,0.01,0.3,0.9
-0.00194242569828973,-0.0209823185633425,0.0170974671667631,0.99724588527316,EN,500,1,0.01,0.3,0.9
0.0004898945611016,-0.0184801258465999,0.0194599149688031,0.999987943126815,AEN,500,1,0.01,0.3,0.9
-0.0106819265052031,-0.0287836617870593,0.00741980877665322,0.399351732541259,RF,500,1,0.01,0.3,0.9
-0.00949425427777328,-0.0266659355771331,0.00767742702158654,0.463348963703123,GLM,1000,10,0.05,0.3,0.9
-0.00146038326918274,-0.0186320645685426,0.0157112980301771,0.998714286734902,EN,1000,10,0.05,0.3,0.9
9.5223823193713e-05,-0.0170764574761661,0.0172669051225535,0.999999975678014,AEN,1000,10,0.05,0.3,0.9
-0.0086398289591989,-0.0258115102585587,0.00853185234016092,0.547340122690389,RF,1000,10,0.05,0.3,0.9
-0.00963362110568611,-0.0277797318932726,0.00851248968190036,0.49298284975403,GLM,100,1,0.05,0.3,0.9
-0.00209548908436763,-0.021166536556202,0.0169755583874667,0.99631308079825,EN,100,1,0.05,0.3,0.9
-0.000342758095645324,-0.0193788467774501,0.0186933305861594,0.999997127106804,AEN,100,1,0.05,0.3,0.9
-0.00931366845873927,-0.0274597792463257,0.00883244232884721,0.522617951977654,RF,100,1,0.05,0.3,0.9
-0.00634341485166046,-0.023517876791323,0.0108310470880021,0.777510568071043,GLM,1000,20,0.1,0.3,0.9
-0.00169308661173084,-0.0188675485513934,0.0154813753279317,0.997713164443735,EN,1000,20,0.1,0.3,0.9
0.000175661904083024,-0.0169988000355796,0.0173501238437456,0.999999718471064,AEN,1000,20,0.1,0.3,0.9
-0.00661443798756833,-0.0237888999272309,0.0105600239520943,0.751923761974542,RF,1000,20,0.1,0.3,0.9
-0.0198714976418222,-0.0501523140535421,0.0104093187698978,0.285175560934774,GLM,100,0.5,0.01,0.3,0.6
-0.0191577117795492,-0.0586558726767868,0.0203404491176885,0.530286333590129,EN,100,0.5,0.01,0.3,0.6
0.000332258070803171,-0.0396250525187589,0.0402895686603653,0.999999784317056,AEN,100,0.5,0.01,0.3,0.6
-0.0059988615396519,-0.0362796779513718,0.024281954872068,0.952972576196841,RF,100,0.5,0.01,0.3,0.6
-0.00626727872480881,-0.0234483258308185,0.0109137683812009,0.784537158521768,GLM,500,10,0.1,0.3,0.9
-0.00149405505035272,-0.0186751021563624,0.015686992055657,0.998594515905653,EN,500,10,0.1,0.3,0.9
0.000143578504028574,-0.0170374686019811,0.0173246256100383,0.999999874319982,AEN,500,10,0.1,0.3,0.9
