Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.00476103225764892,0.00120667953235776,0.00831538498294007,0.0045454269237285,GLM,100,0.5,0.01,0,0.3
0.00176651674990568,-0.00252723372115726,0.00606026722096862,0.678856043322035,EN,100,0.5,0.01,0,0.3
-0.00120304145923451,-0.00544747453749325,0.00304139161902422,0.878585211807149,AEN,100,0.5,0.01,0,0.3
0.00482696798623532,0.00127261526094163,0.00838132071152902,0.00358472149654265,RF,100,0.5,0.01,0,0.3
-0.000224332044852067,-0.00295698463641875,0.00250832054671461,0.998877716768403,GLM,500,20,0.05,0,0.6
-9.42795663548962e-05,-0.00282693215792157,0.00263837302521178,0.999963740323408,EN,500,20,0.05,0,0.6
-2.6006156256253e-10,-0.00273265285162824,0.00273265233150512,1,AEN,500,20,0.05,0,0.6
-0.0054417216263239,-0.00817437421789058,-0.00270906903475722,5.23154116205404e-06,RF,500,20,0.05,0,0.6
0.00518334694422237,0.00245172530357398,0.00791496858487077,1.59510066497504e-05,GLM,500,10,0.1,0.95,0.6
-0.00269468324405363,-0.00542630488470202,3.69383965947681e-05,0.0546073320840886,EN,500,10,0.1,0.95,0.6
-0.0123545237090179,-0.0150861453496662,-0.00962290206836946,0,AEN,500,10,0.1,0.95,0.6
-0.00255020398427015,-0.00528182562491855,0.000181417656378244,0.0755020392190918,RF,500,10,0.1,0.95,0.6
-0.000282186730644944,-0.00317511506509297,0.00261074160380308,0.997674725714045,GLM,500,1,0.01,0,0.9
2.71833847016508e-05,-0.0030163459536129,0.00307071272301621,0.999999826037531,EN,500,1,0.01,0,0.9
4.05870927611494e-05,-0.00302608964166451,0.00310726382718681,0.999999161785936,AEN,500,1,0.01,0,0.9
-0.000706753097807209,-0.00359968143225523,0.00218617523664081,0.933063329981053,RF,500,1,0.01,0,0.9
-0.000252557504275976,-0.00298374963913048,0.00247863463057853,0.998217339391365,GLM,1000,10,0.05,0,0.9
-2.74489892364282e-07,-0.00273146662474687,0.00273091764496214,0.999999999999997,EN,1000,10,0.05,0,0.9
-1.38777878078145e-17,-0.00273119213485452,0.00273119213485449,1,AEN,1000,10,0.05,0,0.9
-0.00297387606446102,-0.00570506819931552,-0.000242683929606519,0.0278655143074745,RF,1000,10,0.05,0,0.9
-0.00565438335302171,-0.00853311297852574,-0.00277565372751768,6.18776517380404e-06,GLM,100,1,0.05,0,0.9
8.27788823003633e-05,-0.00295483992383286,0.00312039768843359,0.999985086247777,EN,100,1,0.05,0,0.9
1.7614901117749e-05,-0.00300305940479452,0.00303828920703002,0.999999968581272,AEN,100,1,0.05,0,0.9
