Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.0153910916832861,0.00302162332282465,0.0277605600437476,0.00833885393635059,GLM,100,0.5,0.01,0,0.3
0.0142108933324657,-0.000723089058894085,0.0291448757238255,0.0682823145927406,EN,100,0.5,0.01,0,0.3
-0.00864470719161176,-0.0234071600353891,0.00611774565216558,0.427671084804784,AEN,100,0.5,0.01,0,0.3
-0.00608081901903973,-0.111633344579569,0.0994717065414899,0.999748041958469,RF,100,0.5,0.01,0,0.3
-0.00231073898740258,-0.011742004620516,0.00712052664571087,0.944404452702459,GLM,500,20,0.05,0,0.6
-0.000997404486142772,-0.0104286701192564,0.00843386114697089,0.997505186837733,EN,500,20,0.05,0,0.6
-3.41153830185625e-09,-0.00943126904465196,0.00943126222157536,1,AEN,500,20,0.05,0,0.6
-0.0547032279502506,-0.141056409744074,0.0316499538435727,0.36032435648782,RF,500,20,0.05,0,0.6
0.0178638962295438,0.00844555118186243,0.0272822412772252,1.32576896660908e-05,GLM,500,10,0.1,0.95,0.6
-0.00854278713717982,-0.0179611321848612,0.000875557910501572,0.0895242253377215,EN,500,10,0.1,0.95,0.6
-0.0374092186888539,-0.0468275637365353,-0.0279908736411725,0,AEN,500,10,0.1,0.95,0.6
-0.0172584042349746,-0.0391486335250359,0.00463182505508671,0.173586533296515,RF,500,10,0.1,0.95,0.6
-0.00263164760960469,-0.0120139875594778,0.00675069234026838,0.905665476827148,GLM,1000,10,0.05,0,0.9
-2.72388419608749e-06,-0.00938506383406915,0.00937961606567698,0.999999999999832,EN,1000,10,0.05,0,0.9
-2.77555756156289e-17,-0.00938233994987309,0.00938233994987304,1,AEN,1000,10,0.05,0,0.9
-0.0223945530983935,-0.0343588802103176,-0.0104302259864694,1.73686467730416e-05,RF,1000,10,0.05,0,0.9
-0.0513213787461547,-0.0612663436889669,-0.0413764138033426,0,GLM,100,1,0.05,0,0.9
0.000363348565514454,-0.0101163566876257,0.0108430538186546,0.999967705842281,EN,100,1,0.05,0,0.9
8.33923653318636e-05,-0.0103378548062284,0.0105046395368922,0.999999907758736,AEN,100,1,0.05,0,0.9
-0.0348054601145461,-0.0558331054530082,-0.013777814776084,0.000171161148754484,RF,100,1,0.05,0,0.9
-0.00265292183881222,-0.0119989943870914,0.00669315070946694,0.896046302123691,GLM,1000,20,0.1,0,0.9
-2.88684141258599e-06,-0.00934895938969174,0.00934318570686657,0.999999999999765,EN,1000,20,0.1,0,0.9
1.47625221380565e-07,-0.00934592492305778,0.00934622017350054,1,AEN,1000,20,0.1,0,0.9
-0.027053147609641,-0.0364323371980786,-0.0176739580212035,7.9773965211416e-12,RF,1000,20,0.1,0,0.9
-0.00538796547978937,-0.0147367487665073,0.00396081780692856,0.426006597272185,GLM,500,10,0.1,0,0.9
-3.83505091722247e-06,-0.00935261833763515,0.00934494823580071,0.999999999999276,EN,500,10,0.1,0,0.9
7.67888167996222e-07,-0.00934801539854994,0.00934955117488593,0.999999999999999,AEN,500,10,0.1,0,0.9
-0.0334879378455663,-0.0430270211826324,-0.0239488545085001,0,RF,500,10,0.1,0,0.9
-0.00262925760862434,-0.0120118283102547,0.00675331309300601,0.906621240390856,GLM,1000,10,0.05,0.3,0.9
-3.9087744164723e-06,-0.00938647947604683,0.00937866192721388,0.999999999999295,EN,1000,10,0.05,0.3,0.9
-1.6143040737493e-08,-0.00938258684467109,0.00938255455858962,1,AEN,1000,10,0.05,0.3,0.9
-0.0220675786118426,-0.034457479381278,-0.00967767784240714,6.5305618248912e-05,RF,1000,10,0.05,0.3,0.9
-0.0556583180423127,-0.0656381204544892,-0.0456785156301363,0,GLM,100,1,0.05,0.3,0.9
-9.37021219446499e-05,-0.0105539184976474,0.0103665142537581,0.999999852831084,EN,100,1,0.05,0.3,0.9
6.89893075143111e-05,-0.0103720526359249,0.0105100312509536,0.999999956426117,AEN,100,1,0.05,0.3,0.9
-0.0384038007213426,-0.0573061936739075,-0.0195014077687777,2.66564885464948e-06,RF,100,1,0.05,0.3,0.9
-0.00251832867952695,-0.0118580091569269,0.00682135179787302,0.9117928004607,GLM,1000,20,0.1,0.3,0.9
-2.95642994907475e-06,-0.00934263690734905,0.0093367240474509,0.999999999999742,EN,1000,20,0.1,0.3,0.9
0,-0.00933968047739997,0.00933968047739997,1,AEN,1000,20,0.1,0.3,0.9
-0.0269029060434735,-0.0362756809112539,-0.017530131175693,5.3724802384636e-12,RF,1000,20,0.1,0.3,0.9
-0.000115556721875618,-0.0170050854106352,0.0167739719668839,0.999999944124202,GLM,100,0.5,0.01,0.3,0.6
-0.00210067158423134,-0.0241210660529842,0.0199197228845215,0.998012573230333,EN,100,0.5,0.01,0.3,0.6
-8.22916931038642e-05,-0.0223586640888163,0.0221940807026086,0.999999995250403,AEN,100,0.5,0.01,0.3,0.6
-0.0206415141267902,-0.107559641559111,0.0662766133055303,0.943202955503295,RF,100,0.5,0.01,0.3,0.6
-0.00531164317240251,-0.0146614785650829,0.00403819222027788,0.439587645341967,GLM,500,10,0.1,0.3,0.9
-7.94658799485592e-06,-0.00935778198067524,0.00934188880468553,0.999999999986721,EN,500,10,0.1,0.3,0.9
0,-0.00934983539268039,0.00934983539268039,1,AEN,500,10,0.1,0.3,0.9
-0.0331716670884597,-0.0427889884650646,-0.0235543457118548,2.22044604925031e-16,RF,500,10,0.1,0.3,0.9
-0.00256557626710466,-0.0119686955822966,0.0068375430480873,0.916660968873747,GLM,1000,10,0.05,0.6,0.9
-1.66660534642316e-06,-0.00940478592053838,0.00940145270984553,0.999999999999978,EN,1000,10,0.05,0.6,0.9
-6.65049579573473e-08,-0.00940318582014991,0.009403052810234,1,AEN,1000,10,0.05,0.6,0.9
-0.0241576462460596,-0.0396439568152931,-0.00867133567682613,0.000520535450134529,RF,1000,10,0.05,0.6,0.9
