Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.164304388509456,0.132115751506634,0.196493025512278,0,GLM,100,0.5,0.01,0,0.3
-0.0255118864015961,-0.0643965964953079,0.0133728236921156,0.29532261831424,EN,100,0.5,0.01,0,0.3
0.0356210914111104,-0.0028169945635024,0.0740591773857233,0.0771905054373858,AEN,100,0.5,0.01,0,0.3
0.183184731996635,0.15099609499379,0.21537336899948,0,RF,100,0.5,0.01,0,0.3
0.00474091989964831,-0.0199992627079641,0.0294811025072607,0.97227457956876,GLM,500,20,0.05,0,0.6
0.00198423676477419,-0.0227559458428382,0.0267244193723866,0.998976332694528,EN,500,20,0.05,0,0.6
5.05254807523642e-09,-0.0247401775550643,0.0247401876601605,1,AEN,500,20,0.05,0,0.6
0.114976883913804,0.0902367013061917,0.139717066521416,0,RF,500,20,0.05,0,0.6
-0.0351418191941542,-0.0598846681359606,-0.0103989702523477,0.00198283925354015,GLM,500,10,0.1,0.95,0.6
0.0184436160647391,-0.00629923287706741,0.0431864650065455,0.207104862925469,EN,500,10,0.1,0.95,0.6
0.0791869751764783,0.0544441262346718,0.103929824118285,9.2148511043888e-15,AEN,500,10,0.1,0.95,0.6
0.0314675884743066,0.00672473953250012,0.0562104374161131,0.00704655566580292,RF,500,10,0.1,0.95,0.6
0.0286938721676385,0.00251884679844532,0.0548688975368316,0.0264474527043642,GLM,500,1,0.01,0,0.9
-3.24319323486771e-05,-0.0275700852829863,0.0275052214182889,0.999999999947548,EN,500,1,0.01,0,0.9
-3.81560089898389e-06,-0.0277509050696818,0.0277432738678838,0.99999999999999,AEN,500,1,0.01,0,0.9
0.0724021490207154,0.0462271236515223,0.0985771743899086,3.3797409315639e-11,RF,500,1,0.01,0,0.9
0.0053221830218692,-0.0194179138638409,0.0300622799075793,0.95837574584821,GLM,1000,10,0.05,0,0.9
5.77572798303558e-06,-0.0247343211577271,0.0247458726136931,0.999999999999924,EN,1000,10,0.05,0,0.9
-1.30104260698261e-18,-0.0247400968857101,0.0247400968857101,1,AEN,1000,10,0.05,0,0.9
0.0626284522462582,0.037888355360548,0.0873685491319683,1.55595625273008e-09,RF,1000,10,0.05,0,0.9
0.11823804743237,0.0921570354488964,0.144319059415844,0,GLM,100,1,0.05,0,0.9
-0.000984002824118302,-0.028504535416725,0.0265365297684884,0.999955868014178,EN,100,1,0.05,0,0.9
-0.000952894212691381,-0.0283199112721263,0.0264141228467436,0.999960294152688,AEN,100,1,0.05,0,0.9
0.103700637824838,0.0776196258413643,0.129781649808312,0,RF,100,1,0.05,0,0.9
0.00519157673935506,-0.0195551333643478,0.0299382868430579,0.961815718233305,GLM,1000,20,0.1,0,0.9
5.49114748916806e-06,-0.0247412189562137,0.024752201251192,0.999999999999937,EN,1000,20,0.1,0,0.9
-2.79448430964618e-07,-0.0247469895521338,0.0247464306552719,1,AEN,1000,20,0.1,0,0.9
0.0625878176998597,0.0378411075961569,0.0873345278035625,1.74121284057804e-09,RF,1000,20,0.1,0,0.9
0.0110937003128567,-0.0136435189916314,0.0358309196173448,0.643074158117552,GLM,500,10,0.1,0,0.9
8.19239857724951e-06,-0.0247290269059109,0.0247454117030653,0.99999999999969,EN,500,10,0.1,0,0.9
-1.09887457027833e-06,-0.0247383181790584,0.0247361204299178,1,AEN,500,10,0.1,0,0.9
0.0791827087544221,0.054445489449934,0.10391992805891,9.65894031423886e-15,RF,500,10,0.1,0,0.9
0.0328364512866588,0.00676093944204324,0.0589119631312743,0.00809435816850934,GLM,500,1,0.01,0.3,0.9
2.31540133333683e-05,-0.0274037718693206,0.0274500798959874,0.999999999986158,EN,500,1,0.01,0.3,0.9
-1.69832770191849e-05,-0.0273432580308777,0.0273092914768393,0.999999999995934,AEN,500,1,0.01,0.3,0.9
0.0743736106442851,0.0482980987996695,0.100449122488901,6.44029274354807e-12,RF,500,1,0.01,0.3,0.9
0.0054558298455726,-0.0192875646692752,0.0301992243604204,0.954659952415806,GLM,1000,10,0.05,0.3,0.9
7.87266195532836e-06,-0.0247355218528925,0.0247512671768031,0.999999999999736,EN,1000,10,0.05,0.3,0.9
2.39231556329201e-08,-0.0247433705916922,0.0247434184380034,1,AEN,1000,10,0.05,0.3,0.9
0.062317765334885,0.0375743708200372,0.0870611598497328,4.69602468022856e-09,RF,1000,10,0.05,0.3,0.9
0.127442752855772,0.101296727802337,0.153588777909206,0,GLM,100,1,0.05,0.3,0.9
6.10992975682862e-05,-0.0274176310392335,0.0275398296343701,0.999999999329199,EN,100,1,0.05,0.3,0.9
-0.00030935080707825,-0.0277377103834096,0.0271190087692531,0.999999556303158,AEN,100,1,0.05,0.3,0.9
0.112887228580648,0.0867412035272138,0.139033253634083,0,RF,100,1,0.05,0.3,0.9
0.0051508783638029,-0.0195917554459205,0.0298935121735263,0.962849974466705,GLM,1000,20,0.1,0.3,0.9
6.14290343024185e-06,-0.0247364909062932,0.0247487767131537,0.999999999999902,EN,1000,20,0.1,0.3,0.9
3.68628738645072e-18,-0.0247426338097234,0.0247426338097234,1,AEN,1000,20,0.1,0.3,0.9
0.0633677859415555,0.0386251521318321,0.0881104197512789,9.19756937278748e-10,RF,1000,20,0.1,0.3,0.9
0.108423826954598,0.0648262697387277,0.152021384170469,4.05323130614477e-09,GLM,100,0.5,0.01,0.3,0.6
0.0566875956217487,-0.000180862157760961,0.113556053401258,0.0511200650967623,EN,100,0.5,0.01,0.3,0.6
0.00250964987942413,-0.0550198800689989,0.0600391798278472,0.999840032785396,AEN,100,0.5,0.01,0.3,0.6
0.293731807881685,0.250134250665814,0.337329365097556,0,RF,100,0.5,0.01,0.3,0.6
0.0106167229879491,-0.0141282746237078,0.0353617205996059,0.676889385623564,GLM,500,10,0.1,0.3,0.9
1.5989768918956e-05,-0.0247290078427379,0.0247609873805758,0.999999999995504,EN,500,10,0.1,0.3,0.9
-6.93889390390723e-18,-0.0247449976116569,0.0247449976116569,1,AEN,500,10,0.1,0.3,0.9
0.0765463439505233,0.0518013463388664,0.10129134156218,7.64943663966733e-14,RF,500,10,0.1,0.3,0.9
0.0277539872957868,0.00169349117127178,0.0538144834203018,0.032939248184233,GLM,500,1,0.01,0.6,0.9
