Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho
-0.00713900000042333,-0.0192772931860754,0.00499929318522869,0.406577336882498,GLM,500,20,0.05,0
0.00117199999987316,-0.0109662931857778,0.0133102931855242,0.997883664279751,EN,500,20,0.05,0
0.000704999999866174,-0.0114332931857848,0.0128432931855172,0.999712335421438,AEN,500,20,0.05,0
-0.000179000000168683,-0.0123172931858198,0.0119592931854824,0.999998780338551,RF,500,20,0.05,0
-0.0201719999999994,-0.0323043426976511,-0.00803965730234776,0.000247116167448103,GLM,100,0.5,0.05,0.3
-0.00126499999999952,-0.0133973426976512,0.0108673426976521,0.997155130182002,EN,100,0.5,0.05,0.3
0.0268530000000006,0.0147206573023489,0.0389853426976522,2.58136292563549e-07,AEN,100,0.5,0.05,0.3
-0.00221800000000349,-0.0143503426976551,0.00991434269764806,0.976570443973144,RF,100,0.5,0.05,0.3
-0.0123529999999995,-0.0244818640190316,-0.000224135980967427,0.0445303947047068,GLM,1000,10,0.1,0.3
0.000326000000000826,-0.0118028640190313,0.0124548640190329,0.999986624636662,EN,1000,10,0.1,0.3
0.0347660000000006,0.0226371359809686,0.0468948640190327,4.37783143070192e-12,AEN,1000,10,0.1,0.3
0.0120830000000003,-4.58640190317879e-05,0.0242118640190324,0.0514526684385544,RF,1000,10,0.1,0.3
-0.0288659999999995,-0.0409977971295442,-0.0167342028704548,3.55046170241735e-08,GLM,100,1,0.1,0.3
0.00340200000000002,-0.00872979712954471,0.0155337971295447,0.899936885759242,EN,100,1,0.1,0.3
0.0470830000000002,0.0349512028704555,0.0592147971295449,0,AEN,100,1,0.1,0.3
0.00114800000000026,-0.0109837971295445,0.013279797129545,0.998047140611186,RF,100,1,0.1,0.3
-0.0078630000000004,-0.0199994518784731,0.00427345187847234,0.320490952113155,GLM,1000,1,0.01,0.6
0.000312999999999897,-0.0118234518784728,0.0124494518784726,0.999988629795747,EN,1000,1,0.01,0.6
0.0119929999999995,-0.000143451878473259,0.0241294518784722,0.0538044849775347,AEN,1000,1,0.01,0.6
-0.000214999999999965,-0.0123514518784727,0.0119214518784728,0.999997463031648,RF,1000,1,0.01,0.6
-0.00908199999999992,-0.0212164669971933,0.0030524669971935,0.203975875879269,GLM,500,0.5,0.01,0.6
0.000903000000000098,-0.0112314669971933,0.0130374669971935,0.999236242134382,EN,500,0.5,0.01,0.6
0.0122830000000004,0.000148533002806952,0.0244174669971938,0.0462145139644976,AEN,500,0.5,0.01,0.6
-0.00101599999999991,-0.0131504669971933,0.0111184669971935,0.998787289577852,RF,500,0.5,0.01,0.6
-0.0168869999999997,-0.0290230703326556,-0.00475092966734369,0.00257171787933042,GLM,100,0.5,0.05,0.6
-0.000822999999999796,-0.0129590703326558,0.0113130703326562,0.999469883663237,EN,100,0.5,0.05,0.6
0.0277070000000001,0.0155709296673442,0.0398430703326561,7.66345621405762e-08,AEN,100,0.5,0.05,0.6
-0.00825799999999988,-0.0203940703326558,0.00387807033265609,0.278815487309889,RF,100,0.5,0.05,0.6
-0.0135850000000001,-0.0257201704207963,-0.0014498295792038,0.0223701261443494,GLM,1000,10,0.1,0.6
-0.000638000000000138,-0.0127731704207964,0.0114971704207961,0.999806316689754,EN,1000,10,0.1,0.6
0.026783,0.0146478295792037,0.0389181704207963,2.62806018058725e-07,AEN,1000,10,0.1,0.6
0.00609399999999993,-0.00604117042079634,0.0182291704207962,0.548518018073842,RF,1000,10,0.1,0.6
-0.0274750000000002,-0.0396048073091321,-0.0153451926908684,8.12174393294285e-08,GLM,100,1,0.1,0.6
0.00132799999999944,-0.0108018073091324,0.0134578073091313,0.996568440718613,EN,100,1,0.1,0.6
0.0454479999999997,0.0333181926908678,0.0575778073091316,0,AEN,100,1,0.1,0.6
-0.00530800000000031,-0.0174378073091322,0.00682180730913157,0.662204622482774,RF,100,1,0.1,0.6
-0.00648799999999972,-0.0186263284876659,0.00565032848766648,0.492999503900507,GLM,1000,1,0.01,0.95
0.000521999999999911,-0.0116163284876663,0.0126603284876661,0.999912701596464,EN,1000,1,0.01,0.95
0.016501,0.0043626715123338,0.0286393284876662,0.00346717554546938,AEN,1000,1,0.01,0.95
-0.00524899999999995,-0.0173873284876661,0.00688932848766624,0.670675920023213,RF,1000,1,0.01,0.95
-0.00824687755101994,-0.0204295743737101,0.00393581927167024,0.283341834321222,GLM,500,0.5,0.01,0.95
-3.98371469796377e-05,-0.0122529496359055,0.0121732753419463,0.999999997062077,EN,500,0.5,0.01,0.95
0.0135031224489803,0.00132042562629015,0.0256858192716705,0.024518674636959,AEN,500,0.5,0.01,0.95
-0.00815387755102026,-0.0203365743737104,0.00402881927166992,0.292890630215221,RF,500,0.5,0.01,0.95
-0.000999375000000247,-0.013247281552044,0.0112485315520435,0.998894949430609,GLM,100,0.5,0.05,0.95
0.000859374999999551,-0.0115128789689852,0.0132316289689843,0.99941291785576,EN,100,0.5,0.05,0.95
0.0424208333333331,0.0300485793643484,0.0547930873023179,1.11022302462516e-16,AEN,100,0.5,0.05,0.95
-0.0201453749999998,-0.0323932815520436,-0.00789746844795602,0.00029069871179932,RF,100,0.5,0.05,0.95
-0.006521,-0.0186539435498211,0.0056119435498211,0.488501848066969,GLM,1000,10,0.1,0.95
0.000354000000000076,-0.011778943549821,0.0124869435498212,0.999981418040271,EN,1000,10,0.1,0.95
0.0197640000000001,0.00763105645017901,0.0318969435498212,0.000267458691591727,AEN,1000,10,0.1,0.95
-0.00165600000000032,-0.0137889435498214,0.0104769435498208,0.992036778763136,RF,1000,10,0.1,0.95
-0.00419900000000017,-0.0163325407239735,0.00793454072397315,0.813300938911557,GLM,100,1,0.1,0.95
0.000185000000000657,-0.0119485407239727,0.012318540723974,0.999998608531598,EN,100,1,0.1,0.95
0.0500530000000002,0.0379194592760269,0.0621865407239736,0,AEN,100,1,0.1,0.95
-0.0189809999999998,-0.0311145407239731,-0.00684745927602647,0.000544417347903781,RF,100,1,0.1,0.95
-0.00788199999999939,-0.0200128345731223,0.00424883457312356,0.318516173138906,GLM,5000,20,0.05,0
0.000405000000000322,-0.0117258345731226,0.0125358345731233,0.999968218562211,EN,5000,20,0.05,0
0.0210520000000002,0.00892116542687723,0.0331828345731231,8.47193277548897e-05,AEN,5000,20,0.05,0
0.0165710000000006,0.00444016542687761,0.0287018345731235,0.00329976007702815,RF,5000,20,0.05,0
-0.00812000000000068,-0.0202532609032504,0.00401326090324904,0.293109904477091,GLM,5000,20,0.05,0.3
0.000363999999999698,-0.01176926090325,0.0124972609032494,0.999979234143675,EN,5000,20,0.05,0.3
0.0180129999999994,0.00587973909674967,0.0301462609032491,0.00106714095470961,AEN,5000,20,0.05,0.3
0.0162489999999996,0.00411573909674991,0.0283822609032493,0.00392057568816795,RF,5000,20,0.05,0.3
-0.00854900000000036,-0.0206796785480486,0.00358167854804785,0.250513633728668,GLM,5000,20,0.05,0.6
-0.000190000000000135,-0.0123206785480483,0.0119406785480481,0.99999845201903,EN,5000,20,0.05,0.6
0.0164329999999998,0.0043023214519516,0.028563678548048,0.00350586186863355,AEN,5000,20,0.05,0.6
0.00876699999999986,-0.00336367854804836,0.0208976785480481,0.230682081564064,RF,5000,20,0.05,0.6
-0.00359700000000007,-0.0157289115920023,0.0085349115920022,0.881116452470127,GLM,5000,20,0.05,0.95
0.000305,-0.0118269115920023,0.0124369115920023,0.999989746236194,EN,5000,20,0.05,0.95
0.00446599999999986,-0.00766591159200241,0.0165979115920021,0.779265991224418,AEN,5000,20,0.05,0.95
-0.000667999999999558,-0.0127999115920018,0.0114639115920027,0.999767627665624,RF,5000,20,0.05,0.95
-0.0124470000000002,-0.0245775255868339,-0.000316474413166559,0.0423259576032171,GLM,1000,0.5,0.01,0
0.000851000000000268,-0.0112795255868334,0.0129815255868339,0.999395191018941,EN,1000,0.5,0.01,0
0.0327490000000001,0.0206184744131665,0.0448795255868338,1.05280228979154e-10,AEN,1000,0.5,0.01,0
0.0472129999999998,0.0350824744131662,0.0593435255868335,0,RF,1000,0.5,0.01,0
-0.0102560000000003,-0.0223950070379775,0.001883007037977,0.124593654741748,GLM,100,0.5,0.1,0
0.00566000000000022,-0.00647900703797705,0.0177990070379775,0.611779882733696,EN,100,0.5,0.1,0
0.0855992989690719,0.0733667937047657,0.0978318042333781,0,AEN,100,0.5,0.1,0
0.0472949999999996,0.0351559929620224,0.0594340070379769,0,RF,100,0.5,0.1,0
-0.0130509999999999,-0.0251895076446585,-0.00091249235534137,0.0303434838399613,GLM,1000,0.5,0.01,0.3
