Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho
0.00588350023223988,-0.000896973993144611,0.0126639744576244,0.109732079654947,GLM,500,20,0.05,0
-0.00167605493453686,-0.00845652915992078,0.00510441929084706,0.933242529963978,EN,500,20,0.05,0
-0.00373494288143558,-0.0105154171068195,0.00304553134394835,0.465951986585701,AEN,500,20,0.05,0
-0.00219521533408225,-0.00897568955946624,0.00458525889130174,0.845311687242024,RF,500,20,0.05,0
0.00577528148412576,-0.000999909818652026,0.0125504727869035,0.119852748272412,GLM,100,0.5,0.05,0.3
-0.000818767850453095,-0.00759395915323088,0.00595642345232469,0.994989160124534,EN,100,0.5,0.05,0.3
-0.0286948882678013,-0.035470079570579,-0.0219196969650235,0,AEN,100,0.5,0.05,0.3
-0.00179026194571917,-0.00856545324849691,0.00498492935705856,0.917223541338944,RF,100,0.5,0.05,0.3
0.010582316600547,0.00380522699342927,0.0173594062076648,0.000526261064005662,GLM,1000,10,0.1,0.3
-0.000326387710146495,-0.00710347731726426,0.00645070189697127,0.999863357697511,EN,1000,10,0.1,0.3
-0.0209234983440585,-0.0277005879511763,-0.0141464087369408,1.94733118519252e-13,AEN,1000,10,0.1,0.3
-0.00884108506349059,-0.0156181746706084,-0.00206399545637282,0.00539653511834381,RF,1000,10,0.1,0.3
0.0118771721082212,0.00509758199355895,0.0186567622228835,7.1110114047479e-05,GLM,100,1,0.1,0.3
-0.00174839775465788,-0.00852798786932014,0.00503119236000439,0.923324522600557,EN,100,1,0.1,0.3
-0.0370342771646522,-0.0438138672793145,-0.0302546870499899,0,AEN,100,1,0.1,0.3
-0.00221962991650651,-0.00899922003116878,0.00455996019815576,0.840282626616507,RF,100,1,0.1,0.3
0.00595858817526144,-0.000818259539731551,0.0127354358902544,0.103156572583721,GLM,1000,1,0.01,0.6
-0.00019951124136907,-0.00697635895636206,0.00657733647362392,0.999980745997394,EN,1000,1,0.01,0.6
-0.0103852633674457,-0.0171621110824387,-0.00360841565245267,0.000716922181493551,AEN,1000,1,0.01,0.6
-0.000895503511914787,-0.00767235122690778,0.0058813442030782,0.992955406723418,RF,1000,1,0.01,0.6
0.00761551293288782,0.000837168253530405,0.0143938576122452,0.0216373048800123,GLM,500,0.5,0.01,0.6
-0.000236556786569975,-0.00701490146592739,0.00654178789278744,0.999962031518523,EN,500,0.5,0.01,0.6
-0.0110585281921277,-0.0178368728714851,-0.00428018351277028,0.000235583772299375,AEN,500,0.5,0.01,0.6
0.000328848336874694,-0.00644949634248272,0.00710719301623211,0.999859221315193,RF,500,0.5,0.01,0.6
0.00759339242691802,0.000814718118332044,0.014372066735504,0.022165120314213,GLM,100,0.5,0.05,0.6
-0.000271582113319249,-0.00705025642190522,0.00650709219526673,0.999934201064561,EN,100,0.5,0.05,0.6
