Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.00562462513449635,-0.00935462231925606,-0.00189462794973665,0.000876050475705936,GLM,100,0.5,0.01,0,0
-0.000155682109714617,-0.00443667693695774,0.00412531271752851,0.999943082365062,EN,100,0.5,0.01,0,0
5.32997450555239e-05,-0.00423619760028705,0.0043427970903981,0.999999217094318,AEN,100,0.5,0.01,0,0
-0.0122649076842133,-0.0158223280054897,-0.00870748736293688,0,RF,100,0.5,0.01,0,0
-0.0107519999999988,-0.0134129995687934,-0.00809100043120411,0,GLM,1000,20,0.05,0,0
0.000839349999999905,-0.00182164956879475,0.00350034956879456,0.856679835590487,EN,1000,20,0.05,0,0
0.00239399999999845,-0.0002669995687962,0.00505499956879311,0.0915969594017473,AEN,1000,20,0.05,0,0
-0.00598170000000275,-0.00864269956879741,-0.0033207004312081,1.16424306750851e-07,RF,1000,20,0.05,0,0
-0.00272205000000036,-0.00538311329252927,-6.09867074714623e-05,0.043158945689719,GLM,500,0.5,0.05,0.3,0
-0.00023674999999812,-0.00289781329252702,0.00242431329253078,0.998463981939066,EN,500,0.5,0.05,0.3,0
0.0870025575949364,0.0843330864985423,0.0896720286913304,0,AEN,500,0.5,0.05,0.3,0
0.11649815,0.113837086707471,0.119159213292529,0,RF,500,0.5,0.05,0.3,0
-0.00330864999999803,-0.00596939672017339,-0.000647903279822662,0.00888104096977804,GLM,5000,10,0.1,0.3,0
-2.26499999996799e-05,-0.00268339672017504,0.00263809672017568,0.999999864537731,EN,5000,10,0.1,0.3,0
0.0160144499999999,0.0133537032798245,0.0186751967201753,0,AEN,5000,10,0.1,0.3,0
0.117452649999999,0.114791903279824,0.120113396720174,0,RF,5000,10,0.1,0.3,0
-0.00798455000000109,-0.010643460693109,-0.00532563930689319,3.70814490224802e-13,GLM,500,1,0.1,0.3,0
-0.000282900000000197,-0.0029418106931081,0.0023760106931077,0.996929971337517,EN,500,1,0.1,0.3,0
0.0857411817109873,0.0830799373236365,0.0884024260983382,0,AEN,500,1,0.1,0.3,0
0.122591949999999,0.119933039306891,0.125250860693107,0,RF,500,1,0.1,0.3,0
-0.00644210000000345,-0.00910053530228639,-0.00378366469772051,1.24782609800533e-08,GLM,5000,1,0.01,0.6,0
0.000122450000000107,-0.00253598530228283,0.00278088530228305,0.999885780906773,EN,5000,1,0.01,0.6,0
0.0195580000000001,0.0168995646977171,0.022216435302283,0,AEN,5000,1,0.01,0.6,0
0.0715072500000007,0.0688488146977178,0.0741656853022836,0,RF,5000,1,0.01,0.6,0
-0.00997174999999906,-0.0126312348689659,-0.0073122651310322,0,GLM,1000,1,0.05,0.6,0
0.000163750000001239,-0.00249573486896562,0.0028232348689681,0.999638557050046,EN,1000,1,0.05,0.6,0
0.0515901499999983,0.0489306651310315,0.0542496348689652,0,AEN,1000,1,0.05,0.6,0
0.0907274999999986,0.0880680151310318,0.0933869848689655,0,RF,1000,1,0.05,0.6,0
-0.00572080000000108,-0.00838195707879487,-0.00305964292120729,4.05585787843776e-07,GLM,500,0.5,0.05,0.6,0
-0.000228250000000485,-0.00288940707879428,0.00243290707879331,0.998667934769115,EN,500,0.5,0.05,0.6,0
0.0677059235472466,0.0650377161440236,0.0703741309504696,0,AEN,500,0.5,0.05,0.6,0
0.0782398999999991,0.0755787429212054,0.0809010570787929,0,RF,500,0.5,0.05,0.6,0
-0.00448729999999742,-0.00714739148208932,-0.00182720851790551,0.000152731717583787,GLM,5000,10,0.1,0.6,0
6.33499999980192e-05,-0.00259674148209388,0.00272344148208992,0.999991736457351,EN,5000,10,0.1,0.6,0
0.0190303000000001,0.0163702085179082,0.021690391482092,0,AEN,5000,10,0.1,0.6,0
0.0941312500000021,0.0914711585179102,0.096791341482094,0,RF,5000,10,0.1,0.6,0
-0.00662234999999867,-0.00928174249833607,-0.00396295750166126,2.48137288494377e-09,GLM,500,1,0.1,0.6,0
0.000212899999999516,-0.00244649249833789,0.00287229249833692,0.998985418234821,EN,500,1,0.1,0.6,0
0.0735662960645802,0.0709008724302405,0.0762317196989199,0,AEN,500,1,0.1,0.6,0
0.0868234000000001,0.0841640075016627,0.0894827924983375,0,RF,500,1,0.1,0.6,0
-0.00308610000000098,-0.00574651713986634,-0.00042568286013562,0.0165958010587297,GLM,5000,1,0.01,0.95,0
1.14999999962784e-05,-0.00264891713986908,0.00267191713986164,0.999999990994962,EN,5000,1,0.01,0.95,0
0.00729529999999889,0.00463488286013353,0.00995571713986425,6.69346800208359e-11,AEN,5000,1,0.01,0.95,0
0.00681644999999587,0.00415603286013051,0.00947686713986123,1.03166786225017e-09,RF,5000,1,0.01,0.95,0
-0.00435309999999811,-0.00701236262886821,-0.00169383737112801,0.000235288396837063,GLM,1000,1,0.05,0.95,0
-1.66999999983153e-05,-0.00267596262886841,0.00264256262887178,0.999999959965201,EN,1000,1,0.05,0.95,0
0.0133316121621607,0.0106716841353998,0.0159915401889216,0,AEN,1000,1,0.05,0.95,0
0.00461395000000198,0.00195468737113188,0.00727321262887207,0.000107637873755229,RF,1000,1,0.05,0.95,0
-0.01149185,-0.0141523821222547,-0.00883131787774528,0,GLM,500,10,0.05,0,0
0.000973000000000224,-0.00168753212225447,0.00363353212225491,0.782952456069281,EN,500,10,0.05,0,0
0.00251789999999996,-0.000142632122254729,0.00517843212225465,0.0697694550055376,AEN,500,10,0.05,0,0
-0.00614534999999705,-0.00880588212225174,-0.00348481787774236,3.70677413208398e-08,RF,500,10,0.05,0,0
0.00955779999999806,0.00689788104958313,0.012217718950413,0,GLM,500,0.5,0.05,0.95,0
2.87999999980526e-05,-0.00263111895041688,0.00268871895041298,0.999999646488012,EN,500,0.5,0.05,0.95,0
0.0291905091321893,0.0265245578518513,0.0318564604125274,0,AEN,500,0.5,0.05,0.95,0
