Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
-0.085836677675065,-0.0972751177717828,-0.0743982375783472,0,GLM,100,0.5,0.01,0,0
0.0178995358471284,0.00477140184052493,0.031027669853732,0.0034668995773961,EN,100,0.5,0.01,0,0
0.0973983637348759,0.0842441558362198,0.110552571633532,0,AEN,100,0.5,0.01,0,0
0.0329127772648664,0.0220035627994972,0.0438219917302356,3.46833672892899e-13,RF,100,0.5,0.01,0,0
-0.0250424290532667,-0.0331971482258729,-0.0168877098806605,9.99200722162641e-14,GLM,1000,20,0.05,0,0
0.000886083717299369,-0.00726863545530679,0.00904080288990553,0.996664231025533,EN,1000,20,0.05,0,0
0.0660337313109787,0.0578790121383725,0.0741884504835848,0,AEN,1000,20,0.05,0,0
0.0206058832379192,0.0124511640653131,0.0287606024105254,2.46762699163128e-09,RF,1000,20,0.05,0,0
0.00143174515986699,-0.00672564456656333,0.00958913488629732,0.979789784894389,GLM,500,0.5,0.05,0.3,0
-0.000172472271890989,-0.00832986199832131,0.00798491745453934,0.999994866923117,EN,500,0.5,0.05,0.3,0
0.0900577866686484,0.0818746231347842,0.0982409502025126,0,AEN,500,0.5,0.05,0.3,0
0.109426411323691,0.10126902159726,0.117583801050121,0,RF,500,0.5,0.05,0.3,0
-0.00111498102519991,-0.00927017905956913,0.0070402170091693,0.991985539390628,GLM,5000,10,0.1,0.3,0
-1.02309294696123e-05,-0.00816542896383883,0.0081449671048996,0.999999999936143,EN,5000,10,0.1,0.3,0
0.0102597749949003,0.00210457696053106,0.0184149730292695,0.00788926457621208,AEN,5000,10,0.1,0.3,0
0.0816734943502645,0.0735182963158953,0.0898286923846337,0,RF,5000,10,0.1,0.3,0
-0.00309437559099468,-0.0112534530506589,0.00506470186866951,0.761087546068498,GLM,500,1,0.1,0.3,0
-0.000194620910953125,-0.00835369837061731,0.00796445654871106,0.999991672596264,EN,500,1,0.1,0.3,0
0.0833385015292041,0.0751722629444428,0.0915047401139654,0,AEN,500,1,0.1,0.3,0
0.109198555217486,0.101039477757822,0.11735763267715,0,RF,500,1,0.1,0.3,0
-0.00189954693260597,-0.0100565449610905,0.00625745109587861,0.945350154731121,GLM,5000,1,0.01,0.6,0
3.25977087237694e-05,-0.00812440031976081,0.00818959573720835,0.999999993419545,EN,5000,1,0.01,0.6,0
0.0130806068251828,0.00492360879669817,0.0212376048536673,0.000343058682956809,AEN,5000,1,0.01,0.6,0
0.0707975997823928,0.0626406017539082,0.0789545978108773,0,RF,5000,1,0.01,0.6,0
-0.00513050508696244,-0.0132851700089585,0.00302415983503359,0.346479632268646,GLM,1000,1,0.05,0.6,0
6.749418227181e-05,-0.00808717073972422,0.00822215910426784,0.999999879099548,EN,1000,1,0.05,0.6,0
0.045772423935878,0.037617759013882,0.053927088857874,0,AEN,1000,1,0.05,0.6,0
0.0875325523054369,0.0793778873834409,0.0956872172274329,0,RF,1000,1,0.05,0.6,0
-0.00175082100951107,-0.00990416901902842,0.00640252700000628,0.95870037813029,GLM,500,0.5,0.05,0.6,0
-0.000292219380943148,-0.0084455673904605,0.0078611286285742,0.99995791157058,EN,500,0.5,0.05,0.6,0
0.0821436327451265,0.0739686837000635,0.0903185817901895,0,AEN,500,0.5,0.05,0.6,0
0.0889366512733732,0.0807833032638559,0.0970899992828906,0,RF,500,0.5,0.05,0.6,0
