Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.00701229425738336,0.00493146417325698,0.00909312434150973,6.66133814775094e-16,GLM,100,0.5,0.01,0,0
-0.000658554223135217,-0.0030467658987134,0.00172965745244296,0.889310877345495,EN,100,0.5,0.01,0,0
-0.00174372708367172,-0.00413668200557846,0.000649227838235027,0.215568090844729,AEN,100,0.5,0.01,0,0
0.00934907174981221,0.00736451603576511,0.0113336274638593,0,RF,100,0.5,0.01,0,0
0.00710712219850064,0.00562334352520471,0.00859090087179657,0,GLM,1000,20,0.05,0,0
-0.000729435764564093,-0.00221321443786002,0.000754342908731833,0.56726776703225,EN,1000,20,0.05,0,0
-0.00576580097425249,-0.00724957964754841,-0.00428202230095656,0,AEN,1000,20,0.05,0,0
0.00171958834116617,0.000235809667870247,0.0032033670144621,0.0167813160868167,RF,1000,20,0.05,0,0
-0.00503363407653311,-0.00651664304943885,-0.00355062510362736,4.44089209850063e-16,GLM,500,0.5,0.05,0.3,0
6.82556406862433e-05,-0.0014147533322195,0.00155126461359199,0.999886371313067,EN,500,0.5,0.05,0.3,0
-0.0566707306875775,-0.0581584253245219,-0.0551830360506331,0,AEN,500,0.5,0.05,0.3,0
-0.0738932466387297,-0.0753762556116355,-0.072410237665824,0,RF,500,0.5,0.05,0.3,0
0.00937936300996083,0.00789549640498143,0.0108632296149402,0,GLM,5000,10,0.1,0.3,0
-3.62148060219503e-05,-0.00152008141100135,0.00144765179895745,0.999990890876765,EN,5000,10,0.1,0.3,0
-0.014148223155027,-0.0156320897600064,-0.0126643565500476,0,AEN,5000,10,0.1,0.3,0
-0.0816858411492453,-0.0831697077542247,-0.0802019745442658,0,RF,5000,10,0.1,0.3,0
-0.00134473131772374,-0.00282866690050035,0.000139204265052875,0.0885146697159953,GLM,500,1,0.1,0.3,0
7.33277155999107e-05,-0.0014106078671767,0.00155726329837652,0.999848750687739,EN,500,1,0.1,0.3,0
-0.0560449344580145,-0.0575301724733758,-0.0545596964426532,0,AEN,500,1,0.1,0.3,0
-0.0788486525486208,-0.0803325881313975,-0.0773647169658442,0,RF,500,1,0.1,0.3,0
0.00658812415034936,0.00510413391708961,0.00807211438360911,0,GLM,5000,1,0.01,0.6,0
-0.000118261728400688,-0.00160225196166044,0.00136572850485906,0.999001120472855,EN,5000,1,0.01,0.6,0
-0.0128917778549353,-0.0143757680881951,-0.0114077876216756,0,AEN,5000,1,0.01,0.6,0
-0.0463506840889751,-0.0478346743222348,-0.0448666938557153,0,RF,5000,1,0.01,0.6,0
0.0080508526710855,0.00656652499075221,0.0095351803514188,0,GLM,1000,1,0.05,0.6,0
-0.000242879261960025,-0.00172720694229332,0.00124144841837327,0.984333992371567,EN,1000,1,0.05,0.6,0
-0.033972306661019,-0.0354566343413523,-0.0324879789806857,0,AEN,1000,1,0.05,0.6,0
-0.0565064841754027,-0.057990811855736,-0.0550221564950694,0,RF,1000,1,0.05,0.6,0
-0.00384007329298672,-0.00532379005524737,-0.00235635653072607,6.61952825886658e-10,GLM,500,0.5,0.05,0.6,0
0.000172798605805186,-0.00131091815645546,0.00165651536806583,0.995653815858895,EN,500,0.5,0.05,0.6,0
-0.0446106884733099,-0.0460983361138409,-0.0431230408327789,0,AEN,500,0.5,0.05,0.6,0
-0.0490621610683556,-0.0505458778306162,-0.0475784443060949,0,RF,500,0.5,0.05,0.6,0
0.00762625145812113,0.00614263487855351,0.00910986803768876,0,GLM,5000,10,0.1,0.6,0
-0.000163865506648167,-0.00164748208621579,0.00131975107291946,0.996450033684637,EN,5000,10,0.1,0.6,0
-0.0147277667857874,-0.016211383365355,-0.0132441502062198,0,AEN,5000,10,0.1,0.6,0
-0.0608185001305766,-0.0623021167101442,-0.059334883551009,0,RF,5000,10,0.1,0.6,0
-0.00232749123536213,-0.0038123665478923,-0.000842615922831963,0.000499965457881668,GLM,500,1,0.1,0.6,0
-0.000279512227224943,-0.00176438753975511,0.00120536308530523,0.973947440708528,EN,500,1,0.1,0.6,0
-0.0477769640225052,-0.0492652068277849,-0.0462887212172254,0,AEN,500,1,0.1,0.6,0
-0.0535727321961869,-0.0550576075087171,-0.0520878568836567,0,RF,500,1,0.1,0.6,0
0.00235958875674673,0.000876705821948488,0.00384247169154497,0.000365779927282928,GLM,5000,1,0.01,0.95,0
-2.12124931148749e-05,-0.00150409542791312,0.00146167044168337,0.999998925073884,EN,5000,1,0.01,0.95,0
-0.0059620252456128,-0.00744490818041104,-0.00447914231081455,0,AEN,5000,1,0.01,0.95,0
-0.00532070560308832,-0.00680358853788657,-0.00383782266829008,0,RF,5000,1,0.01,0.95,0
0.00436113942075067,0.00287743326040325,0.00584484558109809,1.75581771344469e-12,GLM,1000,1,0.05,0.95,0
5.94817545917226e-05,-0.0014242244057557,0.00154318791493915,0.999934140966302,EN,1000,1,0.05,0.95,0
-0.011829585795075,-0.0133136632068132,-0.0103455083833367,0,AEN,1000,1,0.05,0.95,0
-0.00193131832261018,-0.0034150244829576,-0.000447612162262752,0.00574639522511944,RF,1000,1,0.05,0.95,0
0.0082190217301804,0.00673601977405883,0.00970202368630196,0,GLM,500,10,0.05,0,0
-0.00100202165675148,-0.00248502361287304,0.000480980299370082,0.285490014482042,EN,500,10,0.05,0,0
-0.006252021469262,-0.00773502342538356,-0.00476901951314044,0,AEN,500,10,0.05,0,0
0.002155327409618,0.000672325453496444,0.00363832936573957,0.00143946517821558,RF,500,10,0.05,0,0
-0.00841544976931879,-0.00989896515866589,-0.0069319343799717,0,GLM,500,0.5,0.05,0.95,0
0.000165993467505052,-0.00131752192184204,0.00164950885685215,0.99627418043652,EN,500,0.5,0.05,0.95,0
-0.0209350681945408,-0.0224219479925189,-0.0194481883965626,0,AEN,500,0.5,0.05,0.95,0
0.00500034286647644,0.00351682747712934,0.00648385825582353,3.33066907387547e-16,RF,500,0.5,0.05,0.95,0
0.0036512650755758,0.00216725612414713,0.00513527402700446,5.00249752732884e-09,GLM,5000,10,0.1,0.95,0
-6.28690146233651e-05,-0.00154687796605203,0.0014211399368053,0.999917894372537,EN,5000,10,0.1,0.95,0
-0.010398068344354,-0.0118820772957826,-0.00891405939292531,0,AEN,5000,10,0.1,0.95,0
-0.0116028457607843,-0.0130868547122129,-0.0101188368093556,0,RF,5000,10,0.1,0.95,0
-0.00594518124184869,-0.00742966443466151,-0.00446069804903587,0,GLM,500,1,0.1,0.95,0
-0.000163263961381666,-0.00164774715419449,0.00132121923143116,0.996505391262514,EN,500,1,0.1,0.95,0
-0.0221487033886621,-0.023637308592469,-0.0206600981848552,0,AEN,500,1,0.1,0.95,0
0.00324305567903391,0.00175857248622109,0.00472753887184673,2.33402851157472e-07,RF,500,1,0.1,0.95,0
0.0104605971427814,0.00897586760372914,0.0119453266818336,0,GLM,5000,0.5,0.01,0,0
3.95238532874889e-05,-0.00144520568576473,0.0015242533923397,0.99998708617123,EN,5000,0.5,0.01,0,0
-0.0145766139943006,-0.0160613435333528,-0.0130918844552484,0,AEN,5000,0.5,0.01,0,0
-0.121418100313806,-0.122902829852858,-0.119933370774754,0,RF,5000,0.5,0.01,0,0
-0.0285219595130512,-0.0300065079764349,-0.0270374110496674,0,GLM,1000,0.5,0.05,0,0
0.000229258044369234,-0.00125529041901451,0.00171380650775298,0.987387263093202,EN,1000,0.5,0.05,0,0
-0.0507082155103783,-0.0522030272654797,-0.0492134037552769,0,AEN,1000,0.5,0.05,0,0
-0.132417678492192,-0.133902226955576,-0.130933130028808,0,RF,1000,0.5,0.05,0,0
-0.0280152896615121,-0.0294991600027591,-0.0265314193202652,0,GLM,1000,1,0.1,0,0
0.000208635451271547,-0.00127523488997539,0.00169250579251849,0.991130941197018,EN,1000,1,0.1,0,0
-0.0520155659721454,-0.053509889579835,-0.0505212423644557,0,AEN,1000,1,0.1,0,0
-0.135696698847644,-0.137180569188891,-0.134212828506397,0,RF,1000,1,0.1,0,0
