Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho,sparsity
0.0261228413187993,0.0195705957451083,0.0326750868924903,0,GLM,100,0.5,0.01,0,0
-0.00378759330343564,-0.0112812556775157,0.00370606907064444,0.56261173550404,EN,100,0.5,0.01,0,0
-0.00998055380552634,-0.0174890994024332,-0.00247200820861944,0.00407147383470718,AEN,100,0.5,0.01,0,0
-0.0255722144428346,-0.0623681348982943,0.0112237060126251,0.272290797267989,RF,100,0.5,0.01,0,0
0.0265319891642466,0.0219307499507224,0.0311332283777708,0,GLM,1000,20,0.05,0,0
-0.00258405368624909,-0.00718529289977329,0.00201718552727512,0.463166866322579,EN,1000,20,0.05,0,0
-0.0216189898414529,-0.0262202290549771,-0.0170177506279287,0,AEN,1000,20,0.05,0,0
-0.00919846952836756,-0.0160976464527608,-0.00229929260397434,0.00404894242559795,RF,1000,20,0.05,0,0
-0.106611416126787,-0.111411070518608,-0.101811761734967,0,GLM,500,0.5,0.05,0.3,0
4.76916464139943e-05,-0.00453183928631656,0.00462722257914455,0.999999704153848,EN,500,0.5,0.05,0.3,0
-0.161324315904057,-0.165918316164888,-0.156730315643226,0,AEN,500,0.5,0.05,0.3,0
-0.208736851507399,-0.21331638244013,-0.204157320574669,0,RF,500,0.5,0.05,0.3,0
0.0435242852643258,0.0389492462945832,0.0480993242340684,0,GLM,5000,10,0.1,0.3,0
-0.000187501689852237,-0.00476254065959482,0.00438753727989035,0.999928030011724,EN,5000,10,0.1,0.3,0
-0.0451391091688882,-0.0497141481386308,-0.0405640701991457,0,AEN,5000,10,0.1,0.3,0
-0.233757659303817,-0.238332698273559,-0.229182620334074,0,RF,5000,10,0.1,0.3,0
-0.0828875423421536,-0.0876375947005527,-0.0781374899837544,0,GLM,500,1,0.1,0.3,0
2.79675660200263e-05,-0.00454906161160421,0.00460499674364426,0.999999964768417,EN,500,1,0.1,0.3,0
-0.157540568586939,-0.162121614968552,-0.152959522205326,0,AEN,500,1,0.1,0.3,0
-0.219080065236535,-0.22365709441416,-0.214503036058911,0,RF,500,1,0.1,0.3,0
0.028314102192325,0.0237394189964226,0.0328887853882274,0,GLM,5000,1,0.01,0.6,0
-0.000481339066219638,-0.00505602226212204,0.00409334412968276,0.997055422463108,EN,5000,1,0.01,0.6,0
-0.0416173675209288,-0.0461920507168312,-0.0370426843250264,0,AEN,5000,1,0.01,0.6,0
-0.145030579911371,-0.149610429972039,-0.140450729850703,0,RF,5000,1,0.01,0.6,0
0.0222848321781843,0.0177067861501679,0.0268628782062007,0,GLM,1000,1,0.05,0.6,0
-0.000942309457161644,-0.00551806359716057,0.00363344468283728,0.964224590480404,EN,1000,1,0.05,0.6,0
-0.100266613146751,-0.104842367286749,-0.0956908590067516,0,AEN,1000,1,0.05,0.6,0
-0.163473881128073,-0.168053076116388,-0.158894686139757,0,RF,1000,1,0.05,0.6,0
-0.0851937756685964,-0.0900233272941916,-0.0803642240430013,0,GLM,500,0.5,0.05,0.6,0
0.00048459874646628,-0.00409606572714605,0.00506526322007861,0.997064470302867,EN,500,0.5,0.05,0.6,0
-0.128030305162932,-0.132623105399179,-0.123437504926686,0,AEN,500,0.5,0.05,0.6,0
-0.141175212887695,-0.145760474115573,-0.136589951659816,0,RF,500,0.5,0.05,0.6,0
0.0334679388642606,0.0288956193503267,0.0380402583781944,0,GLM,5000,10,0.1,0.6,0
-0.000667596133422405,-0.00523991564735622,0.00390472338051141,0.989765705599185,EN,5000,10,0.1,0.6,0
-0.0463868706066945,-0.0509591901206283,-0.0418145510927607,0,AEN,5000,10,0.1,0.6,0
-0.177285760511067,-0.181859796898275,-0.172711724123859,0,RF,5000,10,0.1,0.6,0
-0.0752111389324522,-0.0800260262832344,-0.07039625158167,0,GLM,500,1,0.1,0.6,0
-0.00100294905722398,-0.00558496332358976,0.0035790652091418,0.956571604434625,EN,500,1,0.1,0.6,0
-0.134705610183684,-0.139298015827487,-0.13011320453988,0,AEN,500,1,0.1,0.6,0
