Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho
0.0690355994328806,0.0514337972974858,0.0866374015682753,0,GLM,100,0.5,0.01,0
0.0142951732036598,-0.00590677874408173,0.0344971251514014,0.237113225067028,EN,100,0.5,0.01,0
0.0307603998668019,0.0105183246605569,0.0510024750730468,0.00084323805298292,AEN,100,0.5,0.01,0
0.107399548330887,0.0906121338890264,0.124186962772747,0,RF,100,0.5,0.01,0
-0.0641798810189501,-0.076729548483846,-0.0516302135540541,0,GLM,1000,20,0.05,0
0.00631487309586901,-0.00623479436902691,0.0188645405607649,0.547010337243707,EN,1000,20,0.05,0
0.0517352940783337,0.0391856266134378,0.0642849615432296,0,AEN,1000,20,0.05,0
-0.00751035652020304,-0.020060023985099,0.00503931094469287,0.391295014214481,RF,1000,20,0.05,0
0.0210393297792741,0.00848497809915877,0.0335936814593895,0.000176509543707293,GLM,500,0.5,0.05,0.3
-0.00033029163063869,-0.0128846433107541,0.0122240600494767,0.999987719081869,EN,500,0.5,0.05,0.3
0.256207957587193,0.243613939610196,0.268801975564189,0,AEN,500,0.5,0.05,0.3
0.333404875279464,0.320850523599348,0.345959226959579,0,RF,500,0.5,0.05,0.3
-0.0401037258583706,-0.0526551943708662,-0.0275522573458751,1.28785870856518e-14,GLM,5000,10,0.1,0.3
0.000141248672399841,-0.0124102198400957,0.0126927171848954,0.999999586995419,EN,5000,10,0.1,0.3
0.0605805142002768,0.0480290456877812,0.0731319827127723,0,AEN,5000,10,0.1,0.3
0.349528721856098,0.336977253343602,0.362080190368593,0,RF,5000,10,0.1,0.3
0.00516443613814022,-0.00738555749536387,0.0177144297716443,0.707436124865427,GLM,500,1,0.1,0.3
-0.000313337121087498,-0.0128633307545916,0.0122366565124166,0.99999003524547,EN,500,1,0.1,0.3
0.239850600665166,0.227289592051742,0.252411609278589,0,AEN,500,1,0.1,0.3
0.337473334522353,0.324923340888848,0.350023328155857,0,RF,500,1,0.1,0.3
-0.0388242148876522,-0.051371795287782,-0.0262766344875224,1.25899290992493e-13,GLM,5000,1,0.01,0.6
0.000668535577927232,-0.0118790448222026,0.013216115978057,0.999796272286663,EN,5000,1,0.01,0.6
0.0760450221288168,0.063497441728687,0.0885926025289466,0,AEN,5000,1,0.01,0.6
0.273044381404299,0.26049680100417,0.285591961804429,0,RF,5000,1,0.01,0.6
-0.0380968613226143,-0.0506512755897105,-0.025542447055518,1.78634884662188e-13,GLM,1000,1,0.05,0.6
