Estimate,lwr,upr,pval,contrast,n,EPV,prev,rho
0.0580636628609661,0.0519228424982392,0.0642044832236931,0,GLM,100,0.5,0.01,0
-0.0255804151140439,-0.0317212354767857,-0.0194395947513021,0,EN,100,0.5,0.01,0
-0.04660752015487,-0.0527483405176198,-0.0404666997921202,0,AEN,100,0.5,0.01,0
-0.0450477905898196,-0.0511886109525404,-0.0389069702270987,0,RF,100,0.5,0.01,0
0.0265319891642466,0.020388988743667,0.0326749895848262,0,GLM,1000,20,0.05,0
-0.00258405368624898,-0.00872705410682857,0.00355894673433061,0.691479577670103,EN,1000,20,0.05,0
-0.0216189898414528,-0.0277619902620324,-0.0154759894208732,0,AEN,1000,20,0.05,0
-0.0287954033682258,-0.0349384037888054,-0.0226524029476462,0,RF,1000,20,0.05,0
-0.18738576822471,-0.193526399864661,-0.18124513658476,0,GLM,500,0.5,0.05,0.3
4.76916464141053e-05,-0.00609293999353615,0.00618832328636437,0.999999906361323,EN,500,0.5,0.05,0.3
-0.163968634868634,-0.170109266508584,-0.157828003228684,0,AEN,500,0.5,0.05,0.3
-0.208736851507399,-0.214877483147349,-0.202596219867449,0,RF,500,0.5,0.05,0.3
0.0435242852643258,0.0373825512926319,0.0496660192360197,0,GLM,5000,10,0.1,0.3
-0.000187501689852237,-0.00632923566154616,0.00595423228184168,0.999977751451688,EN,5000,10,0.1,0.3
-0.0451391091688881,-0.051280843140582,-0.0389973751971942,0,AEN,5000,10,0.1,0.3
-0.233757659303817,-0.23989939327551,-0.227615925332123,0,RF,5000,10,0.1,0.3
-0.14408869049143,-0.150230179055665,-0.137947201927195,0,GLM,500,1,0.1,0.3
2.79675660199707e-05,-0.00611352099821511,0.00616945613025505,0.999999988923209,EN,500,1,0.1,0.3
-0.158327652379921,-0.164469140944156,-0.152186163815686,0,AEN,500,1,0.1,0.3
-0.219080065236535,-0.22522155380077,-0.2129385766723,0,RF,500,1,0.1,0.3
0.0283141021923252,0.0221728195288838,0.0344553848557666,0,GLM,5000,1,0.01,0.6
-0.000481339066219527,-0.00662262172966096,0.00565994359722191,0.99906504388289,EN,5000,1,0.01,0.6
-0.0416173675209286,-0.04775865018437,-0.0354760848574871,0,AEN,5000,1,0.01,0.6
